@T, output
created_at,"Mon May 01 13:23:32 MDT 2023"
date_format,yyyy-MM-dd
@H,time,ID,SurfaceN_in,SurfaceNabs,sinterflowN_in,sinterflowNabs,PercoNabs,Denit_trans,Volati_trans,actnup,SurfaceN,sinterflowN,sum_Ninput,PercoN
Type,LocalDate,Integer,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Unit,-,-,kgN/ha,kgN,kgN,kgN,kgN,kgN/ha,kgN/ha,kgN/ha,kgN/ha,kgN/ha,kgN/ha,kgN/ha
,2011-01-01,16,0,0,0,0.01703,0,0,0,0,0,0.00005,0,0
,2011-01-02,16,0,0,0,0.00016,8.56451E-76,0,0,0,0,4.16238E-7,0,2.27986E-78
,2011-01-03,16,0,0,0,0.00004,1.56869E-79,0,0,0,0,1.13562E-7,0,4.17583E-82
,2011-01-04,16,0,0,0,0.00004,2.96567E-83,0,0,0,0,1.12304E-7,0,7.89455E-86
,2011-01-05,16,0,0,0,0.00004,5.60434E-87,0,0,0,0,1.11069E-7,0,1.49187E-89
,2011-01-06,16,0,0,0,2.9197E-6,1.00007E-90,0,0,0,0,7.77219E-9,0,2.66216E-93
,2011-01-07,16,0,0,0,2.23428E-7,1.74233E-94,0,0,0,0,5.94761E-10,0,4.63806E-97
,2011-01-08,16,0,0,0,1.24129E-8,2.92732E-98,0,0,0,0,3.30428E-11,0,7.79248E-101
,2011-01-09,16,0,0,0,4.15608E-10,4.68174E-102,0,0,0,0,1.10634E-12,0,1.24627E-104
,2011-01-10,16,0,0,0,1.20991E-11,7.3903E-106,0,0,0,0,3.22076E-14,0,1.96729E-108
,2011-01-11,16,0,0,0,3.44434E-13,1.163E-109,0,0,0,0,9.16876E-16,0,3.09589E-112
,2011-01-12,16,0,0,0,9.56528E-15,1.82474E-113,0,0,0,0,2.54626E-17,0,4.85743E-116
,2011-01-13,16,0,0,0,2.59057E-16,2.85469E-117,0,0,0,0,6.89605E-19,0,7.59912E-120
,2011-01-14,16,0,0,0,6.8442E-18,4.45329E-121,0,0,0,0,1.82191E-20,0,1.18546E-123
,2011-01-15,16,0,0,0,1.7647E-19,6.92781E-125,0,0,0,0,4.69759E-22,0,1.84417E-127
,2011-01-16,16,0,0,0,4.4446E-21,1.0748E-128,0,0,0,0,1.18314E-23,0,2.86109E-131
,2011-01-17,16,0,0,0,8.48275E-23,1.63388E-132,0,0,0,0,2.25809E-25,0,4.34935E-135
,2011-01-18,16,0,0,0,1.58506E-24,2.47606E-136,0,0,0,0,4.2194E-27,0,6.59122E-139
,2011-01-19,16,0,0,0,2.90069E-26,3.74089E-140,0,0,0,0,7.72159E-29,0,9.95818E-143
