@T, output
created_at,"Mon May 01 13:23:32 MDT 2023"
date_format,yyyy-MM-dd
@H,time,ID,sNO3_Pool,sNH4_Pool,sN_activ_pool,sN_stable_pool,sNResiduePool,surfNO3_pool,surfNH4_pool,NO3_Pool[1],NO3_Pool[2],NO3_Pool[3]
Type,LocalDate,Integer,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Unit,-,-,kgN/ha,kgN/ha,kgN/ha,kgN/ha,kgN/ha,-,-,kgN/ha,kgN/ha,kgN/ha
,2011-01-01,1,0.00753,0,47.44864,4338.9374,3.01462E-29,0.00194,0,0.00675,NaN,NaN
,2011-01-01,3,1.13448,0,12.08128,1120.29406,2.30418E-30,0.00192,0,1.11855,NaN,NaN
,2011-01-01,7,0.00306,0,76.52371,474.32434,0.003,0.00514,0,0.00265,0.00006,1.11297E-43
,2011-01-01,9,0.05391,0,37.62843,3272.61258,1.57644E-30,0.00443,0,0.02958,0.00276,NaN
,2011-01-01,16,0.00446,0,9.73566,810.44133,2.013E-17,0.00274,0,0.00328,4.25762E-19,NaN
,2011-01-02,1,0.00919,0,47.44864,4338.9374,3.01462E-29,0,0,0.00643,NaN,NaN
,2011-01-02,3,1.13382,0,12.08128,1120.29406,2.30418E-30,0.00192,0,1.11074,NaN,NaN
,2011-01-02,7,0.00303,0,76.52371,474.32434,0.003,0.00608,0,0.00258,0.0001,6.53517E-27
,2011-01-02,9,0.05234,0,37.62843,3272.61258,1.57644E-30,0.00444,0,0.02859,0.00276,NaN
,2011-01-02,16,0.00446,0,9.73566,810.44133,2.013E-17,0.00312,0,0.00328,4.25829E-19,NaN
,2011-01-03,1,0.00899,0,47.44864,4338.9374,3.01462E-29,0,0,0.00618,NaN,NaN
,2011-01-03,3,1.13331,0,12.08128,1120.29406,2.30418E-30,0.00192,0,1.10266,NaN,NaN
,2011-01-03,7,0.00301,0,76.52371,474.32434,0.003,0.00633,0,0.00253,0.00014,1.48443E-25
