@T, output
created_at,"Mon May 01 13:23:32 MDT 2023"
date_format,yyyy-MM-dd
@H,time,ID,precip,tmean,outRD1,insed,gensed,outsed,sedpool
Type,LocalDate,Integer,Double,Double,Double,Double,Double,Double,Double
Unit,-,-,mm,C,l,-,t/d,-,-
,2011-01-01,1,0.43985,-16.52675,0,0,0,0,0
,2011-01-01,3,0.38797,-16.54832,0,0,0,0,0
,2011-01-01,7,3.18681,-17.79454,0,0,0,0,0
,2011-01-01,9,0.01511,-16.78268,0,0,0,0,0
,2011-01-01,16,1.18418,-17.71167,0,0,0,0,0
,2011-01-02,1,0,-7.96996,0,0,0,0,0
,2011-01-02,3,0,-7.98736,0,0,0,0,0
,2011-01-02,7,2.36157,-8.99237,0,0,0,0,0
,2011-01-02,9,0.00965,-8.17635,0,0,0,0,0
,2011-01-02,16,0.95018,-8.92554,0,0,0,0,0
,2011-01-03,1,0,-6.55,0,0,0,0,0
,2011-01-03,3,0,-6.55,0,0,0,0,0
,2011-01-03,7,0.61108,-6.55,0,0,0,0,0
,2011-01-03,9,0.00024,-6.55,0,0,0,0,0
,2011-01-03,16,0.0354,-6.55,0,0,0,0,0
,2011-01-04,1,0,-6.8,0,0,0,0,0
,2011-01-04,3,0,-6.8,0,0,0,0,0
,2011-01-04,7,0.01564,-6.8,0,0,0,0,0
,2011-01-04,9,0,-6.8,0,0,0,0,0
,2011-01-04,16,0.00065,-6.8,0,0,0,0,0
,2011-01-05,1,0.40155,-2.77347,0,0,0,0,0
,2011-01-05,3,0.35419,-2.834,0,0,0,0,0
,2011-01-05,7,2.89661,-6.33146,0,0,0,0,0
,2011-01-05,9,0.01379,-3.49171,0,0,0,0,0
,2011-01-05,16,0.96636,-6.09888,0,0,0,0,0
,2011-01-06,1,0,-1.49493,0,0,0,0,0
,2011-01-06,3,0,-1.49864,0,0,0,0,0
,2011-01-06,7,0.31608,-1.71304,0,0,0,0,0
,2011-01-06,9,0,-1.53896,0,0,0,0,0
,2011-01-06,16,0.02626,-1.69878,0,0,0,0,0
,2011-01-07,1,0,2.13847,0,0,0,0,0
,2011-01-07,3,0,2.10577,0,0,0,0,0
,2011-01-07,7,0.00761,0.21634,0,0,0,0,0
