@T, output
created_at,"Mon May 01 13:23:32 MDT 2023"
date_format,yyyy-MM-dd
@H,time,ID,LAI,BioAct,precip,tmean,tmax,tmin,rhum,wind,rain,snow,solRad,netRad,netRainOut,netSnowOut,irrigation_amount,interception,intercStorage,throughfall,snowDepth,snowTotSWE,snowMelt,potET,actET,E_dps,E_intercept,actDPS,soilSat,soilSatMPS,soilSatLPS,soilActMPS,soilActLPS,percolation,inRD1,inRD2,inRG1,inRG2,actRG1,actRG2,genRD1,genRD2,genRG1,genRG2,outRD1,outRD2,outRG1,outRG2,inSoilStor
Type,LocalDate,Integer,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Unit,-,-,-,kg/ha,mm,C,C,C,-,-,-,-,MJ/m2/day,MJ/m2,-,-,-,-,-,-,-,mm,-,mm,mm,-,-,-,-,-,-,-,-,l,-,l,-,-,-,-,-,-,-,-,l,l,-,-,-
,2011-01-01,9,4,10219.9813,0.01511,-16.78268,-8.11596,-25.4494,60.36791,12.28339,0,0.01511,8.62771,3.4175,0,0,0,0.01511,0.73032,0,0,0,0,0,0,0,0.55267,0,0.14975,0.4247,0.01945,18.23622,1.76208,1.69748E-141,0,0,0,0,1.15742E-141,0.17946,0,0.50057,2.2505E-236,0.0001,0,0.50057,2.2505E-236,0.0001,0
,2011-01-02,9,4,10219.9813,0.00965,-8.17635,0.19037,-16.54307,50.235,7.59884,0,0.00965,11.44156,3.28782,0,0,0,0.00965,0,0,0,0,0,0.48685,0.47351,0,0.73997,0,0.14616,0.43661,0.00851,18.74763,0.7708,1.89404E-121,0,0,0,0,1.29145E-121,0.17936,0,0.00637,9.95915E-143,0.0001,0,0.00637,9.95915E-143,0.0001,0
,2011-01-03,9,4,10219.9813,0.00024,-6.55,-4.3,-11.96516,63.95146,6.11324,0,0.00024,7.0405,3.02615,0,0,0,0.00024,0,0,0,0,0,0.97515,0.95797,0,0.00024,0,0.13898,0.42503,0.00341,18.25062,0.30923,9.08459E-120,0,0,0,0,6.31233E-120,0.17926,0,0.00061,1.11123E-122,0.0001,0,0.00061,1.11123E-122,0.0001,0
,2011-01-04,9,4,10219.9813,0,-6.8,-3.6,-12.83886,55.90729,10.03736,0,0,11.56696,3.40613,0,0,0,0,0,0,0,0,0,1.2542,1.2368,0,0,0,0.12972,0.40063,0.00133,17.20289,0.12011,2.14357E-124,0,0,0,0,5.76933E-120,0.17916,0,0.00005,5.4315E-121,0.0001,0,0.00005,5.4315E-121,0.0001,0
,2011-01-05,9,4,10219.9813,0.01379,-3.49171,5.10493,-12.08836,71.88541,14.92669,0,0.01379,7.66131,3.1624,0,0,0,0.01379,0,0,0,0,0,1.05133,1.03782,0,0.01379,0,0.12194,0.37824,0.00048,16.24161,0.04356,2.52274E-132,0,0,0,0,5.2729E-120,0.17907,0,3.13103E-6,4.96427E-121,0.0001,0,3.13103E-6,4.96427E-121,0.0001,0
,2011-01-06,9,4,10219.9813,0,-1.53896,6.42199,-9.4999,63.49624,11.2571,0,0,7.366,3.07777,0,0,0,0,0,0,0,0,0,1.50827,1.48953,0,0,0,0.11079,0.34423,0.00016,14.78094,0.01471,1.06108E-141,0,0,0,0,4.81919E-120,0.17897,0,1.76326E-7,4.53711E-121,0.0001,0,1.76326E-7,4.53711E-121,0.0001,0
,2011-01-07,9,4,10219.9813,0,1.75045,7.68826,-4.18735,60.57229,5.43459,0,0,11.30467,3.39025,0,0,0,0,0,0,0,0,0,1.76397,1.74046,0,0,0,0.09776,0.30394,0.00005,13.05081,0.00439,1.66292E-153,0,0,0,0,4.40452E-120,0.17887,0,8.11155E-9,4.14671E-121,0.0001,0,8.11155E-9,4.14671E-121,0.0001,0
,2011-01-08,9,4,10219.9813,0.70761,-0.31471,4.21265,-4.84207,63.1475,4.23145,0,0.70761,8.01872,3.19856,0,0,0,0.70761,0,0,0,0,0,0.66946,0.65914,0,0.70761,0,0.09282,0.28866,0.00001,12.39497,0.00108,2.32875E-167,0,0,0,0,4.02553E-120,0.17877,0,2.61806E-10,3.78991E-121,0.0001,0,2.61806E-10,3.78991E-121,0.0001,0
,2011-01-09,9,4,10219.9813,7.52938,-9.24111,0.60723,-19.08946,89.52229,1.50436,0,7.52938,3.66028,2.82609,0,0,0,7.52938,7.25147,0,0,0,0,0,0,0,0.27791,0,0.09282,0.28868,2.69848E-6,12.39581,0.00024,1.33354E-181,0,0,0,0,3.67915E-120,0.17868,0,4.95185E-12,3.4638E-121,0.0001,0,4.95185E-12,3.4638E-121,0.0001,0
