@T, output
created_at,"Mon May 01 13:23:32 MDT 2023"
date_format,yyyy-MM-dd
@H,time,catchmentSimRunoff,catchmentSimRunoffN,catchmentSimRunoff_NO3,catchmentSimRunoff_NO3_N,catchmentNO3_N_Load_kg_ha,catchmentRD1_w,catchmentRD2_w,catchmentRG1_w,catchmentRG2_w,catchmentNRD1_w,catchmentNRD2_w,catchmentNRG1_w,catchmentNRG2_w,catchmentSed,deepsinkW,deepsinkN
Type,LocalDate,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Unit,-,m3/s,kg,mg/L,mg/L,kg/ha,mm/m2,mm/m2,mm/m2,mm/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg,L,kg
,2011-01-01,0.04854,0.41642,0.0993,0.0993,0.00006,0.00002,0.0625,0.00001,4.19739E-6,0,6.20686E-9,6.62273E-15,2.27827E-12,0,0,0
,2011-01-02,0.04722,0.39005,0.0956,0.0956,0.00006,0.00002,0.0608,0.00001,4.2894E-6,0,5.79981E-9,1.35601E-11,2.48381E-12,0,0,0
,2011-01-03,0.04635,0.3681,0.09192,0.09192,0.00005,0.00002,0.05965,0.00004,4.45493E-6,0,5.45245E-9,3.35067E-11,2.62781E-12,0,0,0
,2011-01-04,0.04555,0.34968,0.08885,0.08885,0.00005,0.00001,0.05858,0.00008,4.69395E-6,0,5.15509E-9,5.62089E-11,2.7116E-12,0,0,0
,2011-01-05,0.04473,0.33432,0.08651,0.08651,0.00005,0.00001,0.05746,0.00015,0.00001,0,4.90148E-9,8.06865E-11,2.7493E-12,0,0,0
,2011-01-06,0.04383,0.32154,0.08492,0.08492,0.00005,0.00001,0.05622,0.00023,0.00001,0,4.68717E-9,1.04437E-10,2.7534E-12,0,0,0
,2011-01-07,0.04282,0.31419,0.08492,0.08492,0.00005,0.00001,0.05483,0.00032,0.00001,0,4.50751E-9,1.74453E-10,2.7327E-12,0,0,0
,2011-01-08,0.04171,0.31876,0.08845,0.08845,0.00005,0.00001,0.0533,0.00042,0.00001,0,4.35704E-9,3.93108E-10,2.69338E-12,0,0,0
,2011-01-09,0.0405,0.32691,0.09343,0.09343,0.00005,0.00001,0.05164,0.00052,0.00001,0,4.22948E-9,6.42381E-10,2.6395E-12,0,0,0
,2011-01-10,0.0392,0.33745,0.09964,0.09964,0.00005,0.00001,0.04986,0.00062,0.00001,0,4.11896E-9,9.10048E-10,2.57517E-12,0,0,0
,2011-01-11,0.03782,0.34926,0.10687,0.10687,0.00005,0.00001,0.048,0.00071,0.00001,0,4.02002E-9,1.18522E-9,2.50423E-12,0,0,0
,2011-01-12,0.0364,0.36144,0.11492,0.11492,0.00005,0.00001,0.04608,0.00079,0.00001,0,3.92814E-9,1.45865E-9,2.42908E-12,0,0,0
,2011-01-13,0.03494,0.37322,0.12361,0.12361,0.00006,0.00001,0.04413,0.00087,0.00001,0,3.83975E-9,1.72284E-9,2.35117E-12,0,0,0
,2011-01-14,0.03347,0.38406,0.1328,0.1328,0.00006,0.00001,0.04217,0.00094,0.00001,0,3.75231E-9,1.97203E-9,2.27183E-12,0,0,0
,2011-01-15,0.032,0.39358,0.14234,0.14234,0.00006,4.66835E-6,0.04022,0.00099,0.00001,0,3.6642E-9,2.2021E-9,2.19237E-12,0,0,0
,2011-01-16,0.03055,0.40154,0.15213,0.15213,0.00006,4.22836E-6,0.0383,0.00104,0.00001,0,3.57455E-9,2.41048E-9,2.11391E-12,0,0,0
,2011-01-17,0.02912,0.40783,0.16208,0.16208,0.00006,3.83379E-6,0.03643,0.00107,0.00001,0,3.48313E-9,2.59587E-9,2.03728E-12,0,0,0
,2011-01-18,0.02774,0.41243,0.17211,0.17211,0.00006,3.47998E-6,0.03461,0.0011,0.00001,0,3.38989E-9,2.7578E-9,1.96303E-12,0,0,0
,2011-01-19,0.02639,0.41541,0.18216,0.18216,0.00006,3.163E-6,0.03287,0.00112,0.00001,0,3.29528E-9,2.89682E-9,1.89178E-12,0,0,0
,2011-01-20,0.0251,0.41686,0.19219,0.19219,0.00006,2.87898E-6,0.03119,0.00113,0.00001,0,3.19982E-9,3.01395E-9,1.82347E-12,0,0,0
,2011-01-21,0.02387,0.41691,0.20215,0.20215,0.00006,2.62443E-6,0.0296,0.00114,0.00001,0,3.10406E-9,3.11057E-9,1.75833E-12,0,0,0
,2011-01-22,0.0227,0.41573,0.21201,0.21201,0.00006,2.39621E-6,0.02808,0.00114,0.00001,0,3.00866E-9,3.18843E-9,1.6965E-12,0,0,0
