@T, output
created_at,"Mon May 01 13:23:32 MDT 2023"
date_format,yyyy-MM-dd
@H,time,ID,simRunoff_qm_sec,simRunoff,reachNitrateConcentration,reachNitrateLoads,actRD1,actRD2,actRG1,actRG2,outRD1,outRD2,outRG1,outRG2
Type,LocalDate,Integer,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Unit,-,-,-,-,mg/L as N,kg as N,-,-,-,-,-,-,-,-
,2011-01-01,-27,0.02638,2278976.89355,0.04393,0.40443,8.34575E-11,6926948.17723,405.14958,619.56095,2.74536E-11,2278639.81203,133.27514,203.80638
,2011-01-01,-25,0.02373,2050001.53618,0.04195,0.38806,3.49867E-11,7199537.87453,376.97395,1086.86705,9.9601E-12,2049584.80579,107.31801,309.41239
,2011-01-01,-23,0.04194,3623935.54718,0.04521,0.51991,57.47854,7874288.44655,758.89264,470.3381,26.44867,3623343.4696,349.20345,216.42546
,2011-01-01,-22,0.04854,4193809.81274,0.0993,0.42289,19.79416,65083.96374,6.25203,4.37072,1274.87906,4191850.75646,402.67329,281.50392
,2011-01-02,-27,0.02669,2305917.97881,0.08038,0.74568,7.31589E-11,6964065.27819,5950.44801,843.20169,2.42005E-11,2303670.68057,1968.37222,278.92602
,2011-01-02,-25,0.0232,2004612.20145,0.06119,0.55824,3.14045E-11,7115840.19628,374.38662,1711.59265,8.84439E-12,2004024.72984,105.43801,482.03359
,2011-01-02,-23,0.04207,3635117.20938,0.04695,0.54105,63.89218,7873968.85342,14142.77541,505.07632,29.44162,3628338.01319,6517.01456,232.74001
,2011-01-02,-22,0.04722,4080203.41449,0.0956,0.39615,17.91578,63822.09267,14.94711,4.50241,1144.70141,4077816.01517,955.02308,287.67484
,2011-01-03,-27,0.02708,2339525.5836,0.11746,1.09983,6.42032E-11,7008023.75938,14914.35215,1116.98434,2.13844E-11,2334185.9726,4967.57328,372.03772
,2011-01-03,-25,0.02249,1943179.31209,0.07995,0.71533,2.81299E-11,7001430.60413,371.70727,2368.01629,7.80412E-12,1942419.22576,103.1234,656.96293
,2011-01-03,-23,0.04216,3642643.52622,0.05091,0.5875,62.25599,7854924.99487,41901.53557,603.39541,28.71498,3623009.8141,19326.68672,278.31042
,2011-01-03,-22,0.04635,4004446.57455,0.09192,0.37389,16.30865,62956.37154,41.03826,4.70187,1036.31805,4000503.74291,2607.73773,298.77586
,2011-01-04,-27,0.02714,2344715.97212,0.14966,1.40338,5.64008E-11,7004985.19389,25824.28544,1431.81074,1.88054E-11,2335628.14345,8610.42903,477.39965
,2011-01-04,-25,0.02142,1850976.2756,0.09636,0.8365,2.51549E-11,6827037.30501,369.02842,3044.76476,6.8167E-12,1850051.17562,100.0026,825.09739
,2011-01-04,-23,0.04168,3601456.63325,0.05724,0.6554,55.96562,7769425.32364,78939.80186,755.73547,25.67884,3564864.05983,36220.13866,346.75592
,2011-01-04,-22,0.04555,3935531.47406,0.08885,0.35522,14.86267,62141.82562,88.64313,4.97945,939.63385,3928672.92029,5604.11371,314.80621
,2011-01-05,-27,0.02674,2310205.97657,0.18925,1.7577,4.96282E-11,6938303.72062,37582.86059,1778.18306,1.64312E-11,2297174.09251,12443.15284,588.73123
,2011-01-05,-25,0.02006,1733503.25914,0.1081,0.9012,2.25082E-11,6599445.47971,367.26071,3734.2872,5.90864E-12,1732426.55799,96.40995,980.2912
,2011-01-05,-23,0.0407,3516306.08804,0.066,0.74345,47.93813,7627676.55796,119866.39155,948.94672,21.75444,3461458.04135,54395.65794,430.63431
,2011-01-05,-22,0.04473,3864479.17392,0.08651,0.33964,13.56055,61321.24206,157.65936,5.35036,852.13517,3853383.62296,9907.20294,336.21284
,2011-01-06,-27,0.02591,2238625.99845,0.22257,2.02582,4.37747E-11,6811711.26669,49470.31096,2147.27797,1.42781E-11,2221789.78399,16135.83242,700.38204
