@T, output
created_at,"Mon May 01 13:23:32 MDT 2023"
date_format,yyyy-MM-dd
@H,time,ID,simRunoff_qm_sec,simRunoff,reachNitrateConcentration,reachNitrateLoads,actRD1,actRD2,actRG1,actRG2,outRD1,outRD2,outRG1,outRG2
Type,LocalDate,Integer,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Unit,-,-,-,-,mg/L as N,kg as N,-,-,-,-,-,-,-,-
,2011-01-01,-25,0.02373,2050001.53618,0.04195,0.38806,3.49867E-11,7199537.87453,376.97395,1086.86705,9.9601E-12,2049584.80579,107.31801,309.41239
,2011-01-02,-25,0.0232,2004612.20145,0.06119,0.55824,3.14045E-11,7115840.19628,374.38662,1711.59265,8.84439E-12,2004024.72984,105.43801,482.03359
,2011-01-03,-25,0.02249,1943179.31209,0.07995,0.71533,2.81299E-11,7001430.60413,371.70727,2368.01629,7.80412E-12,1942419.22576,103.1234,656.96293
,2011-01-04,-25,0.02142,1850976.2756,0.09636,0.8365,2.51549E-11,6827037.30501,369.02842,3044.76476,6.8167E-12,1850051.17562,100.0026,825.09739
,2011-01-05,-25,0.02006,1733503.25914,0.1081,0.9012,2.25082E-11,6599445.47971,367.26071,3734.2872,5.90864E-12,1732426.55799,96.40995,980.2912
,2011-01-06,-25,0.01853,1601157.44611,0.11596,0.92079,2.01932E-11,6334892.38681,366.99555,4431.72778,5.10001E-12,1599945.47672,92.68869,1119.28071
,2011-01-07,-25,0.01696,1465621.74149,0.12106,0.91097,1.81905E-11,6053844.6343,368.48336,5136.61688,4.39988E-12,1464290.18035,89.12792,1242.43322
,2011-01-08,-25,0.01542,1332497.77429,0.12337,0.87655,1.64655E-11,5766433.33556,371.55803,5842.17056,3.80072E-12,1331063.46185,85.76659,1348.54585
,2011-01-09,-25,0.01396,1206152.6787,0.12331,0.82552,1.49827E-11,5481664.30412,376.03906,6544.53607,3.29255E-12,1204631.83673,82.63706,1438.20491
,2011-01-10,-25,0.01262,1090522.04833,0.12166,0.76715,1.37068E-11,5207499.47129,381.72249,7244.81821,2.86619E-12,1088927.28134,79.82104,1514.94594
,2011-01-11,-25,0.01141,986196.19157,0.11908,0.70794,1.26082E-11,4950449.06107,388.50695,7948.91001,2.5075E-12,984538.0583,77.26569,1580.86758
,2011-01-12,-25,0.01035,894033.46794,0.11439,0.6424,1.16586E-11,4712995.78849,396.20843,8660.55195,2.20733E-12,892318.73757,75.01475,1639.71561
,2011-01-13,-25,0.00941,813226.72431,0.10867,0.57796,1.08333E-11,4495523.02424,404.62956,9382.65153,1.95546E-12,811460.0805,73.03727,1693.60653
,2011-01-14,-25,0.00859,742419.53928,0.0976,0.49287,1.0111E-11,4296743.48247,413.51635,10114.8887,1.74278E-12,740604.81901,71.27542,1743.44485
,2011-01-15,-25,0.00787,680338.22318,0.08806,0.42329,9.47472E-12,4115212.78329,422.68386,10856.89594,1.5621E-12,678478.54949,69.68824,1789.98545
,2011-01-16,-25,0.00724,625764.39453,0.07977,0.36593,8.91034E-12,3949251.09546,431.96658,11607.50999,1.40757E-12,623862.52047,68.23769,1833.63637
,2011-01-17,-25,0.00668,577459.11863,0.07247,0.31792,8.40623E-12,3796699.83346,441.18582,12362.83864,1.27425E-12,575518.23579,66.87663,1874.00621
,2011-01-18,-25,0.00619,534491.79192,0.06607,0.27775,7.95328E-12,3655968.47262,450.24505,13121.16681,1.15845E-12,532515.02958,65.58105,1911.18129
,2011-01-19,-25,0.00574,496135.93711,0.06043,0.24393,7.54425E-12,3525833.80281,459.1055,13882.41927,1.05729E-12,494126.05195,64.34109,1945.54406
,2011-01-20,-25,0.00534,461440.26073,0.05545,0.21527,7.17365E-12,3405440.92151,467.76824,14647.65066,9.67741E-13,459401.15886,63.10292,1975.99895
,2011-01-21,-25,0.00498,430693.1657,0.05103,0.19088,6.83619E-12,3293773.69502,476.24281,15417.93333,8.89606E-13,428624.82733,61.97435,2006.36401
