@T, output
created_at,"Sat Apr 15 00:26:40 MDT 2023"
date_format,yyyy-MM-dd
@H,time,catchmentSimRunoff
Type,LocalDate,Double
Unit,-,m3/s
,2011-01-01,0.07238
,2011-01-02,0.07594
,2011-01-03,0.08064
,2011-01-04,0.08474
,2011-01-05,0.08735
,2011-01-06,0.08808
,2011-01-07,0.08695
,2011-01-08,0.08423
,2011-01-09,0.08031
,2011-01-10,0.0756
,2011-01-11,0.07048
,2011-01-12,0.06525
,2011-01-13,0.06011
,2011-01-14,0.05521
,2011-01-15,0.05064
,2011-01-16,0.04642
,2011-01-17,0.04257
,2011-01-18,0.03908
,2011-01-19,0.03592
,2011-01-20,0.03307
,2011-01-21,0.03051
,2011-01-22,0.0282
,2011-01-23,0.02611
,2011-01-24,0.02424
,2011-01-25,0.02254
,2011-01-26,0.021
,2011-01-27,0.0196
,2011-01-28,0.01833
,2011-01-29,0.01717
,2011-01-30,0.01612
,2011-01-31,0.01516
,2011-02-01,0.01428
,2011-02-02,0.01347
,2011-02-03,0.01272
,2011-02-04,0.01204
,2011-02-05,0.01141
,2011-02-06,0.01082
,2011-02-07,0.01028
,2011-02-08,0.00978
,2011-02-09,0.00931
,2011-02-10,0.00888
,2011-02-11,0.00847
,2011-02-12,0.0081
,2011-02-13,0.00774
,2011-02-14,0.00741
,2011-02-15,0.0071
,2011-02-16,0.00681
,2011-02-17,0.00654
,2011-02-18,0.00628
,2011-02-19,0.00604
,2011-02-20,0.00581
,2011-02-21,0.00559
,2011-02-22,0.00539
,2011-02-23,0.0052
,2011-02-24,0.00502
,2011-02-25,0.00484
,2011-02-26,0.00468
,2011-02-27,0.00453
,2011-02-28,0.00438
,2011-03-01,0.00424
,2011-03-02,0.0041
,2011-03-03,0.00398
,2011-03-04,0.00386
,2011-03-05,0.00374
,2011-03-06,0.00363
,2011-03-07,0.00352
,2011-03-08,0.00342
,2011-03-09,0.00333
,2011-03-10,0.00324
,2011-03-11,0.00315
,2011-03-12,0.00306
,2011-03-13,0.00298
,2011-03-14,0.00291
,2011-03-15,0.00283
,2011-03-16,0.00276
,2011-03-17,0.0027
,2011-03-18,0.00266
,2011-03-19,0.00276
,2011-03-20,0.00335
,2011-03-21,0.0055
,2011-03-22,0.01118
,2011-03-23,0.02273
,2011-03-24,0.04016
,2011-03-25,0.07649
,2011-03-26,0.105
,2011-03-27,0.14889
,2011-03-28,0.16997
,2011-03-29,0.17491
,2011-03-30,0.17784
,2011-03-31,0.19578
,2011-04-01,0.34646
,2011-04-02,0.70814
,2011-04-03,0.83006
,2011-04-04,0.77365
,2011-04-05,0.75566
,2011-04-06,0.77716
,2011-04-07,0.92376
,2011-04-08,1.11152
,2011-04-09,1.11442
,2011-04-10,0.96515
,2011-04-11,0.8091
,2011-04-12,0.67365
,2011-04-13,0.59871
,2011-04-14,0.5781
,2011-04-15,0.57532
,2011-04-16,0.58639
,2011-04-17,0.6246
,2011-04-18,0.72568
,2011-04-19,0.76791
,2011-04-20,0.8107
,2011-04-21,0.83073
,2011-04-22,0.76145
,2011-04-23,0.67972
,2011-04-24,0.68812
,2011-04-25,0.74335
,2011-04-26,0.78807
,2011-04-27,0.73456
,2011-04-28,0.68219
,2011-04-29,0.61526
,2011-04-30,0.54088
,2011-05-01,0.47276
,2011-05-02,0.41454
,2011-05-03,0.36698
,2011-05-04,0.32718
,2011-05-05,0.29472
,2011-05-06,0.26883
,2011-05-07,0.24803
,2011-05-08,0.23159
,2011-05-09,0.2201
,2011-05-10,0.2631
,2011-05-11,0.3149
,2011-05-12,0.40791
,2011-05-13,0.73789
,2011-05-14,0.86358
,2011-05-15,1.00478
,2011-05-16,0.95522
,2011-05-17,0.8458
,2011-05-18,0.84814
,2011-05-19,0.90138
,2011-05-20,1.19396
,2011-05-21,1.30084
,2011-05-22,1.79109
,2011-05-23,2.1146
,2011-05-24,2.02301
,2011-05-25,1.72571
,2011-05-26,1.47534
,2011-05-27,1.51882
,2011-05-28,1.71357
,2011-05-29,2.03803
