@T, output
created_at,"Fri Apr 28 19:00:39 MDT 2023"
date_format,yyyy-MM-dd
@H,time,ID,simRunoff_qm_sec
Type,LocalDate,Integer,Double
Unit,-,-,-
,2011-01-01,-27,0.03709
,2011-01-01,-25,0.0333
,2011-01-01,-23,0.05842
,2011-01-01,-22,0.07317
,2011-01-02,-27,0.03703
,2011-01-02,-25,0.03159
,2011-01-02,-23,0.05755
,2011-01-02,-22,0.06943
,2011-01-03,-27,0.03673
,2011-01-03,-25,0.02944
,2011-01-03,-23,0.05619
,2011-01-03,-22,0.06637
,2011-01-04,-27,0.03567
,2011-01-04,-25,0.02684
,2011-01-04,-23,0.05407
,2011-01-04,-22,0.06358
,2011-01-05,-27,0.03388
,2011-01-05,-25,0.02407
,2011-01-05,-23,0.05143
,2011-01-05,-22,0.06087
,2011-01-06,-27,0.0316
,2011-01-06,-25,0.02135
,2011-01-06,-23,0.04848
,2011-01-06,-22,0.05815
,2011-01-07,-27,0.02908
,2011-01-07,-25,0.01884
,2011-01-07,-23,0.04538
,2011-01-07,-22,0.05539
,2011-01-08,-27,0.02651
,2011-01-08,-25,0.01658
,2011-01-08,-23,0.04223
,2011-01-08,-22,0.05261
,2011-01-09,-27,0.024
,2011-01-09,-25,0.01457
,2011-01-09,-23,0.0391
,2011-01-09,-22,0.0498
,2011-01-10,-27,0.02166
,2011-01-10,-25,0.01283
,2011-01-10,-23,0.03606
,2011-01-10,-22,0.04701
,2011-01-11,-27,0.01953
,2011-01-11,-25,0.01134
,2011-01-11,-23,0.03316
,2011-01-11,-22,0.04425
,2011-01-12,-27,0.01761
,2011-01-12,-25,0.01008
,2011-01-12,-23,0.03044
,2011-01-12,-22,0.04157
,2011-01-13,-27,0.01592
,2011-01-13,-25,0.00901
,2011-01-13,-23,0.02791
,2011-01-13,-22,0.03898
,2011-01-14,-27,0.01442
,2011-01-14,-25,0.0081
,2011-01-14,-23,0.02558
,2011-01-14,-22,0.0365
,2011-01-15,-27,0.01309
,2011-01-15,-25,0.00732
,2011-01-15,-23,0.02344
,2011-01-15,-22,0.03414
,2011-01-16,-27,0.01193
,2011-01-16,-25,0.00666
,2011-01-16,-23,0.0215
,2011-01-16,-22,0.03192
,2011-01-17,-27,0.01091
,2011-01-17,-25,0.00608
,2011-01-17,-23,0.01975
,2011-01-17,-22,0.02983
,2011-01-18,-27,0.01001
,2011-01-18,-25,0.00558
,2011-01-18,-23,0.01817
,2011-01-18,-22,0.0279
,2011-01-19,-27,0.00921
,2011-01-19,-25,0.00513
,2011-01-19,-23,0.01674
,2011-01-19,-22,0.02609
,2011-01-20,-27,0.0085
,2011-01-20,-25,0.00474
,2011-01-20,-23,0.01546
,2011-01-20,-22,0.02441
,2011-01-21,-27,0.00786
