@T, output
created_at,"Sat Apr 15 00:26:40 MDT 2023"
date_format,yyyy-MM-dd
@H,time,ID,simRunoff_qm_sec
Type,LocalDate,Integer,Double
Unit,-,-,-
,2011-01-01,-25,0.07173
,2011-01-02,-25,0.07185
,2011-01-03,-25,0.0671
,2011-01-04,-25,0.05905
,2011-01-05,-25,0.05034
,2011-01-06,-25,0.04233
,2011-01-07,-25,0.03553
,2011-01-08,-25,0.02978
,2011-01-09,-25,0.02508
,2011-01-10,-25,0.0213
,2011-01-11,-25,0.01827
,2011-01-12,-25,0.01583
,2011-01-13,-25,0.01384
,2011-01-14,-25,0.0122
,2011-01-15,-25,0.01085
,2011-01-16,-25,0.00971
,2011-01-17,-25,0.00874
,2011-01-18,-25,0.00791
,2011-01-19,-25,0.00719
,2011-01-20,-25,0.00656
,2011-01-21,-25,0.00602
,2011-01-22,-25,0.00553
,2011-01-23,-25,0.0051
,2011-01-24,-25,0.00472
,2011-01-25,-25,0.00438
,2011-01-26,-25,0.00407
,2011-01-27,-25,0.00379
,2011-01-28,-25,0.00354
,2011-01-29,-25,0.00331
,2011-01-30,-25,0.0031
,2011-01-31,-25,0.00291
,2011-02-01,-25,0.00273
,2011-02-02,-25,0.00257
,2011-02-03,-25,0.00241
,2011-02-04,-25,0.00227
,2011-02-05,-25,0.00215
,2011-02-06,-25,0.00203
,2011-02-07,-25,0.00192
,2011-02-08,-25,0.00181
,2011-02-09,-25,0.00172
,2011-02-10,-25,0.00163
,2011-02-11,-25,0.00155
,2011-02-12,-25,0.00147
,2011-02-13,-25,0.0014
,2011-02-14,-25,0.00134
,2011-02-15,-25,0.00128
,2011-02-16,-25,0.00122
,2011-02-17,-25,0.00117
,2011-02-18,-25,0.00112
,2011-02-19,-25,0.00107
,2011-02-20,-25,0.00103
,2011-02-21,-25,0.00099
,2011-02-22,-25,0.00095
,2011-02-23,-25,0.00091
,2011-02-24,-25,0.00088
,2011-02-25,-25,0.00084
,2011-02-26,-25,0.00081
,2011-02-27,-25,0.00078
,2011-02-28,-25,0.00076
,2011-03-01,-25,0.00073
,2011-03-02,-25,0.00071
,2011-03-03,-25,0.00068
,2011-03-04,-25,0.00066
,2011-03-05,-25,0.00064
,2011-03-06,-25,0.00062
,2011-03-07,-25,0.0006
,2011-03-08,-25,0.00058
,2011-03-09,-25,0.00056
,2011-03-10,-25,0.00055
,2011-03-11,-25,0.00053
,2011-03-12,-25,0.00052
,2011-03-13,-25,0.0005
,2011-03-14,-25,0.00051
,2011-03-15,-25,0.00119
,2011-03-16,-25,0.01704
,2011-03-17,-25,0.05635
,2011-03-18,-25,0.08945
,2011-03-19,-25,0.11743
,2011-03-20,-25,0.13548
,2011-03-21,-25,0.17877
,2011-03-22,-25,0.196
