@T, output
created_at,"Fri Apr 28 19:00:39 MDT 2023"
date_format,yyyy-MM-dd
@H,time,ID,simRunoff_qm_sec
Type,LocalDate,Integer,Double
Unit,-,-,-
,2011-01-01,-27,0.03709
,2011-01-02,-27,0.03703
,2011-01-03,-27,0.03673
,2011-01-04,-27,0.03567
,2011-01-05,-27,0.03388
,2011-01-06,-27,0.0316
,2011-01-07,-27,0.02908
,2011-01-08,-27,0.02651
,2011-01-09,-27,0.024
,2011-01-10,-27,0.02166
,2011-01-11,-27,0.01953
,2011-01-12,-27,0.01761
,2011-01-13,-27,0.01592
,2011-01-14,-27,0.01442
,2011-01-15,-27,0.01309
,2011-01-16,-27,0.01193
,2011-01-17,-27,0.01091
,2011-01-18,-27,0.01001
,2011-01-19,-27,0.00921
,2011-01-20,-27,0.0085
,2011-01-21,-27,0.00786
,2011-01-22,-27,0.0073
,2011-01-23,-27,0.00679
,2011-01-24,-27,0.00634
,2011-01-25,-27,0.00593
,2011-01-26,-27,0.00556
,2011-01-27,-27,0.00522
,2011-01-28,-27,0.00497
,2011-01-29,-27,0.00791
,2011-01-30,-27,0.02425
,2011-01-31,-27,0.02961
,2011-02-01,-27,0.04135
,2011-02-02,-27,0.05344
,2011-02-03,-27,0.06036
,2011-02-04,-27,0.06136
,2011-02-05,-27,0.05824
,2011-02-06,-27,0.05308
,2011-02-07,-27,0.0473
,2011-02-08,-27,0.0417
,2011-02-09,-27,0.03663
,2011-02-10,-27,0.0322
,2011-02-11,-27,0.02839
,2011-02-12,-27,0.02514
,2011-02-13,-27,0.02237
,2011-02-14,-27,0.02023
,2011-02-15,-27,0.02065
,2011-02-16,-27,0.02809
,2011-02-17,-27,0.04384
,2011-02-18,-27,0.06166
,2011-02-19,-27,0.07823
,2011-02-20,-27,0.11011
,2011-02-21,-27,0.11437
,2011-02-22,-27,0.11556
,2011-02-23,-27,0.11153
,2011-02-24,-27,0.10317
,2011-02-25,-27,0.09266
,2011-02-26,-27,0.08185
,2011-02-27,-27,0.07355
,2011-02-28,-27,0.0691
,2011-03-01,-27,0.07077
,2011-03-02,-27,0.08785
,2011-03-03,-27,0.08812
,2011-03-04,-27,0.08511
,2011-03-05,-27,0.08187
,2011-03-06,-27,0.09012
,2011-03-07,-27,0.10416
,2011-03-08,-27,0.12126
,2011-03-09,-27,0.14119
,2011-03-10,-27,0.16209
,2011-03-11,-27,0.17926
,2011-03-12,-27,0.19614
,2011-03-13,-27,0.18955
,2011-03-14,-27,0.17898
,2011-03-15,-27,0.16657
,2011-03-16,-27,0.15329
,2011-03-17,-27,0.14009
,2011-03-18,-27,0.12823
,2011-03-19,-27,0.12588
,2011-03-20,-27,0.13784
,2011-03-21,-27,0.16048
,2011-03-22,-27,0.17413
