time,ID,LAI,BioAct,precip,tmean,tmax,tmin,rhum,wind,rain,snow,solRad,netRad,netRainOut,netSnowOut,irrigation_amount,interception,intercStorage,throughfall,snowDepth,snowTotSWE,snowMelt,potET,actET,E_dps,E_intercept,actDPS,soilSat,soilSatMPS,soilSatLPS,soilActMPS,soilActLPS,percolation,inRD1,inRD2,inRG1,inRG2,actRG1,actRG2,genRD1,genRD2,genRG1,genRG2,outRD1,outRD2,outRG1,outRG2,inSoilStor
1/1/11,19,4,13247.07718,0,-7.7,-2.3,-13.1,30.0028,12.62958,0,0,10.38703,2.75194,0,0,0,0,0,0,0,0,0,0.09527,0.09527,0,1.79044,0,0.27309,0.75134,1.85E-09,20.45138,8.81E-08,0.00134,0,0.00151,6.39E-236,6.89E-08,0.00085,0.03911,0,1.26E-32,1.93E-233,1.26E-06,0,3.81E-06,1.93E-233,1.26E-06,0
1/2/11,19,4,13247.07718,0,1.15,6.5,-4.2,27.60403,7.71188,0,0,11.65709,2.21608,0,0,0,0,0,0,0,0,0,3.2066,3.2066,0,0,0,0.23027,0.63354,3.19E-11,17.24479,1.52E-09,0.00001,0,0.00002,0.04085,0.00001,0.03758,0.03912,0,9.29E-36,0.00412,1.28E-06,0,4.26E-08,0.00412,1.28E-06,0
1/3/11,19,4,13247.07718,0,-5.1,0.9,-11.1,57.48101,6.25687,0,0,7.8264,2.93867,0,0,0,0,0,0,0,0,0,1.25611,1.25611,0,0,0,0.2135,0.58739,7.09E-15,15.98867,3.38E-13,2.73E-09,0,2.00E-09,0.0373,0.00001,0.06749,0.03913,0,5.95E-39,0.0074,1.28E-06,0,7.79E-12,0.0074,1.28E-06,0
1/4/11,19,4,13247.07718,0,-0.35,5.7,-6.4,35.92263,10.36604,0,0,10.97883,2.62944,0,0,0,0,0,0,0,0,0,2.75605,2.75605,0,0,0,0.18237,0.50175,1.15E-18,13.65752,5.50E-17,4.47E-13,0,2.92E-13,0.03364,0.00001,0.09113,0.03914,0,8.47E-45,0.00999,1.28E-06,0,1.27E-15,0.00999,1.28E-06,0
1/5/11,19,4,13247.07718,0,2.85,6.1,-0.4,33.81984,15.33146,0,0,7.27767,2.56257,0,0,0,0,0,0,0,0,0,3.69174,3.64812,0,0,0,0.16687,0.4591,1.04E-22,12.49662,4.95E-21,6.16E-17,0,4.03E-17,0.03033,0.00001,0.10946,0.03915,0,0,0.012,1.28E-06,0,1.76E-19,0.012,1.28E-06,0
1/6/11,19,4,13247.07718,0,6.7,9.8,3.6,33.94268,11.49312,0,0,7.66479,2.52615,0,0,0,0,0,0,0,0,0,4.44981,4.02736,0,0,0,0.15476,0.42578,5.22E-27,11.58963,2.49E-25,4.62E-21,0,2.96E-21,0.02735,0.00001,0.12329,0.03916,0,0,0.01352,1.28E-06,0,1.32E-23,0.01352,1.28E-06,0
1/7/11,19,4,13247.07718,0,1.95,7.2,-3.3,57.99541,5.49229,0,0,6.61972,2.90459,0,0,0,0,0,0,0,0,0,1.8711,1.31897,0,0,0,0.146,0.40168,1.19E-31,10.9337,5.70E-30,1.56E-25,0,4.68E-26,0.02466,0.00001,0.13333,0.03916,0,0,0.01462,1.28E-06,0,4.45E-28,0.01462,1.28E-06,0
1/8/11,19,4,13247.07718,0.53,4.4,12,-3.2,51.63505,4.3249,0,0.53,10.7504,3.07611,0,0,0,0.53,0,0,0,0,0,1.77232,0.85664,0,0.53,0,0.13865,0.38147,5.84E-26,10.3835,2.78E-24,1.83E-19,0,4.26E-19,0.02223,0.00001,0.14019,0.03917,0,0,0.01537,1.28E-06,0,9.10E-22,0.01537,1.28E-06,0
1/9/11,19,4,13247.07718,12.69,-10.05,-2.4,-17.7,94.61259,1.43627,0,12.69,6.4953,3.26063,0,9.14755,0,3.54245,3.30975,9.14755,311.99514,9.14755,0,0,0,0,0.2327,0,0.13865,0.38147,4.05E-31,10.3835,1.93E-29,1.58E-24,0,1.35E-25,0.02004,0.00001,0.1444,0.03918,0,0,0.01583,1.28E-06,0,4.51E-27,0.01583,1.28E-06,0
1/10/11,19,4,13247.07718,0,-12.2,-5.6,-18.8,60.9454,3.21858,0,0,10.87869,3.82492,0,0,0,0,2.65685,0,311.99514,9.14755,0,0,0,0,0.65291,0,0.13865,0.38147,2.20E-36,10.3835,1.05E-34,9.24E-30,0,5.82E-32,0.01807,0.00001,0.14642,0.03919,0,0,0.01605,1.28E-06,0,2.64E-32,0.01605,1.28E-06,0
