time,ID,LAI,BioAct,precip,tmean,tmax,tmin,rhum,wind,rain,snow,solRad,netRad,netRainOut,netSnowOut,irrigation_amount,interception,intercStorage,throughfall,snowDepth,snowTotSWE,snowMelt,potET,actET,E_dps,E_intercept,actDPS,soilSat,soilSatMPS,soilSatLPS,soilActMPS,soilActLPS,percolation,inRD1,inRD2,inRG1,inRG2,actRG1,actRG2,genRD1,genRD2,genRG1,genRG2,outRD1,outRD2,outRG1,outRG2,inSoilStor
1/1/11,18,4,17309.45044,3.6698,-13.65,3,-30.3,60.36792,12.62958,0,3.6698,8.62771,3.43465,0,0,0,3.6698,10.49082,0,1172.29379,68.65451,0,0,0,0,0.70986,0,0.10144,0.30652,0.00001,20.61183,0.00069,0,0,0,0,0,3.96E-51,2.12622,0,0.47919,5.53E-52,0.00013,0,0.47919,5.53E-52,0.00013,0
1/2/11,18,4,17309.45044,1.38,-5.65,10.7,-22,50.235,7.71188,0,1.38,11.44156,3.36083,0,0,0,1.38,10.40261,0,1172.29379,68.65451,0,0,0,0,1.46821,0,0.10144,0.30653,5.15E-09,20.61251,7.01E-07,4.20E-51,0,0,0,0,5.92E-51,2.1261,0,0.00001,4.86E-52,0.00013,0,0.00001,4.86E-52,0.00013,0
1/3/11,18,4,17309.45044,5.22,-6.55,-4.3,-18.5,63.95146,6.25687,0,5.22,7.0405,3.13859,0,0,0,5.22,14.6375,0,1172.29379,68.65451,0,0,0,0,0.98511,0,0.10144,0.30653,5.50E-12,20.61251,7.48E-10,2.16E-58,0,0,0,0,5.19E-51,2.12597,0,1.17E-09,7.26E-52,0.00013,0,1.17E-09,7.26E-52,0.00013,0
1/4/11,18,4,17309.45044,0,-6.8,-3.6,-18.7,55.90729,10.36604,0,0,11.56696,3.59308,0,0,0,0,13.37116,0,1172.29379,68.65451,0,0,0,0,1.26634,0,0.10144,0.30653,5.88E-15,20.61251,7.99E-13,9.65E-66,0,0,0,0,4.56E-51,2.12585,0,2.06E-13,6.37E-52,0.00013,0,2.06E-13,6.37E-52,0.00013,0
1/5/11,18,4,17309.45044,3.31336,5.3,27,-16.4,71.88542,15.33146,0,3.31336,7.66131,3.27136,0,0,0,3.31336,14.80119,0,1172.29379,68.65451,0,0,0,0,1.88332,0,0.10144,0.30653,6.24E-18,20.61251,8.49E-16,4.59E-73,0,0,0,0,4.00E-51,2.12572,0,3.63E-17,5.59E-52,0.00013,0,3.63E-17,5.59E-52,0.00013,0
1/6/11,18,4,17309.45044,2.73,-1,13.9,-15.9,63.49625,11.49312,0,2.73,7.366,3.19041,0,0,0,2.73,15.96067,0,1172.29379,68.65451,0,0,0,0,1.57052,0,0.10144,0.30653,6.57E-21,20.61251,8.94E-19,2.07E-80,0,0,0,0,3.51E-51,2.12559,0,6.35E-21,4.90E-52,0.00013,0,6.35E-21,4.90E-52,0.00013,0
1/7/11,18,4,17309.45044,0,6.5,18.4,-5.4,60.57229,5.49229,0,0,11.30467,3.56959,0,0,0,0,13.6385,0,1172.29379,68.65451,0,0,0,0,2.32217,0,0.10144,0.30653,6.87E-24,20.61251,9.34E-22,9.12E-88,0,0,0,0,3.08E-51,2.12547,0,1.10E-24,4.30E-52,0.00013,0,1.10E-24,4.30E-52,0.00013,0
1/8/11,18,4,17309.45044,1.03,-2.1,3,-7.2,63.1475,4.3249,0,1.03,8.01872,3.34432,0,0,0,1.03,13.417,0,1172.29379,68.65451,0,0,0,0,1.25151,0,0.10144,0.30653,7.12E-27,20.61251,9.68E-25,3.92E-95,0,0,0,0,2.70E-51,2.12534,0,1.89E-28,3.77E-52,0.00013,0,1.89E-28,3.77E-52,0.00013,0
1/9/11,18,4,17309.45044,6.83,-5.3,9.5,-20.1,89.52229,1.43627,0,6.83,3.66028,2.87444,0,0,0,6.83,19.89286,0,1172.29379,68.65451,0,0,0,0,0.35414,0,0.10144,0.30653,7.33E-30,20.61251,9.96E-28,1.61E-102,0,0,0,0,2.37E-51,2.12521,0,3.21E-32,3.31E-52,0.00013,0,3.21E-32,3.31E-52,0.00013,0
1/10/11,18,4,17309.45044,2.9069,-5.75,16.7,-28.2,76.89708,3.21858,0,2.9069,9.80654,3.86066,0,0,0,2.9069,22.1341,0,1172.29379,68.65451,0,0,0,0,0.66566,0,0.10144,0.30653,7.48E-33,20.61251,1.02E-30,6.47E-110,0,0,0,0,2.08E-51,2.12509,0,5.40E-36,2.91E-52,0.00013,0,5.40E-36,2.91E-52,0.00013,0
1/11/11,18,4,17309.45044,3.22,-0.7,19.2,-20.6,46.55125,8.67417,0,3.22,11.91736,3.65057,0,0,0,3.22,23.13141,0,1172.29379,68.65451,0,0,0,0,2.22269,0,0.10144,0.30653,7.58E-36,20.61251,1.03E-33,2.49E-117,0,0,0,0,1.82E-51,2.12496,0,9.00E-40,2.55E-52,0.00013,0,9.00E-40,2.55E-52,0.00013,0
1/12/11,18,4,17309.45044,0,-6.1,-1.4,-10,52.20958,7.74458,0,0,8.03025,3.49108,0,0,0,0,21.75622,0,1172.29379,68.65451,0,0,0,0,1.3752,0,0.10144,0.30653,7.62E-39,20.61251,1.04E-36,9.53E-125,0,0,0,0,1.60E-51,2.12484,0,1.48E-43,2.24E-52,0.00013,0,1.48E-43,2.24E-52,0.00013,0
1/13/11,18,4,17309.45044,0,-1.35,1.8,-12.9,68.01417,9.07417,0,0,8.72918,3.69617,0,0,0,0,20.42729,0,1172.29379,68.65451,0,0,0,0,1.32892,0,0.10144,0.30653,7.60E-42,20.61251,1.03E-39,3.48E-132,0,0,0,0,1.40E-51,2.12471,0,2.43E-47,1.96E-52,0.00013,0,2.43E-47,1.96E-52,0.00013,0
1/14/11,18,4,17309.45044,2.17,-3.5,-0.9,-6.1,63.64396,7.26833,0,2.17,12.20205,4.26432,0,0,0,2.17,21.31879,0,1172.29379,68.65451,0,0,0,0,1.2785,0,0.10144,0.30653,7.52E-45,20.61251,1.02E-42,1.24E-139,0,0,0,0,1.23E-51,2.12458,0,3.92E-51,1.72E-52,0.00013,0,3.92E-51,1.72E-52,0.00013,0
1/15/11,18,4,17309.45044,2.02,1.4,15.2,-12.4,64.06562,8.7275,0,2.02,5.54273,3.25299,0,0,0,2.02,21.60574,0,1172.29379,68.65451,0,0,0,0,1.73305,0,0.10144,0.30653,7.39E-48,20.61251,1.01E-45,4.30E-147,0,0,0,0,1.08E-51,2.12446,0,6.29E-55,1.51E-52,0.00013,0,6.29E-55,1.51E-52,0.00013,0
1/16/11,18,4,17309.45044,6.03907,2.7,20.3,-14.9,76.50125,13.0925,0,6.03907,5.88902,3.40554,0,0,0,6.03907,26.30848,0,1172.29379,68.65451,0,0,0,0,1.33632,0,0.10144,0.30653,7.21E-51,20.61251,9.81E-49,1.45E-154,0,0,0,0,9.47E-52,2.12433,0,9.99E-59,1.32E-52,0.00013,0,9.99E-59,1.32E-52,0.00013,0
1/17/11,18,4,17309.45044,29.46442,7.2,20.3,-5.9,81.1375,8.36146,6.44193,23.02248,4.25538,3.15101,5.3187,19.00822,0,5.13749,30.10488,24.32692,1271.43055,87.66273,5.3187,0,0,0,1.34109,0,0.12759,0.38556,4.12E-06,25.92654,0.00056,2.08E-42,0,0,0,0,1.21E-42,2.1242,0,0.00411,1.16E-52,0.00013,0,0.00411,1.16E-52,0.00013,0
1/18/11,18,4,17309.45044,3.52695,-1.85,14.4,-18.1,67.11813,11.77042,0,3.52695,9.36115,4.05765,0,0,0,3.52695,32.26255,0,1271.43055,87.66273,0,0,0,0,1.36929,0,0.12759,0.38557,2.68E-08,25.92709,3.65E-06,8.20E-48,0,0,0,0,1.06E-42,2.12408,0,0.00001,1.49E-43,0.00013,0,0.00001,1.49E-43,0.00013,0
1/19/11,18,4,17309.45044,12.66,-9.7,-5.1,-14.3,81.02813,5.42106,0,12.66,6.10844,3.61855,0,5.01249,0,7.64751,39.45159,5.01249,1424.25032,92.67522,0,0,0,0,0.45846,0,0.12759,0.38557,1.78E-10,25.9271,2.42E-08,4.90E-53,0,0,0,0,9.32E-43,2.12395,0,9.38E-09,1.30E-43,0.00013,0,9.38E-09,1.30E-43,0.00013,0
1/20/11,18,4,17309.45044,5.94511,-11.6,-8.4,-14.8,60.46187,10.02954,0,5.94511,12.91718,5.09937,0,5.48665,0,0.45846,39.07988,5.48665,1605.87926,98.16187,0,0,0,0,0.83018,0,0.12759,0.38557,1.16E-12,25.9271,1.58E-10,3.04E-58,0,0,0,0,8.18E-43,2.12383,0,1.66E-11,1.14E-43,0.00013,0,1.66E-11,1.14E-43,0.00013,0
1/21/11,18,4,17309.45044,6.45583,-1.7,6.7,-10.1,71.59083,11.21729,0,6.45583,10.84119,4.57304,0,5.62565,0,0.83018,38.69585,5.62565,1691.09761,103.78751,0,0,0,0,1.21421,0,0.12759,0.38557,7.38E-15,25.9271,1.00E-12,1.80E-63,0,0,0,0,7.18E-43,2.1237,0,2.88E-14,1.00E-43,0.00013,0,2.88E-14,1.00E-43,0.00013,0
