time,ID,LAI,BioAct,precip,tmean,tmax,tmin,rhum,wind,rain,snow,solRad,netRad,netRainOut,netSnowOut,irrigation_amount,interception,intercStorage,throughfall,snowDepth,snowTotSWE,snowMelt,potET,actET,E_dps,E_intercept,actDPS,soilSat,soilSatMPS,soilSatLPS,soilActMPS,soilActLPS,percolation,inRD1,inRD2,inRG1,inRG2,actRG1,actRG2,genRD1,genRD2,genRG1,genRG2,outRD1,outRD2,outRG1,outRG2,inSoilStor
1/1/11,2,4,11756.16307,0.53274,-18.3,-13.5,-23.1,60.36792,12.62958,0,0.53274,8.62771,3.49051,0,0,0,0.53274,1.54878,0,0,0,0,0,0,0,0.49623,0,0.30739,0.78269,0.00002,14.39091,0.00069,0.00552,0,0,0,0,0.00356,0.07168,0,0.35918,3.21E-236,4.14E-06,0,0.35918,3.21E-236,4.14E-06,0
1/2/11,2,4,11756.16307,0,-9.4,-4.9,-13.9,50.235,7.71188,0,0,11.44156,3.36689,0,0,0,0,0.41445,0,0,0,0,0,0,0,1.13432,0,0.30739,0.78273,7.44E-08,14.39158,2.12E-06,0.00001,0,0,0,0,0.00313,0.07168,0,0.00001,0.00044,4.26E-06,0,0.00001,0.00044,4.26E-06,0
1/3/11,2,4,11756.16307,0,-6.55,-4.3,-8.8,63.95146,6.25687,0,0,7.0405,3.03634,0,0,0,0,0,0,0,0,0,0.56776,0.56776,0,0.41445,0,0.29527,0.75185,3.77E-10,13.82382,1.07E-08,1.34E-08,0,0,0,0,0.00275,0.07167,0,6.33E-09,0.00038,4.26E-06,0,6.33E-09,0.00038,4.26E-06,0
1/4/11,2,4,11756.16307,0,-6.8,-3.6,-10,55.90729,10.36604,0,0,11.56696,3.42349,0,0,0,0,0,0,0,0,0,1.26321,1.26321,0,0,0,0.26828,0.68315,2.01E-12,12.56061,5.73E-11,2.34E-11,0,0,0,0,0.00241,0.07167,0,8.26E-12,0.00034,4.26E-06,0,8.26E-12,0.00034,4.26E-06,0
1/5/11,2,4,11756.16307,0.49837,-7.75,-5.5,-10,71.88542,15.33146,0,0.49837,7.66131,3.23529,0,0,0,0.49837,0,0,0,0,0,0.29878,0.29878,0,0.49837,0,0.2619,0.6669,8.42E-15,12.26183,2.39E-13,3.45E-14,0,0,0,0,0.00211,0.07167,0,1.16E-14,0.0003,4.26E-06,0,1.16E-14,0.0003,4.26E-06,0
1/6/11,2,4,11756.16307,0,-1.8,2.8,-6.4,63.49625,11.49312,0,0,7.366,3.09059,0,0,0,0,0,0,0,0,0,1.48863,1.48863,0,0,0,0.23011,0.58593,3.25E-17,10.7732,9.23E-16,3.47E-17,0,0,0,0,0.00185,0.07166,0,1.16E-17,0.00026,4.26E-06,0,1.16E-17,0.00026,4.26E-06,0
1/7/11,2,4,11756.16307,0,-0.55,2.5,-3.6,60.57229,5.49229,0,0,11.30467,3.43815,0,0,0,0,0,0,0,0,0,1.54374,1.54374,0,0,0,0.19713,0.50197,8.24E-20,9.22946,2.34E-18,3.11E-20,0,0,0,0,0.00163,0.07166,0,1.03E-20,0.00023,4.26E-06,0,1.03E-20,0.00023,4.26E-06,0
1/8/11,2,4,11756.16307,0.83,0.55,4.8,-3.7,63.1475,4.3249,0,0.83,8.01872,3.20228,0,0,0,0.83,0,0,0,0,0,0.62779,0.62779,0,0.83,0,0.18372,0.46783,1.26E-22,8.60167,3.58E-21,1.64E-23,0,0,0,0,0.00143,0.07165,0,5.44E-24,0.0002,4.26E-06,0,5.44E-24,0.0002,4.26E-06,0
1/9/11,2,4,11756.16307,9.16,-11.15,-3.7,-18.6,89.52229,1.43627,0,9.16,3.66028,2.83425,0,0,0,9.16,8.91253,0,0,0,0,0,0,0,0.24747,0,0.18372,0.46783,1.50E-25,8.60167,4.27E-24,4.54E-27,0,0,0,0,0.00125,0.07165,0,1.51E-27,0.00018,4.26E-06,0,1.51E-27,0.00018,4.26E-06,0
1/10/11,2,4,11756.16307,0.46388,-19.05,-13.7,-24.4,76.89708,3.21858,0,0.46388,9.80654,4.14239,0,0,0,0.46388,9.10591,0,0,0,0,0,0,0,0.2705,0,0.18372,0.46783,1.73E-28,8.60167,4.93E-27,9.20E-31,0,0,0,0,0.0011,0.07164,0,3.06E-31,0.00015,4.26E-06,0,3.06E-31,0.00015,4.26E-06,0
1/11/11,2,4,11756.16307,0,-14.1,-9,-19.2,46.55125,8.67417,0,0,11.91736,4.12457,0,0,0,0,8.21956,0,0,0,0,0,0,0,0.88635,0,0.18372,0.46783,1.94E-31,8.60167,5.52E-30,1.79E-34,0,0,0,0,0.00096,0.07164,0,5.95E-35,0.00013,4.26E-06,0,5.95E-35,0.00013,4.26E-06,0
1/12/11,2,4,11756.16307,0,-6.1,-1.4,-10.8,52.20958,7.74458,0,0,8.03025,3.37795,0,0,0,0,6.8471,0,0,0,0,0,0,0,1.37246,0,0.18372,0.46783,2.11E-34,8.60167,6.00E-33,3.35E-38,0,0,0,0,0.00085,0.07164,0,1.11E-38,0.00012,4.25E-06,0,1.11E-38,0.00012,4.25E-06,0
1/13/11,2,4,11756.16307,0,-1.35,1.8,-4.5,68.01417,9.07417,0,0,8.72918,3.57603,0,0,0,0,5.52164,0,0,0,0,0,0,0,1.32546,0,0.18372,0.46783,2.23E-37,8.60167,6.34E-36,6.05E-42,0,0,0,0,0.00074,0.07163,0,2.01E-42,0.0001,4.25E-06,0,2.01E-42,0.0001,4.25E-06,0
1/14/11,2,4,11756.16307,0,-1.55,1.1,-4.2,63.64396,7.26833,0,0,12.20205,4.05206,0,0,0,0,4.08049,0,0,0,0,0,0,0,1.44115,0,0.18372,0.46783,2.29E-40,8.60167,6.50E-39,1.05E-45,0,0,0,0,0.00065,0.07163,0,3.50E-46,0.00009,4.25E-06,0,3.50E-46,0.00009,4.25E-06,0
1/15/11,2,4,11756.16307,0,-2.2,0.5,-4.9,64.06562,8.7275,0,0,5.54273,3.19061,0,0,0,0,2.70111,0,0,0,0,0,0,0,1.37938,0,0.18372,0.46783,2.28E-43,8.60167,6.50E-42,1.76E-49,0,0,0,0,0.00057,0.07162,0,5.86E-50,0.00008,4.25E-06,0,5.86E-50,0.00008,4.25E-06,0
1/16/11,2,4,11756.16307,1.61899,-2.25,0.8,-5.3,76.50125,13.0925,0,1.61899,5.88902,3.33047,0,0,0,1.61899,3.34862,0,0,0,0,0,0,0,0.97148,0,0.18372,0.46783,2.22E-46,8.60167,6.31E-45,2.86E-53,0,0,0,0,0.0005,0.07162,0,9.50E-54,0.00007,4.25E-06,0,9.50E-54,0.00007,4.25E-06,0
1/17/11,2,4,11756.16307,4.93417,-2.1,0.5,-4.7,81.1375,8.36146,0,4.93417,4.25538,3.08407,0,0,0,4.93417,7.5174,0,0,0,0,0,0,0,0.7654,0,0.18372,0.46783,2.10E-49,8.60167,5.98E-48,4.48E-57,0,0,0,0,0.00044,0.07161,0,1.49E-57,0.00006,4.25E-06,0,1.49E-57,0.00006,4.25E-06,0
1/18/11,2,4,11756.16307,0.51755,-4.75,-3.2,-6.3,67.11813,11.77042,0,0.51755,9.36115,3.9769,0,0,0,0.51755,6.90771,0,0,0,0,0,0,0,1.12724,0,0.18372,0.46783,1.94E-52,8.60167,5.52E-51,6.78E-61,0,0,0,0,0.00039,0.07161,0,2.25E-61,0.00005,4.25E-06,0,2.25E-61,0.00005,4.25E-06,0
1/19/11,2,4,11756.16307,4.91,-9,-3,-15,81.02813,5.42106,0,4.91,6.10844,3.53647,0,0,0,4.91,11.3391,0,0,0,0,0,0,0,0.47861,0,0.18372,0.46783,1.75E-55,8.60167,4.97E-54,9.95E-65,0,0,0,0,0.00034,0.07161,0,3.31E-65,0.00005,4.25E-06,0,3.31E-65,0.00005,4.25E-06,0
1/20/11,2,4,11756.16307,0.77464,-10,-4.3,-15.7,60.46187,10.02954,0,0.77464,12.91718,4.86212,0,0,0,0.77464,11.18562,0,0,0,0,0,0,0,0.92813,0,0.18372,0.46783,1.53E-58,8.60167,4.36E-57,1.41E-68,0,0,0,0,0.0003,0.0716,0,4.70E-69,0.00004,4.25E-06,0,4.70E-69,0.00004,4.25E-06,0
1/21/11,2,4,11756.16307,1.66186,-6.8,-4.7,-8.9,71.59083,11.21729,0,1.66186,10.84119,4.52424,0,0,0,1.66186,11.98612,0,0,0,0,0,0,0,0.86136,0,0.18372,0.46783,1.31E-61,8.60167,3.74E-60,1.95E-72,0,0,0,0,0.00026,0.0716,0,6.47E-73,0.00004,4.25E-06,0,6.47E-73,0.00004,4.25E-06,0
1/22/11,2,4,11756.16307,1.03,-7.75,-4.4,-11.1,71.61417,8.06125,0,1.03,2.46387,2.82991,0,0,0,1.03,12.26606,0,0,0,0,0,0,0,0.75005,0,0.18372,0.46783,1.10E-64,8.60167,3.13E-63,2.60E-76,0,0,0,0,0.00023,0.07159,0,8.65E-77,0.00003,4.25E-06,0,8.65E-77,0.00003,4.25E-06,0
1/23/11,2,4,11756.16307,0,-6.5,-1.6,-11.4,49.44542,10.59771,0,0,10.12349,4.29408,0,0,0,0,10.77653,0,0,0,0,0,0,0,1.48954,0,0.18372,0.46783,9.01E-68,8.60167,2.56E-66,3.37E-80,0,0,0,0,0.0002,0.07159,0,1.12E-80,0.00003,4.25E-06,0,1.12E-80,0.00003,4.25E-06,0
1/24/11,2,4,11756.16307,0,-7.3,-3.2,-11.4,50.28229,5.41983,0,0,11.60329,4.6831,0,0,0,0,9.50537,0,0,0,0,0,0,0,1.27116,0,0.18372,0.46783,7.21E-71,8.60167,2.05E-69,4.25E-84,0,0,0,0,0.00018,0.07158,0,1.41E-84,0.00002,4.25E-06,0,1.41E-84,0.00002,4.25E-06,0
1/25/11,2,4,11756.16307,0.05,-5.25,-0.4,-10.1,40.74896,4.2921,0,0.05,4.68384,3.32877,0,0,0,0.05,7.98565,0,0,0,0,0,0,0,1.56971,0,0.18372,0.46783,5.64E-74,8.60167,1.60E-72,5.20E-88,0,0,0,0,0.00015,0.07158,0,1.73E-88,0.00002,4.25E-06,0,1.73E-88,0.00002,4.25E-06,0
1/26/11,2,4,11756.16307,0,-5.35,0,-10.7,44.72021,5.4801,0,0,13.38213,5.034,0,0,0,0,6.38001,0,0,0,0,0,0,0,1.60564,0,0.18372,0.46783,4.32E-77,8.60167,1.23E-75,6.20E-92,0,0,0,0,0.00014,0.07158,0,2.06E-92,0.00002,4.25E-06,0,2.06E-92,0.00002,4.25E-06,0
1/27/11,2,4,11756.16307,0,0.4,3.2,-2.4,39.16208,8.125,0,0,13.22652,4.75317,0,0,0,0,3.67844,0,0,0,0,0,0,0,2.70157,0,0.18372,0.46783,3.24E-80,8.60167,9.21E-79,7.18E-96,0,0,0,0,0.00012,0.07157,0,2.39E-96,0.00002,4.25E-06,0,2.39E-96,0.00002,4.25E-06,0
1/28/11,2,4,11756.16307,0,3.05,8.4,-2.3,36.97375,5.70833,0,0,13.43265,4.73508,0,0,0,0,0.63633,0,0,0,0,0,0,0,3.04212,0,0.18372,0.46783,2.38E-83,8.60167,6.76E-82,8.10E-100,0,0,0,0,0.0001,0.07157,0,2.69E-100,0.00001,4.25E-06,0,2.69E-100,0.00001,4.25E-06,0
1/29/11,2,4,11756.16307,0,-1.65,3.4,-6.7,42.02958,4.82321,0,0,9.14267,4.29409,0,0,0,0,0,0,0,0,0,1.39388,1.39387,0,0.63633,0,0.15395,0.39202,1.71E-86,7.20779,4.86E-85,8.90E-104,0,0,0,0,0.00009,0.07156,0,2.96E-104,0.00001,4.25E-06,0,2.96E-104,0.00001,4.25E-06,0
1/30/11,2,4,11756.16307,0,-1.2,3.8,-6.2,41.11292,3.47313,0,0,9.50207,4.40766,0,0,0,0,0,0,0,0,0,1.94852,1.94831,0,0,0,0.11234,0.28605,6.35E-90,5.25949,1.81E-88,9.53E-108,0,0,0,0,0.00008,0.07156,0,3.17E-108,0.00001,4.25E-06,0,3.17E-108,0.00001,4.25E-06,0
1/31/11,2,4,11756.16307,2.52,-14.85,-4.3,-25.4,76.40167,1.62533,0,2.52,9.07118,4.91419,0,0,0,2.52,2.13827,0,0,0,0,0,0,0,0.38173,0,0.11234,0.28605,7.50E-94,5.25949,2.13E-92,4.43E-112,0,0,0,0,0.00007,0.07155,0,1.47E-112,0.00001,4.25E-06,0,1.47E-112,0.00001,4.25E-06,0
2/1/11,2,4,11756.16307,0.08,-24,-22.8,-28,73.32792,1.59019,0,0.08,7.13259,4.52394,0,0,0,0.08,2.01813,0,0,0,0,0,0,0,0.20014,0,0.11234,0.28605,8.53E-98,5.25949,2.43E-96,4.83E-117,0,0,0,0,0.00006,0.07155,0,1.61E-117,0.00001,4.25E-06,0,1.61E-117,0.00001,4.25E-06,0
2/2/11,2,4,11756.16307,0,-22.5,-16.9,-30,62.88312,1.12625,0,0,9.27788,5.25725,0,0,0,0,1.7393,0,0,0,0,0,0,0,0.27883,0,0.11234,0.28605,9.36E-102,5.25949,2.66E-100,5.04E-122,0,0,0,0,0.00005,0.07155,0,1.67E-122,0.00001,4.25E-06,0,1.67E-122,0.00001,4.25E-06,0
2/3/11,2,4,11756.16307,1.72149,-15.2,-4,-26.4,59.47271,3.99613,0,1.72149,5.93987,4.05534,0,0,0,1.72149,2.89037,0,0,0,0,0,0,0,0.57041,0,0.11234,0.28605,9.91E-106,5.25949,2.82E-104,5.01E-127,0,0,0,0,0.00005,0.07154,0,1.67E-127,0.00001,4.25E-06,0,1.67E-127,0.00001,4.25E-06,0
2/4/11,2,4,11756.16307,0,-5.8,-0.3,-11.3,59.39229,6.56875,0,0,8.32671,4.66328,0,0,0,0,1.68235,0,0,0,0,0,0,0,1.20803,0,0.11234,0.28605,1.01E-109,5.25949,2.88E-108,4.77E-132,0,0,0,0,0.00004,0.07154,0,1.59E-132,0.00001,4.25E-06,0,1.59E-132,0.00001,4.25E-06,0
2/5/11,2,4,11756.16307,13.90901,-7.6,-3.5,-11.7,83.55292,6.37094,0,13.90901,4.56713,3.68224,0,0,0,13.90901,15.11345,0,0,0,0,0,0,0,0.4779,0,0.11234,0.28605,1.00E-113,5.25949,2.84E-112,4.34E-137,0,0,0,0,0.00004,0.07153,0,1.44E-137,0.00001,4.25E-06,0,1.44E-137,0.00001,4.25E-06,0
2/6/11,2,4,11756.16307,3.93838,-12.6,-8.9,-16.3,84.45771,2.14294,0,3.93838,2.12698,2.9057,0,0,0,3.93838,18.76723,0,0,0,0,0,0,0,0.28461,0,0.11234,0.28605,9.53E-118,5.25949,2.71E-116,3.78E-142,0,0,0,0,0.00003,0.07153,0,1.26E-142,4.48E-06,4.25E-06,0,1.26E-142,4.48E-06,4.25E-06,0
2/7/11,2,4,11756.16307,10.43963,-10.25,-4.9,-15.6,80.83146,9.11146,0,10.43963,8.01177,4.86924,0,0,0,10.43963,28.72755,0,0,0,0,0,0,0,0.4793,0,0.11234,0.28605,8.79E-122,5.25949,2.50E-120,3.15E-147,0,0,0,0,0.00003,0.07153,0,1.05E-147,3.93E-06,4.25E-06,0,1.05E-147,3.93E-06,4.25E-06,0
2/8/11,2,4,11756.16307,1.5,-22.7,-15.6,-29.8,80.70521,1.41156,0,1.5,7.93954,5.09026,0,0,0,1.5,30.02649,0,0,0,0,0,0,0,0.20106,0,0.11234,0.28605,7.83E-126,5.25949,2.23E-124,2.52E-152,0,0,0,0,0.00002,0.07152,0,8.37E-153,3.45E-06,4.25E-06,0,8.37E-153,3.45E-06,4.25E-06,0
2/9/11,2,4,11756.16307,0.48398,-7.75,-8.9,-30.1,60.34875,5.99158,0,0.48398,17.02733,7.67331,0,0,0,0.48398,29.40531,0,0,0,0,0,0,0,1.10516,0,0.11234,0.28605,6.76E-130,5.25949,1.92E-128,1.93E-157,0,0,0,0,0.00002,0.07152,0,6.41E-158,3.03E-06,4.25E-06,0,6.41E-158,3.03E-06,4.25E-06,0
