time,ID,LAI,BioAct,precip,tmean,tmax,tmin,rhum,wind,rain,snow,solRad,netRad,netRainOut,netSnowOut,irrigation_amount,interception,intercStorage,throughfall,snowDepth,snowTotSWE,snowMelt,potET,actET,E_dps,E_intercept,actDPS,soilSat,soilSatMPS,soilSatLPS,soilActMPS,soilActLPS,percolation,inRD1,inRD2,inRG1,inRG2,actRG1,actRG2,genRD1,genRD2,genRG1,genRG2,outRD1,outRD2,outRG1,outRG2,inSoilStor
1/1/11,5,0,0,0.20513,-18.3,-13.5,-23.1,60.36792,12.62958,0,0.20513,8.62771,2.35413,0,0,0,0.20513,0,0,84.845,3.15981,0,0.0756,0.0756,0,0.20513,0,0.36117,0.57151,0.10351,10.43803,1.54334,2.76926,0,0,0,0,1.87458,0.89948,0,1.20229,3.21E-236,2.85E-07,0,1.20229,3.21E-236,2.85E-07,0
1/2/11,5,0,1,0,-9.4,-4.9,-13.9,50.235,7.71188,0,0,11.44156,1.85808,0,0,0,0,0,0,84.845,3.15981,0,0.63145,0.63145,0,0,0,0.31906,0.54535,0.04186,9.96018,0.62419,0.53381,0,0,0,0,2.00594,1.07188,0,0.23175,0.22999,0.00005,0,0.23175,0.22999,0.00005,0
1/3/11,5,0,1,0,-6.55,-4.3,-8.8,63.95146,6.25687,0,0,7.0405,2.10806,0,0,0,0,0,0,84.845,3.15981,0,0.55979,0.55979,0,0,0,0.29483,0.52419,0.01388,9.57372,0.20689,0.17012,0,0,0,0,1.87499,1.12678,0,0.07386,0.2461,0.00006,0,0.07386,0.2461,0.00006,0
1/4/11,5,0,1,0,-6.8,-3.6,-10,55.90729,10.36604,0,0,11.56696,1.89819,0,0,0,0,0,0,84.845,3.15981,0,0.69792,0.69792,0,0,0,0.27197,0.49391,0.00009,9.0208,0.00142,0.04216,0,0,0,0,1.6735,1.14033,0,0.01831,0.23004,0.00007,0,0.01831,0.23004,0.00007,0
1/5/11,5,0,1,0.1919,-7.75,-5.5,-10,71.88542,15.33146,0,0.1919,7.66131,2.22558,0,0.1919,0,0,0,0.1919,89.0504,3.35171,0,0.43891,0.43891,0,0,0,0.25873,0.46995,8.11E-07,8.58317,0.00001,0.00008,0,0,0,0,1.46824,1.14029,0,0.00003,0.20532,0.00007,0,0.00003,0.20532,0.00007,0
1/6/11,5,0,1,0,-1.8,2.8,-6.4,63.49625,11.49312,0,0,7.366,2.1193,0,0,0,0,0,0,89.0504,3.35171,0,0.83048,0.83048,0,0,0,0.2337,0.42448,6.30E-09,7.75271,9.39E-08,1.89E-07,0,0,0,0,1.2881,1.14022,0,8.23E-08,0.18013,0.00007,0,8.23E-08,0.18013,0.00007,0
1/7/11,5,0,1,0,-0.55,2.5,-3.6,60.57229,5.49229,0,0,11.30467,1.94739,0,0,0,0,0,0,89.0504,3.35171,0,0.8765,0.87646,0,0,0,0.20728,0.37649,4.22E-11,6.87625,6.30E-10,4.10E-10,0,0,0,0,1.13007,1.14016,0,1.78E-10,0.15803,0.00007,0,1.78E-10,0.15803,0.00007,0
1/8/11,5,0,1,0.83,0.55,4.8,-3.7,63.1475,4.3249,0,0.83,8.01872,2.145,0,0.83,0,0,0,0.83,96.6059,4.18171,0,0.85224,0.85135,0,0,0,0.18162,0.32988,2.41E-13,6.0249,3.60E-12,7.36E-13,0,0,0,0,0.99143,1.14009,0,3.19E-13,0.13864,0.00007,0,3.19E-13,0.13864,0.00007,0
1/9/11,5,0,1,9.16,-11.15,-3.7,-18.6,89.52229,1.43627,0,9.16,3.66028,2.35228,0,9.16,0,0,0,9.16,415.13669,13.34171,0,0.16935,0.16624,0,0,0,0.1766,0.32078,1.17E-15,5.85867,1.74E-14,1.08E-15,0,0,0,0,0.86979,1.14002,0,4.69E-16,0.12163,0.00007,0,4.69E-16,0.12163,0.00007,0
1/10/11,5,0,1,0.17862,-19.05,-13.7,-24.4,76.89708,3.21858,0,0.17862,9.80654,2.8519,0,0.17862,0,0,0,0.17862,421.34965,13.52034,0,0.1571,0.15341,0,0,0,0.17198,0.31238,4.91E-18,5.70525,7.32E-17,1.28E-18,0,0,0,0,0.76308,1.13995,0,5.56E-19,0.10671,0.00007,0,5.56E-19,0.10671,0.00007,0
1/11/11,5,0,1,0,-14.1,-9,-19.2,46.55125,8.67417,0,0,11.91736,2.55479,0,0,0,0,0,0,421.34965,13.52034,0,0.49219,0.47761,0,0,0,0.15758,0.28623,1.81E-20,5.22765,2.70E-19,1.28E-21,0,0,0,0,0.66946,1.13989,0,5.55E-22,0.09362,0.00007,0,5.55E-22,0.09362,0.00007,0
1/12/11,5,0,1,0,-6.1,-1.4,-10.8,52.20958,7.74458,0,0,8.03025,2.31952,0,0,0,0,0,0,421.34965,13.52034,0,0.77467,0.6829,0,0,0,0.137,0.24884,5.81E-23,4.54475,8.66E-22,1.08E-24,0,0,0,0,0.58733,1.13982,0,4.69E-25,0.08213,0.00007,0,4.69E-25,0.08213,0.00007,0
1/13/11,5,0,1,0,-1.35,1.8,-4.5,68.01417,9.07417,0,0,8.72918,2.42583,0,0,0,0,0,0,421.34965,13.52034,0,0.74538,0.27113,0,0,0,0.12882,0.23399,1.59E-25,4.27362,2.36E-24,7.63E-28,0,0,0,0,0.51527,1.13975,0,3.31E-28,0.07206,0.00007,0,3.31E-28,0.07206,0.00007,0
1/14/11,5,0,1,0,-1.55,1.1,-4.2,63.64396,7.26833,0,0,12.20205,2.44419,0,0,0,0,0,0,421.34965,13.52034,0,0.80963,0.13064,0,0,0,0.12489,0.22684,3.70E-28,4.14298,5.52E-27,4.41E-31,0,0,0,0,0.45205,1.13968,0,1.91E-31,0.06322,0.00007,0,1.91E-31,0.06322,0.00007,0
1/15/11,5,0,1,0,-2.2,0.5,-4.9,64.06562,8.7275,0,0,5.54273,2.46034,0,0,0,0,0,0,421.34965,13.52034,0,0.78342,0.09774,0,0,0,0.12194,0.22149,7.40E-31,4.04524,1.10E-29,2.09E-34,0,0,0,0,0.39659,1.13961,0,9.06E-35,0.05546,0.00007,0,9.06E-35,0.05546,0.00007,0
1/16/11,5,0,1,1.1953,-2.25,0.8,-5.3,76.50125,13.0925,0,1.1953,5.88902,2.55495,0,1.1953,0,0,0,1.1953,435.3379,14.71564,0,0.54322,0.061,0,0,0,0.1201,0.21815,1.27E-33,3.98424,1.90E-32,8.12E-38,0,0,0,0,0.34794,1.13955,0,3.53E-38,0.04866,0.00007,0,3.53E-38,0.04866,0.00007,0
1/17/11,5,0,1,2.29351,-2.1,0.5,-4.7,81.1375,8.36146,0,2.29351,4.25538,2.52381,0,2.29351,0,0,0,2.29351,461.02051,17.00915,0,0.44097,0.05261,0,0,0,0.11852,0.21527,1.91E-36,3.93163,2.85E-35,2.62E-41,0,0,0,0,0.30525,1.13948,0,1.14E-41,0.04269,0.00007,0,1.14E-41,0.04269,0.00007,0
1/18/11,5,0,1,0.19929,-4.75,-3.2,-6.3,67.11813,11.77042,0,0.19929,9.36115,2.74417,0,0.19929,0,0,0,0.19929,463.90252,17.20843,0,0.62667,0.08013,0,0,0,0.1161,0.21088,2.53E-39,3.8515,3.77E-38,7.10E-45,0,0,0,0,0.2678,1.13941,0,3.08E-45,0.03745,0.00007,0,3.08E-45,0.03745,0.00007,0
