year,model_run,value,metric
2011,grid2011,0.39,KGE
2011,grid2012,0.82,KGE
2011,grid2013,-0.21,KGE
2011,grid2014,0.42,KGE
2011,grid2015,0.84,KGE
2011,grid2016,0.8,KGE
2011,grid2017,0.79,KGE
2011,grid2018,0.43,KGE
2011,grid2019,0.81,KGE
2011,grid2020,0.84,KGE
2011,gridall,0.52,KGE
2011,statn2011,-0.04,KGE
2011,statn2012,0.03,KGE
2011,statn2013,0.29,KGE
2011,statn2014,0.38,KGE
2011,statn2015,0.52,KGE
2011,statn2016,0.18,KGE
2011,statn2017,0.09,KGE
2011,statn2018,0.24,KGE
2011,statn2019,0.09,KGE
2011,statn2020,0.09,KGE
2011,statnall,0.32,KGE
2012,grid2011,-0.76,KGE
2012,grid2012,-0.4,KGE
2012,grid2013,-3.48,KGE
2012,grid2014,-0.39,KGE
2012,grid2015,0.12,KGE
2012,grid2016,-0.6,KGE
2012,grid2017,-0.79,KGE
2012,grid2018,-0.54,KGE
2012,grid2019,-0.67,KGE
2012,grid2020,-0.18,KGE
2012,gridall,-0.57,KGE
2012,statn2011,-3.1,KGE
2012,statn2012,-2.94,KGE
2012,statn2013,-2.74,KGE
2012,statn2014,-3.01,KGE
2012,statn2015,-2.15,KGE
2012,statn2016,-3.09,KGE
2012,statn2017,-2.88,KGE
2012,statn2018,-2.91,KGE
2012,statn2019,-1.81,KGE
2012,statn2020,-2.64,KGE
2012,statnall,-2.61,KGE
2013,grid2011,-2.5,KGE
2013,grid2012,-2.54,KGE
2013,grid2013,-5.69,KGE
2013,grid2014,-2.43,KGE
2013,grid2015,-2.36,KGE
2013,grid2016,-2.45,KGE
2013,grid2017,-2.46,KGE
2013,grid2018,-2.44,KGE
2013,grid2019,-2.47,KGE
2013,grid2020,-2.35,KGE
2013,gridall,-2.4,KGE
2013,statn2011,0.78,KGE
2013,statn2012,0.63,KGE
2013,statn2013,0.57,KGE
2013,statn2014,0.6,KGE
2013,statn2015,0.79,KGE
2013,statn2016,0.67,KGE
2013,statn2017,0.77,KGE
2013,statn2018,0.76,KGE
2013,statn2019,0.69,KGE
2013,statn2020,0.66,KGE
2013,statnall,0.85,KGE
2014,grid2011,0.4,KGE
2014,grid2012,0.45,KGE
2014,grid2013,0.39,KGE
2014,grid2014,0.32,KGE
2014,grid2015,0.28,KGE
2014,grid2016,0.42,KGE
2014,grid2017,0.51,KGE
2014,grid2018,0.39,KGE
2014,grid2019,0.46,KGE
2014,grid2020,0.22,KGE
2014,gridall,0.42,KGE
2014,statn2011,0.57,KGE
2014,statn2012,0.54,KGE
2014,statn2013,0.42,KGE
2014,statn2014,0.44,KGE
2014,statn2015,0.6,KGE
2014,statn2016,0.41,KGE
2014,statn2017,0.51,KGE
2014,statn2018,0.53,KGE
