time,obs,statn_all,grid_all,grid_2011,grid_2012,grid_2013,grid_2014,grid_2015,grid_2016,grid_2017,grid_2018,grid_2019,grid_2020,statn_2011,statn_2012,statn_2013,statn_2014,statn_2015,statn_2016,statn_2017,statn_2018,statn_2019,statn_2020
1/1/11,-9999,1.09596,0.7788,0.77898,0.77555,0.94046,0.77441,0.77456,0.77802,0.77251,0.77723,0.77676,0.77342,1.13666,1.07439,1.16679,1.11702,1.05751,1.09037,1.28452,1.20762,1.06928,1.08414
1/2/11,-9999,0.35311,0.25972,0.24965,0.22722,0.29072,0.24745,0.2292,0.25084,0.25009,0.25694,0.24939,0.23646,0.35951,0.36375,0.35312,0.38142,0.3326,0.34622,0.26723,0.35091,0.3361,0.36242
1/3/11,-9999,0.1516,0.14092,0.12959,0.10108,0.12133,0.12331,0.10035,0.12578,0.13272,0.13932,0.12961,0.11256,0.15146,0.15723,0.14495,0.16516,0.14364,0.14899,0.1008,0.14284,0.14457,0.15746
1/4/11,-9999,0.08224,0.10336,0.09232,0.06187,0.06261,0.08182,0.05885,0.08355,0.0959,0.1023,0.09176,0.07412,0.08125,0.08355,0.07605,0.08807,0.0806,0.08159,0.0571,0.07593,0.08,0.08541
1/5/11,-9999,0.05356,0.08787,0.07703,0.04657,0.03787,0.06371,0.04235,0.06526,0.08039,0.08682,0.07578,0.05957,0.05181,0.05211,0.04869,0.05484,0.05507,0.0527,0.03984,0.0498,0.05348,0.05466
1/6/11,-9999,0.03984,0.07953,0.06845,0.03921,0.02552,0.05383,0.03468,0.05534,0.07173,0.07819,0.06678,0.0531,0.0373,0.0368,0.03596,0.03822,0.0428,0.03793,0.03093,0.03791,0.04079,0.03938
1/7/11,-9999,0.03227,0.07355,0.06211,0.03481,0.01855,0.04725,0.03058,0.04873,0.06545,0.07178,0.06022,0.04949,0.02934,0.0285,0.02903,0.02899,0.03578,0.02942,0.02559,0.03143,0.03369,0.03098
1/8/11,-9999,0.02742,0.06833,0.05664,0.03159,0.0142,0.04217,0.02804,0.04359,0.05998,0.06621,0.05464,0.04692,0.02449,0.0234,0.02462,0.02337,0.03107,0.02387,0.02184,0.02722,0.02902,0.02587
1/9/11,-9999,0.02394,0.06344,0.05163,0.02888,0.0113,0.03791,0.02626,0.03925,0.05484,0.0611,0.04959,0.04474,0.02117,0.0199,0.02149,0.01967,0.02746,0.02002,0.01904,0.0241,0.02557,0.02239
1/10/11,-9999,0.02121,0.05883,0.04698,0.02642,0.00927,0.03417,0.02484,0.03543,0.05,0.05636,0.04495,0.04274,0.01866,0.01728,0.01905,0.01701,0.0245,0.01724,0.01692,0.02156,0.02279,0.01977
