time,obs,statnall_gridinput,grid2019_statninput
1/1/11,-9999,1.09596,0.77676
1/2/11,-9999,0.35191,0.24939
1/3/11,-9999,0.15047,0.12971
1/4/11,-9999,0.0806,0.09252
1/5/11,-9999,0.0522,0.07772
1/6/11,-9999,0.03849,0.06923
1/7/11,-9999,0.03096,0.06323
1/8/11,-9999,0.04572,0.05876
1/9/11,-9999,0.03446,0.05878
1/10/11,-9999,0.02625,0.06148
1/11/11,-9999,0.02154,0.06749
1/12/11,-9999,0.01858,0.07835
1/13/11,-9999,0.01644,0.09275
1/14/11,-9999,0.0147,0.10268
1/15/11,-9999,0.03293,0.10554
1/16/11,-9999,0.09997,0.10929
1/17/11,-9999,0.14972,0.11158
1/18/11,-9999,0.11875,0.11078
1/19/11,-9999,0.08575,0.11715
1/20/11,-9999,0.06415,0.12241
1/21/11,-9999,0.09986,0.12159
1/22/11,-9999,0.0901,0.11729
1/23/11,-9999,0.0859,0.12368
1/24/11,-9999,0.06479,0.13979
1/25/11,-9999,0.0558,0.15003
1/26/11,-9999,0.05257,0.15981
1/27/11,-9999,0.0498,0.16274
1/28/11,-9999,0.05296,0.15785
1/29/11,-9999,0.04644,0.14916
1/30/11,-9999,0.03966,0.14003
1/31/11,-9999,0.0343,0.13246
2/1/11,-9999,0.03049,0.12765
2/2/11,-9999,0.02756,0.12507
2/3/11,-9999,0.02511,0.12375
2/4/11,-9999,0.02295,0.12299
2/5/11,-9999,0.02098,0.12248
2/6/11,-9999,0.01917,0.12207
2/7/11,-9999,0.01751,0.12172
2/8/11,-9999,0.01597,0.12142
2/9/11,-9999,0.01456,0.12116
2/10/11,-9999,0.01326,0.12092
2/11/11,-9999,0.01207,0.12071
2/12/11,-9999,0.01098,0.12053
2/13/11,-9999,0.00999,0.12164
2/14/11,-9999,0.00907,0.13148
2/15/11,-9999,0.00824,0.14941
2/16/11,-9999,0.00748,0.15981
2/17/11,-9999,0.00679,0.16068
2/18/11,-9999,0.00618,0.15848
2/19/11,-9999,0.03405,0.15483
2/20/11,-9999,0.02842,0.14827
2/21/11,-9999,0.01912,0.1402
2/22/11,-9999,0.04453,0.13179
2/23/11,-9999,0.09775,0.12362
2/24/11,-9999,0.07008,0.11589
2/25/11,-9999,0.04899,0.10873
2/26/11,-9999,0.06612,0.10217
2/27/11,-9999,0.09654,0.09649
2/28/11,-9999,0.16523,0.09405
3/1/11,-9999,0.16873,0.09281
3/2/11,-9999,0.17027,0.09038
3/3/11,-9999,0.15881,0.08619
3/4/11,-9999,0.12297,0.08121
3/5/11,-9999,0.10324,0.07617
3/6/11,-9999,0.10939,0.07135
3/7/11,-9999,0.0884,0.06649
3/8/11,-9999,0.07012,0.06155
3/9/11,-9999,0.06099,0.05666
3/10/11,-9999,0.05786,0.05201
3/11/11,-9999,0.06925,0.04782
3/12/11,-9999,0.11467,0.04418
3/13/11,-9999,0.12721,0.04145
3/14/11,-9999,0.10308,0.03959
3/15/11,-9999,0.07941,0.03839
3/16/11,-9999,0.06448,0.03756
3/17/11,-9999,0.09427,0.03689
3/18/11,-9999,0.07654,0.03718
3/19/11,-9999,0.05885,0.0389
3/20/11,-9999,0.0491,0.0415
3/21/11,-9999,0.05189,0.04475
3/22/11,-9999,0.04452,0.06659
3/23/11,-9999,0.0395,0.08055
3/24/11,-9999,0.03524,0.08242
3/25/11,-9999,0.03285,0.07834
3/26/11,-9999,0.03105,0.07243
3/27/11,-9999,0.03254,0.06635
3/28/11,-9999,0.05179,0.06062
3/29/11,-9999,0.05382,0.05669
3/30/11,-9999,0.06761,0.05888
3/31/11,-9999,0.065,0.06568
4/1/11,0.0368,0.04626,0.07856
4/2/11,0.0408,0.03422,0.54629
4/3/11,0.0549,0.04984,0.62176
4/4/11,0.0578,0.05324,0.79843
4/5/11,0.0586,0.05861,0.97793
4/6/11,0.0592,0.03994,0.93403
4/7/11,0.058,0.02854,0.92807
4/8/11,0.0564,0.02261,0.90393
4/9/11,0.0566,0.03113,0.87476
4/10/11,0.0643,0.02412,0.84497
4/11/11,0.062,0.01872,0.80402
4/12/11,0.0685,0.01545,0.76133
4/13/11,0.0773,0.06315,0.72478
4/14/11,0.107,0.11619,0.68423
4/15/11,0.0722,0.21379,0.64118
4/16/11,0.0538,0.38205,0.60424
4/17/11,0.0487,0.34305,0.61805
4/18/11,0.0493,0.39542,0.94811
4/19/11,0.1181,0.32336,1.21279
4/20/11,0.1345,0.34522,1.16752
4/21/11,0.1577,0.37721,1.16801
4/22/11,0.1634,0.35546,1.11585
4/23/11,0.16,0.33415,1.05104
4/24/11,0.1654,0.36971,0.99657
4/25/11,0.1645,0.37417,1.0463
4/26/11,0.1606,0.32911,1.11461
4/27/11,0.1532,0.27787,1.08826
4/28/11,0.1475,0.25425,1.01097
4/29/11,0.1501,0.23927,1.01186
4/30/11,0.1413,0.20192,0.99045
5/1/11,0.1365,0.18096,0.93844
5/2/11,0.1311,0.15648,0.88254
5/3/11,0.1186,0.14191,0.8363
5/4/11,0.1048,0.13005,0.81831
5/5/11,0.0946,0.11719,0.78728
5/6/11,0.0915,0.10479,0.7306
5/7/11,0.0937,0.09359,0.67666
5/8/11,0.1107,0.0837,0.65137
5/9/11,0.1484,0.07502,0.64162
5/10/11,0.1943,0.11109,0.63879
5/11/11,0.3171,0.16496,0.66301
5/12/11,0.3455,0.40937,0.67223
5/13/11,0.2701,0.41354,0.77704
5/14/11,0.2888,0.5235,1.08845
5/15/11,0.3002,0.53175,1.20848
5/16/11,0.303,0.42425,1.23774
5/17/11,0.3002,0.39894,1.20505
5/18/11,0.3879,1.81669,1.11504
5/19/11,0.6598,1.60632,1.05273
5/20/11,0.7929,1.53455,1.08915
5/21/11,0.8438,1.38607,1.31449
5/22/11,0.926,1.18652,1.40632
5/23/11,0.9939,1.21949,1.4544
5/24/11,1.0251,1.24362,1.40823
5/25/11,0.909,1.22693,1.25496
5/26/11,0.773,1.28003,1.13792
5/27/11,0.7306,1.15489,1.03602
5/28/11,0.7221,0.9718,0.95627
5/29/11,0.6909,0.8216,0.90009
5/30/11,0.6853,0.72685,0.85159
5/31/11,0.6428,0.63214,0.81075
6/1/11,0.6116,0.57022,0.77603
6/2/11,0.6145,0.49635,0.75031
6/3/11,0.6768,0.42591,0.73164
6/4/11,0.6938,0.37713,0.73057
6/5/11,0.7164,0.34417,0.74576
6/6/11,0.7306,0.31339,0.74896
6/7/11,0.773,0.28175,0.73961
6/8/11,0.7646,0.2561,0.72494
6/9/11,0.7419,0.23535,0.67864
6/10/11,0.7108,0.21776,0.61615
6/11/11,0.6598,0.20182,0.55625
6/12/11,0.6173,0.18589,0.50272
6/13/11,0.5833,0.16785,0.45504
6/14/11,0.5465,0.15251,0.4125
6/15/11,0.5324,0.14058,0.37382
6/16/11,0.5239,0.13006,0.3385
6/17/11,0.521,0.11937,0.30627
6/18/11,0.5182,0.11634,0.27736
6/19/11,0.5182,0.46341,0.25131
6/20/11,0.6683,0.38864,0.23477
6/21/11,0.5493,0.32353,0.34466
6/22/11,0.5097,0.35422,0.40908
6/23/11,0.4984,0.36381,0.40808
6/24/11,0.487,0.36772,0.40441
6/25/11,0.487,0.37288,0.3981
6/26/11,0.4757,0.33474,0.37467
6/27/11,0.4786,0.27158,0.34375
6/28/11,0.4502,0.23765,0.31244
6/29/11,0.4474,0.20928,0.28306
6/30/11,0.4531,0.18907,0.25609
7/1/11,0.4417,0.18566,0.23147
7/2/11,0.4389,0.17531,0.20985
7/3/11,0.4361,0.1567,0.18993
7/4/11,0.4049,0.13712,0.17151
7/5/11,0.3851,0.1198,0.15466
7/6/11,0.3653,0.11601,0.13952
7/7/11,0.3908,0.17342,0.12654
7/8/11,0.3851,0.15307,0.11568
7/9/11,0.3455,0.18656,0.10808
7/10/11,0.3256,0.22867,0.10323
7/11/11,0.3228,0.21565,0.09595
7/12/11,0.3087,0.23484,0.09042
7/13/11,0.6739,0.23211,0.10834
7/14/11,0.7787,0.32126,0.23666
7/15/11,0.7362,0.26854,0.41246
7/16/11,0.5324,0.24794,0.44675
7/17/11,0.3568,0.53625,0.45683
7/18/11,0.3625,0.5754,0.44838
7/19/11,0.3115,0.57806,0.42901
7/20/11,0.3058,0.4572,0.43113
7/21/11,0.3738,0.39399,0.4151
7/22/11,0.337,0.37781,0.38501
7/23/11,0.2483,0.36843,0.35242
7/24/11,0.2084,0.33193,0.32151
7/25/11,0.1869,0.29482,0.29312
7/26/11,0.2022,0.26764,0.26735
7/27/11,0.1594,0.25836,0.2436
7/28/11,0.1444,0.25311,0.22194
7/29/11,0.1702,0.23414,0.20202
7/30/11,0.1538,0.21423,0.18368
7/31/11,0.1379,0.19578,0.16693
8/1/11,0.1359,0.1907,0.15187
8/2/11,0.1764,0.18873,0.1383
8/3/11,0.1637,0.1992,0.12591
8/4/11,0.1283,0.21473,0.11459
8/5/11,0.1172,0.22465,0.10416
8/6/11,0.1019,0.22766,0.09456
8/7/11,0.0866,0.20364,0.08575
8/8/11,0.0864,0.17543,0.0777
8/9/11,0.075,0.15615,0.07035
8/10/11,0.0694,0.14494,0.06364
8/11/11,0.0762,0.14031,0.05753
8/12/11,0.075,0.13845,0.05198
8/13/11,0.0651,0.13817,0.04694
8/14/11,0.0705,0.13866,0.04236
8/15/11,0.0688,0.12928,0.03821
8/16/11,0.0413,0.11971,0.03446
8/17/11,0.0326,0.11629,0.03106
8/18/11,0.0303,0.10972,0.02798
8/19/11,0.0292,0.10052,0.02521
8/20/11,0.0309,0.09096,0.0227
8/21/11,0.0309,0.08203,0.02043
8/22/11,0.0297,0.07402,0.01839
8/23/11,0.0269,0.06689,0.01655
8/24/11,0.021,0.06049,0.01489
8/25/11,0.0221,0.05474,0.0134
8/26/11,0.0215,0.04954,0.01205
8/27/11,0.0212,0.04482,0.01085
8/28/11,0.0201,0.04054,0.00976
8/29/11,0.0224,0.03668,0.00878
8/30/11,0.0201,0.03317,0.0079
8/31/11,0.0167,0.02999,0.00711
9/1/11,0.0144,0.02712,0.0064
9/2/11,0.0147,0.02452,0.00576
9/3/11,0.0153,0.02218,0.00519
9/4/11,0.0156,0.02006,0.00467
9/5/11,0.0136,0.01814,0.00421
9/6/11,0.0125,0.02318,0.00379
9/7/11,0.0756,0.07962,0.0059
9/8/11,0.0365,0.05318,0.09593
9/9/11,0.0263,0.03609,0.15737
9/10/11,0.0221,0.03046,0.17116
9/11/11,0.0187,0.03488,0.16958
9/12/11,0.0178,0.03279,0.17344
9/13/11,0.0176,0.02802,0.19262
9/14/11,0.0269,0.09753,0.20559
9/15/11,0.0592,0.08957,0.30566
9/16/11,0.034,0.06865,0.32339
9/17/11,0.0272,0.05864,0.30682
9/18/11,0.0252,0.06048,0.2856
9/19/11,0.0221,0.05375,0.27017
9/20/11,0.0207,0.04594,0.2687
9/21/11,0.021,0.04077,0.25722
9/22/11,0.0218,0.03706,0.23785
9/23/11,0.0187,0.03401,0.2181
9/24/11,0.017,0.03128,0.19865
9/25/11,0.0181,0.02878,0.18015
9/26/11,0.017,0.02645,0.16299
9/27/11,0.0147,0.02427,0.14728
9/28/11,0.0142,0.02225,0.13297
9/29/11,0.013,0.02037,0.12008
9/30/11,0.013,0.01863,0.10867
10/1/11,-9999,0.01702,0.09848
10/2/11,-9999,0.01554,0.08925
10/3/11,-9999,0.01418,0.08085
10/4/11,-9999,0.01292,0.07319
10/5/11,-9999,0.01177,0.06621
10/6/11,-9999,0.01072,0.05985
10/7/11,-9999,0.00976,0.05408
10/8/11,-9999,0.01008,0.04884
10/9/11,-9999,0.00903,0.04408
10/10/11,-9999,0.00794,0.03982
10/11/11,-9999,0.00702,0.036
10/12/11,-9999,0.00626,0.03249
10/13/11,-9999,0.00562,0.02928
