@T, output
created_at,"Sat Dec 13 11:47:25 MST 2025"
date_format,yyyy-MM-dd
@H,time,precip,tmean,tmax,tmin,rhum,wind,rain,snow,solRad,netRad,netRainOut,netSnowOut,irrigation_amount,interception,intercStorage,throughfall,snowDepth,snowTotSWE,snowMelt,potET,actET,soilSat,soilSatMPS,soilSatLPS,soilActMPS,soilActLPS,percolation,inRD1,inRD2,inRG1,inRG2,actRG1,actRG2,outRD1,outRD2,outRG1,outRG2,actET,E_dps,E_intercept,genRD1,genRD2,genRG1,genRG2
Type,LocalDate,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Unit,-,mm,C,C,C,-,-,-,-,MJ/m2/day,MJ/m2,-,-,-,-,-,-,-,mm,-,mm,mm,-,-,-,-,-,l,-,l,-,-,-,-,l,l,-,-,mm,-,-,-,-,-,-
,2011-01-01,0.51399,-12.51984,-7.34111,-17.69856,39.49266,12.62958,0,1526451.80374,10.6327,2.93528,0,2367759.84955,0,327106.72709,2013849.17392,2367759.84955,122.45406,22266213.71291,0,625685.48563,625685.48563,0.18779,0.68289,0.00136,38673385.14221,227652.42756,5812466.87695,0,5323.00558,296.89861,1.63687,3715076.80861,2863897.83229,0,42778.47239,35.1505,28.5749,625685.48563,0,2561997.72265,0,39212.49478,35.1505,28.5749
,2011-01-02,0.28986,-4.06927,1.18833,-9.32687,37.84687,7.71188,0,779854.73602,11.16335,2.45981,0,436444.93863,0,343409.79739,1196898.05403,436444.93863,127.78413,22702658.65154,0,4287848.70401,4287813.66605,0.1659,0.59379,0.00009,34430632.7225,11046.58104,284663.55903,0,183.52386,67150.08907,14.39154,3593540.51486,2963152.79121,0,2077.27721,373713.56663,93.62013,4287813.66605,0,1160360.91728,0,1912.20059,373713.56663,93.62013
,2011-01-03,0.39809,-6.58227,-1.25256,-11.91198,55.91773,6.25687,0,1478978.57834,7.37141,2.72056,0,1255161.48139,0,223817.09694,1036611.28663,1255161.48139,138.43518,23957820.13293,0,2516901.38337,2504441.96964,0.15462,0.54461,2.85762E-6,31981049.2221,251.38616,9552.83319,0,6.32544,63746.06444,15.02392,3302189.12499,2960072.34185,0,64.3073,361368.48706,96.86476,2504441.96964,0,384103.86434,0,58.11903,361368.48706,96.86476
,2011-01-04,0,-3.69118,0.99197,-8.37432,42.50883,10.36604,0,0,8.76438,2.48463,0,0,0,0,761419.99454,0,138.43518,23957820.13293,0,4889260.36249,4479637.91529,0.13542,0.46373,4.34376E-6,28086438.7895,317.69252,6109.33089,0,0.00112,57581.77716,15.04791,3031617.11002,2935446.05038,0,17.27373,331971.61378,96.76406,4479637.91529,0,275191.29209,0,17.27297,331971.61378,96.76406
,2011-01-05,0.41902,-1.98996,0.88114,-4.86107,46.204,15.33146,0,1271499.69468,5.84819,2.49944,0,546360.71103,0,725138.98365,1104788.30401,546360.71103,143.12701,24504180.84397,0,5690681.86285,4765525.81522,0.11739,0.39633,0.00001,25389314.58486,1032.68798,25692.96492,0,4.24588E-7,51898.83261,15.04742,2794481.81146,2937532.30375,0,61.03939,304675.4655,95.95904,4765525.81522,0,381770.67418,0,61.03939,304675.4655,95.95904
,2011-01-06,0.20648,2.20176,5.69398,-1.29046,44.98956,11.49313,0,771489.72281,7.47292,2.57812,0,620443.16522,0,151046.5576,961493.51759,620443.16522,132.62889,23652647.74673,1471976.26245,7346818.26587,4566259.61774,0.10869,0.3743,4.4976E-6,24050856.68673,317.41126,8285.34662,0,1.76542E-10,46776.73484,15.04693,2565272.97514,2940983.69915,0,14.52537,280738.54207,96.02723,4566259.61774,0,294341.34401,0,14.52537,280738.54207,96.02723
,2011-01-07,0,0.4309,4.82171,-3.9599,56.75398,5.49229,0,0,7.06153,2.78148,0,0,0,0,514321.09199,0,130.57779,23561518.85704,91128.88969,3907019.92699,1794914.06317,0.10211,0.34625,8.93582E-10,22713384.82525,0.06307,293.85513,0,6.99556E-14,42160.15615,15.04644,2349965.66651,2941029.16115,0,0.4926,257634.76428,96.14006,1794914.06317,0,447172.4256,0,0.4926,257634.76428,96.14006
,2011-01-08,0.74686,1.87342,8.3088,-4.56196,54.67142,4.3249,0,1954635.68655,9.34257,2.79378,0,402889.27034,0,1551746.41622,525340.04337,402889.27034,131.20033,23691334.06051,273074.06686,3226830.76201,1439471.05462,0.09543,0.32155,3.69422E-13,21696513.26499,0.00003,0.05334,0,2.24263E-9,37999.20504,15.04595,2152015.31633,2940948.08852,0,0.00009,235949.58559,96.14155,1439471.05462,0,1540727.46484,0,0.00009,235949.58559,96.14155
