year,year_missing,nse,source,year_excluded,nseCat
2011,2011,0.22,grid,2011,Unsatisfactory
2011,2012,0.74,grid,2012,Good
2011,2013,-1.96,grid,2013,Unsatisfactory
2011,2014,0.21,grid,2014,Unsatisfactory
2011,2015,0.86,grid,2015,Very good
2011,2016,0.75,grid,2016,Good
2011,2017,0.69,grid,2017,Good
2011,2018,0.26,grid,2018,Unsatisfactory
2011,2019,0.71,grid,2019,Good
2011,2020,0.88,grid,2020,Very good
2011,None,0.39,grid,None,Unsatisfactory
2011,2011,-1.28,statn,2011,Unsatisfactory
2011,2012,-0.65,statn,2012,Unsatisfactory
2011,2013,0.17,statn,2013,Unsatisfactory
2011,2014,0.28,statn,2014,Unsatisfactory
2011,2015,0.49,statn,2015,Unsatisfactory
2011,2016,-0.01,statn,2016,Unsatisfactory
2011,2017,-0.26,statn,2017,Unsatisfactory
2011,2018,0.05,statn,2018,Unsatisfactory
2011,2019,-1.01,statn,2019,Unsatisfactory
2011,2020,-0.53,statn,2020,Unsatisfactory
2011,None,0.17,statn,None,Unsatisfactory
2012,2011,-4.41,grid,2011,Unsatisfactory
2012,2012,-2.69,grid,2012,Unsatisfactory
2012,2013,-25.09,grid,2013,Unsatisfactory
2012,2014,-2.71,grid,2014,Unsatisfactory
2012,2015,-1.03,grid,2015,Unsatisfactory
2012,2016,-3.56,grid,2016,Unsatisfactory
2012,2017,-4.03,grid,2017,Unsatisfactory
2012,2018,-3.21,grid,2018,Unsatisfactory
2012,2019,-3.77,grid,2019,Unsatisfactory
2012,2020,-2.35,grid,2020,Unsatisfactory
2012,None,-3.12,grid,None,Unsatisfactory
2012,2011,-20.25,statn,2011,Unsatisfactory
2012,2012,-18.5,statn,2012,Unsatisfactory
2012,2013,-16.62,statn,2013,Unsatisfactory
2012,2014,-19.85,statn,2014,Unsatisfactory
2012,2015,-12.4,statn,2015,Unsatisfactory
2012,2016,-20.05,statn,2016,Unsatisfactory
2012,2017,-18.15,statn,2017,Unsatisfactory
2012,2018,-18.37,statn,2018,Unsatisfactory
2012,2019,-10.6,statn,2019,Unsatisfactory
2012,2020,-15.93,statn,2020,Unsatisfactory
2012,None,-15.74,statn,None,Unsatisfactory
2013,2011,-16.97,grid,2011,Unsatisfactory
2013,2012,-17.33,grid,2012,Unsatisfactory
