param,value,cal,input_data,year_missing,burn
a_rain,7.653889686476227,statn_2011,statn,2011,no
a_snow,9.441028045698996,statn_2011,statn,2011,no
soilMaxDPS,3.419722897858558,statn_2011,statn,2011,no
soilMaxInfSummer,97.052881998201,statn_2011,statn,2011,no
soilDistMPSLPS,3.8186450177257054,statn_2011,statn,2011,no
lagSurfaceRunoff,1.3676787583097734,statn_2011,statn,2011,no
a_rain,9.051909506293306,statn_2012,statn,2012,no
a_snow,9.771952785352852,statn_2012,statn,2012,no
soilMaxDPS,5.358655173831952,statn_2012,statn,2012,no
soilMaxInfSummer,9.030456000335027,statn_2012,statn,2012,no
soilDistMPSLPS,2.469674892567387,statn_2012,statn,2012,no
lagSurfaceRunoff,1.2643629675144898,statn_2012,statn,2012,no
a_rain,8.458926291360013,statn_2013,statn,2013,no
a_snow,9.968590847564858,statn_2013,statn,2013,no
soilMaxDPS,2.061622138112615,statn_2013,statn,2013,no
soilMaxInfSummer,51.80934430253181,statn_2013,statn,2013,no
soilDistMPSLPS,4.55136805527844,statn_2013,statn,2013,no
lagSurfaceRunoff,1.2747335435145926,statn_2013,statn,2013,no
a_rain,8.233379243193717,statn_2014,statn,2014,no
a_snow,9.917932913290876,statn_2014,statn,2014,no
soilMaxDPS,6.062233494518267,statn_2014,statn,2014,no
soilMaxInfSummer,68.31341671656601,statn_2014,statn,2014,no
soilDistMPSLPS,6.09211768952043,statn_2014,statn,2014,no
lagSurfaceRunoff,1.1521157021580493,statn_2014,statn,2014,no
a_rain,7.81628991858001,statn_2015,statn,2015,no
a_snow,6.194396946046325,statn_2015,statn,2015,no
soilMaxDPS,6.765016556009322,statn_2015,statn,2015,no
soilMaxInfSummer,47.78811773122003,statn_2015,statn,2015,no
soilDistMPSLPS,4.2863336390004605,statn_2015,statn,2015,no
lagSurfaceRunoff,1.2500379886931177,statn_2015,statn,2015,no
a_rain,7.19885421606064,statn_2016,statn,2016,no
a_snow,9.987361360431793,statn_2016,statn,2016,no
soilMaxDPS,1.905986052490092,statn_2016,statn,2016,no
soilMaxInfSummer,14.529955719753756,statn_2016,statn,2016,no
soilDistMPSLPS,5.263611608939903,statn_2016,statn,2016,no
lagSurfaceRunoff,1.4551201088158183,statn_2016,statn,2016,no
a_rain,7.836643707847973,statn_2017,statn,2017,no
a_snow,9.923288067670969,statn_2017,statn,2017,no
soilMaxDPS,2.609420158721698,statn_2017,statn,2017,no
soilMaxInfSummer,34.48818952990284,statn_2017,statn,2017,no
soilDistMPSLPS,5.864806809703365,statn_2017,statn,2017,no
lagSurfaceRunoff,1.1031055968750183,statn_2017,statn,2017,no
a_rain,7.325872910874604,statn_2018,statn,2018,no
a_snow,9.852919680749253,statn_2018,statn,2018,no
soilMaxDPS,5.588543287962188,statn_2018,statn,2018,no
soilMaxInfSummer,42.355051651869786,statn_2018,statn,2018,no
soilDistMPSLPS,3.650149344798109,statn_2018,statn,2018,no
lagSurfaceRunoff,1.4324254743795977,statn_2018,statn,2018,no
a_rain,8.788072504013375,statn_2019,statn,2019,no
a_snow,9.717861611575726,statn_2019,statn,2019,no
soilMaxDPS,5.70679809182844,statn_2019,statn,2019,no
soilMaxInfSummer,73.5477955297802,statn_2019,statn,2019,no
soilDistMPSLPS,3.5512039264641144,statn_2019,statn,2019,no
lagSurfaceRunoff,1.3243815728060366,statn_2019,statn,2019,no
a_rain,8.791018222625631,statn_2020,statn,2020,no
a_snow,9.986213234543754,statn_2020,statn,2020,no
soilMaxDPS,6.839335434562141,statn_2020,statn,2020,no
soilMaxInfSummer,1.356945028182166,statn_2020,statn,2020,no
soilDistMPSLPS,3.146955047484102,statn_2020,statn,2020,no
lagSurfaceRunoff,1.3540754869527336,statn_2020,statn,2020,no
a_rain,7.861494216128157,statn_all,statn,none,no
a_snow,9.977514606015198,statn_all,statn,none,no
soilMaxDPS,2.1196720964147646,statn_all,statn,none,no
