param,source,year_missing,area_weighted_average
a_rain,grid,2011,7.600683083371274
a_rain,grid,2012,7.520005144448881
a_rain,grid,2013,8.425504004739853
a_rain,grid,2014,8.484549235330045
a_rain,grid,2015,7.879459723124528
a_rain,grid,2016,7.492970247833564
a_rain,grid,2017,7.641715769266762
a_rain,grid,2018,8.0262257503314
a_rain,grid,2019,7.469372266482106
a_rain,grid,2020,7.6785995256918715
a_rain,grid,all,7.798551803199206
a_rain,statn,2011,6.78130104492958
a_rain,statn,2012,7.1120482454633125
a_rain,statn,2013,7.347132940394772
a_rain,statn,2014,7.288012159252272
a_rain,statn,2015,6.960297323222238
a_rain,statn,2016,6.575076867072425
a_rain,statn,2017,6.952812489548824
a_rain,statn,2018,6.479332425895013
a_rain,statn,2019,7.701139415350983
a_rain,statn,2020,7.556759582863667
a_rain,statn,all,6.260233928513845
a_snow,grid,2011,2.640196406536196
a_snow,grid,2012,1.3485106616315123
a_snow,grid,2013,1.2494816919834097
a_snow,grid,2014,1.3510669374982462
a_snow,grid,2015,1.0559631421664057
a_snow,grid,2016,1.1817931045459285
a_snow,grid,2017,0.850398129346378
a_snow,grid,2018,1.7020527503802592
a_snow,grid,2019,2.009755481941258
a_snow,grid,2020,2.730040795685764
a_snow,grid,all,1.5858092117572018
a_snow,statn,2011,7.490041439077938
a_snow,statn,2012,7.791059319080174
a_snow,statn,2013,7.518962022899421
a_snow,statn,2014,8.50925295907641
a_snow,statn,2015,4.490502705898033
a_snow,statn,2016,8.228424908218495
a_snow,statn,2017,8.08932933808468
a_snow,statn,2018,7.686878945704086
a_snow,statn,2019,7.599151535418936
a_snow,statn,2020,7.729403631663647
a_snow,statn,all,8.413255638093148
lagSurfaceRunoff,grid,2011,1.4982962217976714
lagSurfaceRunoff,grid,2012,1.4994314385365723
lagSurfaceRunoff,grid,2013,1.461101518322209
lagSurfaceRunoff,grid,2014,1.4992738825055019
lagSurfaceRunoff,grid,2015,1.4999580374922383
lagSurfaceRunoff,grid,2016,1.4997282893258768
lagSurfaceRunoff,grid,2017,1.4968063130844107
lagSurfaceRunoff,grid,2018,1.4976503258305514
lagSurfaceRunoff,grid,2019,1.4987793694232796
lagSurfaceRunoff,grid,2020,1.4993281093494637
lagSurfaceRunoff,grid,all,1.4973870780952687
lagSurfaceRunoff,statn,2011,1.3877799489115132
lagSurfaceRunoff,statn,2012,1.2311177671229168
lagSurfaceRunoff,statn,2013,1.3246684219797586
lagSurfaceRunoff,statn,2014,1.1632726907648894
lagSurfaceRunoff,statn,2015,1.3174653404860284
lagSurfaceRunoff,statn,2016,1.4539739656494717
lagSurfaceRunoff,statn,2017,1.1810778841592744
lagSurfaceRunoff,statn,2018,1.4031013729854451
lagSurfaceRunoff,statn,2019,1.331864445134039
lagSurfaceRunoff,statn,2020,1.3696471097984375
lagSurfaceRunoff,statn,all,1.1716549527633755
soilDistMPSLPS,grid,2011,1.7623720619221932
soilDistMPSLPS,grid,2012,3.2694830177960528
soilDistMPSLPS,grid,2013,5.1115125060949325
