year,year_missing,pbias,source,year_excluded,pbiasCat
2011,2011,33.2,grid,2011,Unsatisfactory
2011,2012,12.9,grid,2012,Good
2011,2013,34.8,grid,2013,Unsatisfactory
2011,2014,19.7,grid,2014,Satisfactory
2011,2015,8.7,grid,2015,Very good
2011,2016,14.5,grid,2016,Good
2011,2017,14.6,grid,2017,Good
2011,2018,31.5,grid,2018,Unsatisfactory
2011,2019,12.7,grid,2019,Good
2011,2020,10.1,grid,2020,Good
2011,None,31.7,grid,None,Unsatisfactory
2011,2011,55.9,statn,2011,Unsatisfactory
2011,2012,49.6,statn,2012,Unsatisfactory
2011,2013,43.5,statn,2013,Unsatisfactory
2011,2014,35.9,statn,2014,Unsatisfactory
2011,2015,39.4,statn,2015,Unsatisfactory
2011,2016,47.3,statn,2016,Unsatisfactory
2011,2017,56,statn,2017,Unsatisfactory
2011,2018,41.3,statn,2018,Unsatisfactory
2011,2019,51.8,statn,2019,Unsatisfactory
2011,2020,44.7,statn,2020,Unsatisfactory
2011,None,40.5,statn,None,Unsatisfactory
2012,2011,52.4,grid,2011,Unsatisfactory
2012,2012,50.4,grid,2012,Unsatisfactory
2012,2013,45.3,grid,2013,Unsatisfactory
2012,2014,29,grid,2014,Unsatisfactory
2012,2015,59,grid,2015,Unsatisfactory
2012,2016,46,grid,2016,Unsatisfactory
2012,2017,70.5,grid,2017,Unsatisfactory
2012,2018,63.4,grid,2018,Unsatisfactory
2012,2019,57.7,grid,2019,Unsatisfactory
2012,2020,54.5,grid,2020,Unsatisfactory
2012,None,75.4,grid,None,Unsatisfactory
2012,2011,112,statn,2011,Unsatisfactory
2012,2012,125.3,statn,2012,Unsatisfactory
2012,2013,116.7,statn,2013,Unsatisfactory
2012,2014,79.8,statn,2014,Unsatisfactory
2012,2015,92,statn,2015,Unsatisfactory
2012,2016,111.1,statn,2016,Unsatisfactory
2012,2017,114.4,statn,2017,Unsatisfactory
2012,2018,105.7,statn,2018,Unsatisfactory
2012,2019,44.6,statn,2019,Unsatisfactory
2012,2020,99.5,statn,2020,Unsatisfactory
2012,None,101.1,statn,None,Unsatisfactory
2013,2011,50.2,grid,2011,Unsatisfactory
2013,2012,56.5,grid,2012,Unsatisfactory
2013,2013,83.7,grid,2013,Unsatisfactory
2013,2014,39.2,grid,2014,Unsatisfactory
2013,2015,36.8,grid,2015,Unsatisfactory
2013,2016,47.6,grid,2016,Unsatisfactory
2013,2017,52.4,grid,2017,Unsatisfactory
2013,2018,51.3,grid,2018,Unsatisfactory
2013,2019,47.6,grid,2019,Unsatisfactory
2013,2020,29.9,grid,2020,Unsatisfactory
2013,None,47.1,grid,None,Unsatisfactory
2013,2011,1.5,statn,2011,Very good
