@T, output
created_at,"Sat Dec 13 12:12:08 MST 2025"
date_format,yyyy-MM-dd
@H,time,precip,tmean,tmax,tmin,rhum,wind,rain,snow,solRad,netRad,netRainOut,netSnowOut,irrigation_amount,interception,intercStorage,throughfall,snowDepth,snowTotSWE,snowMelt,potET,actET,soilSat,soilSatMPS,soilSatLPS,soilActMPS,soilActLPS,percolation,inRD1,inRD2,inRG1,inRG2,actRG1,actRG2,outRD1,outRD2,outRG1,outRG2,actET,E_dps,E_intercept,genRD1,genRD2,genRG1,genRG2
Type,LocalDate,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Unit,-,mm,C,C,C,-,-,-,-,MJ/m2/day,MJ/m2,-,-,-,-,-,-,-,mm,-,mm,mm,-,-,-,-,-,l,-,l,-,-,-,-,l,l,-,-,mm,-,-,-,-,-,-
,2011-01-01,0.65861,-18.01063,-12.47322,-23.54805,60.36792,12.62958,0,1942843.37092,8.62771,3.148,0,93577.15776,0,1849266.21316,6038213.2226,93577.15776,98.1706,19992031.02112,0,57708.7818,57708.78177,0.24346,0.55473,0.02484,43539898.24565,1378860.43996,1231040.66991,0,181619.89309,5.11941E-21,2.97393,823181.25722,1281704.5902,0,1530898.51277,7.2198,51.91602,57708.78177,0,1228207.93295,0,1399091.31101,7.2198,51.91602
,2011-01-02,0.28986,-9.16664,-3.92922,-14.40406,50.235,7.71188,0,779854.73602,11.44156,2.91481,40280.66097,0,0,779854.73602,4373351.01318,40280.66097,98.1706,19992031.02112,0,488043.32463,480337.7612,0.23272,0.54968,0.01072,43379126.32582,609456.34068,335419.27882,0,32746.92143,22593.27785,9.71413,963694.66278,1391077.5956,0,187730.66876,103765.16006,76.12316,480337.7612,0,2404436.28447,0,169696.5504,103765.16006,76.12316
,2011-01-03,0.39809,-6.55,-4.3,-9.40362,63.95146,6.25687,0,1478978.57834,7.0405,2.76493,0,0,0,1478978.57834,4746812.37571,0,98.1706,19992031.02112,0,1333083.90186,1307910.82731,0.22135,0.53286,0.00363,42299974.3752,206649.13954,124497.10824,0,9474.16764,27476.66162,11.97481,950968.12925,1430088.01884,0,63319.96047,121603.39057,82.61914,1307910.82731,0,1105517.2158,0,57777.78979,121603.39057,82.61914
,2011-01-04,0,-6.8,-3.6,-10.5414,55.90729,10.36604,0,0,11.56696,2.97742,0,0,0,0,4196311.45707,0,98.1706,19992031.02112,0,2571715.08515,2518467.66181,0.20634,0.49843,0.00098,39863861.31737,68567.70386,42504.24088,0,483.20211,26293.20982,12.62177,884614.35369,1441254.26318,0,17721.63817,119896.82246,84.93607,2518467.66181,0,550500.91865,0,17284.71501,119896.82246,84.93607
,2011-01-05,0.55574,-6.93791,-3.47755,-10.39827,71.88542,15.33146,0,1664204.2852,7.66131,2.93574,0,236920.04364,0,1427284.24155,4740871.78938,236920.04364,99.72372,20228951.06477,0,1368341.2049,1316995.76919,0.19812,0.47982,0.00035,38577103.69146,23834.1276,13939.16636,0,1.16754,23197.3888,12.65677,804878.10274,1446677.83576,0,4573.27934,111376.29103,85.59926,1316995.76919,0,882723.90924,0,4572.22009,111376.29103,85.59926
,2011-01-06,0.20648,-1.75022,3.49075,-6.99118,63.49625,11.49313,0,771489.72281,7.366,2.80605,0,0,0,771489.72281,4948324.34552,0,99.72372,20228951.06477,0,3141393.72091,2977071.13775,0.18099,0.43691,0.00019,35604875.70351,12240.58224,5511.99089,0,0.00321,20355.18474,12.65611,727229.38975,1448875.43387,0,1238.40789,101245.02526,85.92137,2977071.13775,0,564037.16667,0,1238.40492,101245.02526,85.92137
,2011-01-07,0,-0.11128,3.48945,-3.71201,60.57229,5.49229,0,0,11.30467,2.99996,0,0,0,0,4192515.37768,0,99.72372,20228951.06477,0,3274697.59915,3066274.42339,0.16365,0.39287,1.31185E-6,32547776.5445,87.09312,2463.81957,0,0.00001,17860.94604,12.65536,655107.37691,1449836.2528,0,514.40519,91412.56298,86.05189,3066274.42339,0,755808.96784,0,514.40518,91412.56298,86.05189
,2011-01-08,0.74686,0.38509,4.68799,-3.9178,63.1475,4.3249,0,1954635.68655,8.01872,2.89466,0,402889.27034,0,1551746.41622,4130767.34449,402889.27034,101.39428,20631840.3351,0,1964217.25809,1849181.54304,0.15204,0.36502,1.10058E-8,30698675.60942,0.72878,4.75883,0,2.12277E-8,15672.33965,12.65461,588486.83531,1449764.78908,0,0.99754,82295.64945,86.10895,1849181.54304,0,1613494.44941,0,0.99754,82295.64945,86.10895
