param,value,cal,input_data,year_missing,min,max
FCAdaptation,1.277302821,statn_2011,statn,2011,0.8,1.3
ACAdaptation,0.915918912,statn_2011,statn,2011,0.9,1.2
DCAdaptation,0.841149167,statn_2011,statn,2011,0.8,1.2
kf_fact,1.018934241,statn_2011,statn,2011,0.01,2
baseTemp,-4.101621136,statn_2011,statn,2011,,
t_factor,0.14672141,statn_2011,statn,2011,,
r_factor,0.451024117,statn_2011,statn,2011,0,5
g_factor,2.346311885,statn_2011,statn,2011,0,5
snowCritDens,0.257800796,statn_2011,statn,2011,0.2,0.8
ccf_factor,0.034771752,statn_2011,statn,2011,0.0001,0.1
snow_trans,2.11795027,statn_2011,statn,2011,0,2.5
snow_trs,2.470895878,statn_2011,statn,2011,,
a_rain,7.653889686,statn_2011,statn,2011,,
a_snow,9.441028046,statn_2011,statn,2011,,
soilMaxDPS,3.419722898,statn_2011,statn,2011,0,7
soilPolRed,46.38909609,statn_2011,statn,2011,0.1,50
soilMaxInfSummer,97.052882,statn_2011,statn,2011,0,150
soilMaxInfWinter,79.58276253,statn_2011,statn,2011,0,100
soilMaxInfSnow,16.59897258,statn_2011,statn,2011,0,100
soilDistMPSLPS,3.818645018,statn_2011,statn,2011,0,7
soilDiffMPSLPS,8.555919697,statn_2011,statn,2011,0.1,10
soilOutLPS,0.422860837,statn_2011,statn,2011,,
soilLatVertLPS,0.936085396,statn_2011,statn,2011,,
geoMaxPerc,3.432556094,statn_2011,statn,2011,0.01,10
kdiff_layer,34.82039152,statn_2011,statn,2011,1,50
BetaW,3.640882133,statn_2011,statn,2011,0.1,15
lagSurfaceRunoff,1.367678758,statn_2011,statn,2011,,
lagInterflow,1.041079827,statn_2011,statn,2011,,
gwRG1RG2dist,0.337976282,statn_2011,statn,2011,0.1,0.9
gwRG1Fact,1.093219971,statn_2011,statn,2011,1,20
gwRG2Fact,59.81935291,statn_2011,statn,2011,1,80
gwCapRise,0.237307404,statn_2011,statn,2011,0.1,0.6
flowRouteTA,1.097279755,statn_2011,statn,2011,1,1000
FCAdaptation,1.288092023,statn_2012,statn,2012,0.8,1.3
ACAdaptation,0.91244715,statn_2012,statn,2012,0.9,1.2
DCAdaptation,0.810109832,statn_2012,statn,2012,0.8,1.2
kf_fact,1.14211512,statn_2012,statn,2012,0.01,2
baseTemp,-4.063727179,statn_2012,statn,2012,,
t_factor,0.114419907,statn_2012,statn,2012,,
r_factor,3.118078908,statn_2012,statn,2012,0,5
g_factor,2.733494556,statn_2012,statn,2012,0,5
snowCritDens,0.453846474,statn_2012,statn,2012,0.2,0.8
ccf_factor,0.044775644,statn_2012,statn,2012,0.0001,0.1
snow_trans,1.846609265,statn_2012,statn,2012,0,2.5
snow_trs,3.288704793,statn_2012,statn,2012,,
a_rain,9.051909506,statn_2012,statn,2012,,
a_snow,9.771952785,statn_2012,statn,2012,,
soilMaxDPS,5.358655174,statn_2012,statn,2012,0,7
soilPolRed,43.30202303,statn_2012,statn,2012,0.1,50
soilMaxInfSummer,9.030456,statn_2012,statn,2012,0,150
soilMaxInfWinter,61.90138026,statn_2012,statn,2012,0,100
soilMaxInfSnow,32.85064843,statn_2012,statn,2012,0,100
soilDistMPSLPS,2.469674893,statn_2012,statn,2012,0,7
soilDiffMPSLPS,3.438203752,statn_2012,statn,2012,0.1,10
soilOutLPS,0.49042113,statn_2012,statn,2012,,
soilLatVertLPS,1.002897747,statn_2012,statn,2012,,
geoMaxPerc,7.922796728,statn_2012,statn,2012,0.01,10
kdiff_layer,14.62100363,statn_2012,statn,2012,1,50
BetaW,3.482810959,statn_2012,statn,2012,0.1,15
lagSurfaceRunoff,1.264362968,statn_2012,statn,2012,,
lagInterflow,1.123958164,statn_2012,statn,2012,,
gwRG1RG2dist,0.845992614,statn_2012,statn,2012,0.1,0.9
gwRG1Fact,1.005344557,statn_2012,statn,2012,1,20
gwRG2Fact,11.24752666,statn_2012,statn,2012,1,80
gwCapRise,0.410836723,statn_2012,statn,2012,0.1,0.6
flowRouteTA,1.00322232,statn_2012,statn,2012,1,1000
