time,precip,tmean,tmax,tmin,rhum,wind,rain,snow,solRad,netRad,netRainOut,netSnowOut,irrigation_amount,interception,intercStorage,throughfall,snowDepth,snowTotSWE,snowMelt,potET,actET,soilSat,soilSatMPS,soilSatLPS,soilActMPS,soilActLPS,percolation,inRD1,inRD2,inRG1,inRG2,actRG1,actRG2,outRD1,outRD2,outRG1,outRG2,actET,E_dps,E_intercept,genRD1,genRD2,genRG1,genRG2
2011-01-01,0.65247,-17.7533,-15.12944,-20.37716,59.10801,11.94267,0,1922823.815,10.65597,3.39862,0,0,0,1922823.815,1393350.906,0,0,0,0,921148.4143,622209.0911,0.02652,0.07449,0,19075200.47,0,0,0,0,2.29E-08,7.26829,22805.92824,2008631.325,0,0,3251.36883,38.43635,622209.0911,0,529472.9091,0,0,3251.36883,38.43635
2011-01-02,0.32216,-12.70158,-7.53163,-17.87154,39.77941,7.4876,0,902805.9135,11.15595,2.98099,0,0,0,902805.9135,1853038.469,0,0,0,0,2647338.918,1241525.139,0.02488,0.06987,0,17833675.33,0,0,0,0,2.02E-08,7.26815,19960.25764,2008600.157,0,0,2845.6706,38.43575,1241525.139,0,443118.3508,0,0,2845.6706,38.43575
2011-01-03,0.37942,-4.26632,0.98472,-9.51735,38.19707,5.97187,0,1319782.577,7.3561,2.48296,0,78497.07841,0,1241285.499,2574343.665,78497.07841,0.65421,78497.07841,0,4806842.017,1206103.611,0.023,0.06489,0,16627571.72,0,0,0,0,1.77E-08,7.26801,17469.66319,2008568.99,0,0,2490.59445,38.43515,1206103.611,0,519980.3026,0,0,2490.59445,38.43515
2011-01-04,0.00991,-6.63186,-1.342,-11.92172,55.80946,9.71388,0,34616.66427,8.67666,2.76703,0,0,0,34616.66427,2311667.015,0,0.65421,78497.07841,0,2995552.351,458773.1102,0.02235,0.06305,0,16168798.61,0,0,0,0,1.56E-08,7.26787,15289.83931,2008537.823,0,0,2179.82388,38.43456,458773.1102,0,297293.3139,0,0,2179.82388,38.43456
2011-01-05,0.52624,-3.80757,0.82575,-8.44088,42.68766,14.52832,0,1567923.808,5.78264,2.52326,0,518611.5487,0,1049312.259,2602382.678,518611.5487,4.9693,597108.6271,0,4963521.824,416110.0605,0.02169,0.06133,0,15752688.55,0,0,0,0,1.37E-08,7.26774,13382.00878,2008506.657,0,0,1907.83053,38.43396,416110.0605,0,758596.5967,0,0,1907.83053,38.43396
2011-01-06,0.20282,-2.1773,0.67714,-5.03175,46.67805,11.02481,0,706028.1544,7.46869,2.66964,0,411765.1717,0,294262.9827,2665106.274,411765.1717,8.30435,1008873.799,0,5851039.088,335545.3837,0.02122,0.06001,0,15417143.16,0,0,0,0,1.21E-08,7.2676,11712.2329,2008475.491,0,0,1669.77588,38.43336,335545.3837,0,231539.387,0,0,1669.77588,38.43336
2011-01-07,0.00511,2.03719,5.55373,-1.47935,45.34973,5.3778,0,17924.16033,7.08331,2.65359,0,0,0,17924.16033,2392526.442,0,8.30435,1008873.799,0,6443641.861,267366.34,0.02084,0.05896,0,15149776.82,0,0,0,0,1.06E-08,7.26746,10250.80776,2008444.326,0,0,1461.42514,38.43277,267366.34,0,290503.9917,0,0,1461.42514,38.43277
2011-01-08,0.74694,0.38162,4.74284,-3.9796,56.66417,4.13949,0,1993304.269,9.27811,2.84987,0,7399.95621,0,1985904.313,2366476.455,7399.95621,8.32976,1016273.755,0,2255858.474,70123.57258,0.02074,0.05868,0,15079653.25,0,0,0,0,9.34E-09,7.26732,8971.73585,2008413.161,0,0,1279.07191,38.43217,70123.57258,0,2011954.3,0,0,1279.07191,38.43217
2011-01-09,8.41636,1.79472,8.19001,-4.60057,54.70114,1.57137,0,24351332.19,7.79209,2.86871,0,6762109.894,0,17589222.29,16415505.36,6762109.894,15.24155,2845043.617,4933340.032,0,0,0.02707,0.0746,0.00106,19082571.49,563808.5407,117524.7628,0,61352.31551,8.22E-09,7.26718,87673.82298,2046085.2,0,310440.802,1119.4723,38.43157,0,0,3540193.387,0,250315.3479,1119.4723,38.43157
2011-01-10,0.59066,-11.36738,-3.90872,-18.82604,89.14318,3.1903,0,1758320.315,11.17436,3.78418,0,587189.442,0,1171130.873,16845480.66,587189.442,21.55571,3432233.059,0,0,0,0.02704,0.07573,0.00037,19418283.6,189511.6438,28947.11092,0,4040.63034,2722.75506,7.49497,98808.71591,2055309.041,0,13678.31248,11279.47443,39.15244,0,0,741155.5709,0,9687.43123,11279.47443,39.15244
2011-01-11,0.30645,-15.65996,-9.81524,-21.50467,65.01547,8.20513,0,997208.4238,11.94494,3.96464,0,712785.8562,0,284422.5676,15660183.74,712785.8562,28.76641,4145018.915,0,0,0,0.02702,0.07611,0.00015,19526749.04,71158.96932,7831.76372,0,1272.13145,3089.02112,7.5543,94519.14939,2057773.056,0,3327.59594,12714.56225,39.32894,0,0,1469719.492,0,2267.3672,12714.56225,39.32894
2011-01-12,0.00792,-11.43933,-4.87688,-18.00178,39.05278,7.26578,0,25828.78186,11.00406,3.4036,0,0,0,25828.78186,12582074.06,0,28.76641,4145018.915,0,0,0,0.02702,0.07626,0.00006,19566124.2,29033.46913,2234.22015,0,469.97928,2905.37188,7.5712,86792.42411,2058451.163,0,986.09951,12156.40481,39.37609,0,0,3103938.458,0,684.76547,12156.40481,39.37609
