time,precip,tmean,tmax,tmin,rhum,wind,rain,snow,solRad,netRad,netRainOut,netSnowOut,irrigation_amount,interception,intercStorage,throughfall,snowDepth,snowTotSWE,snowMelt,potET,actET,soilSat,soilSatMPS,soilSatLPS,soilActMPS,soilActLPS,percolation,inRD1,inRD2,inRG1,inRG2,actRG1,actRG2,outRD1,outRD2,outRG1,outRG2,actET,E_dps,E_intercept,genRD1,genRD2,genRG1,genRG2
2011-01-01,0.65281,-16.71592,-7.87908,-25.55277,60.36791,11.94267,0,1910641.565,8.62771,3.09339,0,166901.3538,0,1743740.212,4396044.856,166901.3538,45.35501,4282140.171,0,198761.0756,197047.3861,0.13635,0.36316,0.00609,91297864.89,3085970.804,1.12E-20,0,3016.17117,0.33889,4.58949,11455.46699,1662980.545,0,74578.64709,156.25488,30.8836,197047.3861,0,1226100.999,0,74542.73713,156.25488,30.8836
2011-01-02,0.32232,-8.12252,0.41433,-16.65936,50.23499,7.4876,0,812843.1538,11.44156,2.8589,0,6.30179,0,812836.8521,2790123.448,6.30179,45.35516,4282146.473,0,636326.2154,572094.8936,0.1352,0.36045,0.00598,90725772.33,3021103.769,1.14E-20,0,2738.36913,0.3357,4.5894,11301.64596,1662954.252,0,67603.0758,154.15673,30.88311,572094.8936,0,2418758.26,0,67554.16203,154.15673,30.88311
2011-01-03,0.36382,-6.55,-4.3,-12.10442,63.95146,5.97187,0,1399551.766,7.0405,2.7637,0,0.15969,0,1399551.606,3173798.142,0.15969,45.35517,4282146.633,0,1392740.541,1124163.286,0.13346,0.35605,0.00589,89601611.28,2961863.462,1.14E-20,0,2504.39489,0.33254,4.58932,11149.89174,1662927.958,0,61742.46422,152.08677,30.88263,1124163.286,0,1015876.912,0,61678.96605,152.08677,30.88263
2011-01-04,0.00572,-6.8,-3.6,-12.96376,55.90729,9.71388,0,20924.86719,11.56696,2.97496,0,0,0,20924.86719,2642166.17,0,45.35517,4282146.633,0,2528925.963,1990888.932,0.13074,0.3485,0.0058,87610828.07,2907310.017,1.13E-20,0,2303.69446,0.32941,4.58923,11000.17652,1662901.666,0,56751.4158,150.04463,30.88214,1990888.932,0,552556.839,0,56672.00003,150.04463,30.88214
2011-01-05,0.56693,-3.30436,5.57151,-12.18024,71.8854,14.52832,0,1679252.927,7.66131,2.87752,0,152368.187,0,1526884.74,3323438.105,152368.187,46.31723,4434514.82,0,1877706.389,1492339.073,0.12869,0.343,0.00569,86122677.23,2852798.715,1.05E-20,0,2129.34003,0.3263,4.58915,10852.47289,1662875.373,0,52452.41511,148.02992,30.88165,1492339.073,0,845612.8047,0,52355.99414,148.02992,30.88165
2011-01-06,0.20483,-1.52747,6.58135,-9.63629,63.49624,11.02481,0,790878.4878,7.366,2.80308,0,0,0,790878.4878,3536794.195,0,46.31723,4434514.82,0,3149288.162,2412452.201,0.12545,0.3339,0.00559,83714089.35,2802340.628,9.70E-21,0,1977.07273,0.32321,4.58906,10706.75382,1662849.081,0,48570.83537,146.04228,30.88116,2412452.201,0,577522.3987,0,48456.55842,146.04228,30.88116
2011-01-07,0.00297,1.85167,7.91652,-4.21319,60.57229,5.3778,0,10928.98806,11.30467,2.96944,0,916747.5066,0,1042.3055,1934431.79,916747.5066,48.05102,5351262.326,0,3737336.664,2787536.337,0.12173,0.32342,0.00548,80931663.64,2753843.171,8.79E-21,0,1843.09121,0.32015,4.58898,10562.99261,1662822.789,0,45229.91985,144.08135,30.88067,2787536.337,0,696543.8857,0,45097.15999,144.08135,30.88067
2011-01-08,0.76108,-0.35275,4.18681,-4.89232,63.1475,4.13949,0,1933286.751,8.01872,2.9001,0,392031.6532,0,1541255.098,1792826.856,392031.6532,38.59581,4469146.257,1274147.723,1706388.822,1318733.012,0.1217,0.32348,0.00546,80793163.51,2807236.916,7.96E-21,0,1727.3367,0.31711,4.58889,10421.16295,1662796.498,0,42248.43496,142.14677,30.88018,1318733.012,0,1682860.033,0,42094.12835,142.14677,30.88018
2011-01-09,8.36618,-9.15713,0.79674,-19.11099,89.52229,1.57137,0,24333936.01,3.66028,2.68951,0,5958091.273,0,18375844.74,19570614.81,5958091.273,130.2122,10427237.53,0,120914.8598,120669.7324,0.12145,0.32294,0.00539,80674945.91,2767024.529,7.18E-21,0,1621.63491,0.31409,4.58881,10281.23887,1662770.207,0,39381.88648,140.23817,30.8797,120669.7324,0,598056.7834,0,39208.45709,140.23817,30.8797
2011-01-10,0.63711,-14.5192,-3.34388,-25.69452,76.89708,3.1903,0,1897588.5,9.80653,3.59045,0,158747.3401,0,1738841.16,20503976.94,158747.3401,132.68748,10585984.87,0,140460.7431,140215.3716,0.12118,0.32228,0.00533,80534730.98,2731473.901,6.45E-21,0,1526.89019,0.3111,4.58872,10143.19474,1662743.917,0,37077.07627,138.35522,30.87921,140215.3716,0,805479.03,0,36884.47115,138.35522,30.87921
2011-01-11,0.27228,-9.53513,0.60667,-19.67693,46.55125,8.20513,0,969117.9432,11.91736,3.40508,0,184336.2442,0,784781.699,18644668.65,184336.2442,133.72731,10696827.21,73493.90748,443193.3175,442351.2232,0.12038,0.32019,0.00538,80092380.19,2771015.392,5.88E-21,0,1458.24228,0.30813,4.58864,10007.0053,1662717.626,0,35410.23154,136.49757,30.87872,442351.2232,0,2644089.989,0,35181.86218,136.49757,30.87872
2011-01-12,0.0048,-6.1,-1.4,-10.52747,52.20958,7.26578,0,15765.61189,8.03025,3.06725,0,0,0,15765.61189,15791323.13,0,133.72731,10696827.21,0,481744.3225,474228.5801,0.1195,0.31796,0.00533,79618152.02,2738835.606,5.36E-21,0,1380.81284,0.30518,4.58855,9872.64561,1662691.337,0,33560.18034,134.66488,30.87823,474228.5801,0,2869111.135,0,33313.15369,134.66488,30.87823
2011-01-13,0,-1.35,1.8,-7.36156,68.01416,8.6477,0,0,8.72918,3.23904,0,0,0,0,13002231.35,0,130.56435,10045202.21,651624.9995,466416.6057,437560.7762,0.11892,0.3159,0.00601,79180591.68,3208627.859,4.84E-21,0,8290.21929,0.30226,4.58847,9740.09106,1662665.048,0,190122.5354,132.85681,30.87774,437560.7762,0,2789091.78,0,189224.2161,132.85681,30.87774
2011-01-14,0.16393,-2.21429,0.41868,-4.84726,63.64395,6.91887,0,666522.3659,12.20205,3.59463,0,0,0,666522.3659,10770028.38,0,130.56435,10045202.21,0,481827.6275,436779.4759,0.11811,0.31387,0.00588,78743812.59,3112145.197,4.38E-21,0,4319.02273,0.29936,4.58838,9609.3174,1662638.759,0,100801.3006,131.07303,30.87726,436779.4759,0,2898725.333,0,99424.90309,131.07303,30.87726
2011-01-15,0.15824,-0.97362,5.50773,-7.45496,64.06562,8.24568,0,649753.2161,5.54272,2.97086,0,0,0,649753.2161,8588077.214,0,118.52062,8639460.722,1405741.484,846727.7899,753278.486,0.11795,0.31304,0.0062,78544346.24,3335929.628,3.96E-21,0,27889.26528,0.29649,4.5883,9480.30067,1662612.47,0,656034.1817,129.31321,30.87677,753278.486,0,2831704.387,0,631768.0834,129.31321,30.87677
2011-01-16,1.45379,-0.56372,7.44291,-8.57035,76.50124,12.41329,0,4034173.33,5.88902,3.09966,0,1535928.073,0,2498245.257,8785572.26,1535928.073,80.72405,6289345.047,3886043.749,387107.2312,386787.2455,0.12294,0.32297,0.00796,80456975.77,4260404.063,3.59E-21,0,40144.80475,0.29364,4.58821,9353.01727,1662586.182,0,702297.3357,127.57704,30.87628,386787.2455,0,2300750.211,0,669787.2962,127.57704,30.87628
2011-01-17,6.01534,1.06816,7.24511,-5.10879,81.13749,8.139,0,17525729.06,4.25539,2.92033,0,12959714.26,0,6582922.714,11414497.75,12959714.26,74.61789,14994792.64,4254266.67,409789.396,382445.7942,0.12805,0.33102,0.01075,82452473.5,5288615.534,3.25E-21,0,815505.8954,0.29081,4.58813,9227.44388,1662559.894,0,1663617.576,125.8642,30.87579,382445.7942,0,1937089.308,0,1328537.768,125.8642,30.87579
