time,precip,tmean,tmax,tmin,rhum,wind,rain,snow,solRad,netRad,netRainOut,netSnowOut,irrigation_amount,interception,intercStorage,throughfall,snowDepth,snowTotSWE,snowMelt,potET,actET,soilSat,soilSatMPS,soilSatLPS,soilActMPS,soilActLPS,percolation,inRD1,inRD2,inRG1,inRG2,actRG1,actRG2,outRD1,outRD2,outRG1,outRG2,actET,E_dps,E_intercept,genRD1,genRD2,genRG1,genRG2
2011-01-01,0.65281,-16.71592,-7.87908,-25.55277,60.36791,11.94267,0,1910641.565,8.62771,3.09339,0,166901.3538,0,1743740.212,4396044.856,166901.3538,45.35501,4282140.171,0,198761.0756,195596.2643,0.13643,0.36317,0.0062,91299678.4,3153534.847,9.06E-47,0,155.59034,1.02228,6.46969,11144.85644,1662969.773,0,3791.63898,467.54883,43.53592,195596.2643,0,1226100.999,0,3791.6086,467.54883,43.53592
2011-01-02,0.32232,-8.12252,0.41433,-16.65936,50.23499,7.4876,0,812843.1538,11.44156,2.8589,0,6.30179,0,812836.8521,2790123.448,6.30179,45.35516,4282146.473,0,636326.2154,587057.3602,0.13531,0.3604,0.00619,90712978.15,3149577.719,9.18E-47,0,154.19322,0.9931,6.46952,10697.08559,1662932.708,0,3754.21001,448.76395,43.53495,587057.3602,0,2418758.26,0,3754.17856,448.76395,43.53495
2011-01-03,0.36382,-6.55,-4.3,-12.10442,63.95146,5.97187,0,1399551.766,7.0405,2.7637,0,0.15969,0,1399551.606,3173798.142,0.15969,45.35517,4282146.633,0,1392740.541,1182247.992,0.13352,0.35577,0.00618,89531078.24,3145664.866,9.14E-47,0,152.88289,0.96462,6.46935,10267.31594,1662895.643,0,3717.65203,430.73426,43.53398,1182247.992,0,1015876.912,0,3717.61946,430.73426,43.53398
2011-01-04,0.00572,-6.8,-3.6,-12.96376,55.90729,9.71388,0,20924.86719,11.56696,2.97496,0,0,0,20924.86719,2642166.17,0,45.35517,4282146.633,0,2528925.963,2104387.968,0.1307,0.34781,0.00617,87427222.41,3141602.401,8.91E-47,0,151.592,0.93682,6.46918,9854.82337,1662858.579,0,3681.92316,413.42938,43.53301,2104387.968,0,552556.839,0,3681.88947,413.42938,43.53301
2011-01-05,0.56693,-3.30436,5.57151,-12.18024,71.8854,14.52832,0,1679252.927,7.66131,2.87752,0,152368.187,0,1526884.74,3323438.105,152368.187,46.31723,4434514.82,0,1877706.389,1572900.332,0.12858,0.34206,0.00612,85860695.84,3131731.964,8.72E-47,0,150.3118,0.90969,6.46901,9458.9129,1662821.516,0,3646.98498,396.82015,43.53204,1572900.332,0,845612.8047,0,3646.95013,396.82015,43.53204
2011-01-06,0.20483,-1.52747,6.58135,-9.63629,63.49624,11.02481,0,790878.4878,7.366,2.80308,0,0,0,790878.4878,3536794.195,0,46.31723,4434514.82,0,3149288.162,2571784.262,0.12519,0.33244,0.00609,83293090.74,3124098.222,8.37E-47,0,149.06174,0.88323,6.46884,9078.91753,1662784.454,0,3603.64787,380.8786,43.53107,2571784.262,0,577522.3987,0,3603.61184,380.8786,43.53107
2011-01-07,0.00297,1.85167,7.91652,-4.21319,60.57229,5.3778,0,10928.98806,11.30467,2.96944,0,1091053.272,0,1042.3055,1760126.025,1091053.272,48.38067,5525568.092,0,3737336.664,2976460.41,0.12135,0.32157,0.00597,80332983.56,3104326.65,8.07E-47,0,147.82898,0.85742,6.46868,8714.1971,1662747.393,0,3566.16864,365.57785,43.5301,2976460.41,0,696543.8857,0,3566.1314,365.57785,43.5301
2011-01-08,0.76108,-0.35275,4.18681,-4.89232,63.1475,4.13949,0,1933286.751,8.01872,2.9001,0,392031.6532,0,1541255.098,1618521.09,392031.6532,50.2088,5917599.745,0,1706388.822,1335807.043,0.11967,0.31677,0.00591,79005428.86,3092700.267,7.65E-47,0,146.6173,0.83226,6.46851,8364.13722,1662710.332,0,3520.65636,350.89214,43.52912,1335807.043,0,1682860.033,0,3520.61791,350.89214,43.52912
2011-01-09,8.36618,-9.15713,0.79674,-19.11099,89.52229,1.57137,0,24333936.01,3.66028,2.68951,0,5956859.987,0,18377076.03,19397540.33,5956859.987,141.76509,11874459.73,0,120914.8598,101619.9476,0.1195,0.31636,0.00588,78907427.14,3085741.022,7.18E-47,0,145.42344,0.80774,6.46834,8028.14822,1662673.272,0,3486.44239,336.79674,43.52815,101619.9476,0,598056.7834,0,3486.40268,336.79674,43.52815
2011-01-10,0.63711,-14.5192,-3.34388,-25.69452,76.89708,3.1903,0,1897588.5,9.80653,3.59045,0,158739.3212,0,1738849.179,20330910.48,158739.3212,144.23998,12033199.05,0,140460.7431,129296.6472,0.11927,0.31577,0.00587,78778417.96,3082143.252,6.83E-47,0,144.24809,0.78384,6.46817,7705.66417,1662636.213,0,3454.54514,323.26789,43.52718,129296.6472,0,805479.03,0,3454.50416,323.26789,43.52718
