date,grid_2011,grid_2012,grid_2013,grid_2014,grid_2015,grid_2016,grid_2017,grid_2018,grid_2019,grid_2020,grid_all,statn_2011,statn_2012,statn_2013,statn_2014,statn_2015,statn_2016,statn_2017,statn_2018,statn_2019,statn_2020,statn_all,obs
2011-01-01,0.00005,2.55E-07,2.56E-07,3.91E-07,0.00001,2.66E-07,5.36E-07,4.07E-07,2.61E-07,6.91E-07,2.86E-07,3.12E-06,3.88E-06,3.12E-06,3.12E-06,3.77E-06,3.25E-06,3.13E-06,4.40E-06,3.44E-06,3.13E-06,3.13E-06,-9999
2011-01-02,0.00012,1.48E-07,1.48E-07,1.69E-07,0.00001,1.51E-07,1.46E-07,1.69E-07,1.50E-07,1.35E-07,1.56E-07,1.13E-06,1.00E-06,1.13E-06,1.13E-06,1.03E-06,1.12E-06,1.13E-06,8.96E-07,1.09E-06,1.13E-06,1.13E-06,-9999
2011-01-03,0.00042,9.35E-08,9.36E-08,7.65E-08,0.00001,9.38E-08,6.12E-08,7.49E-08,9.37E-08,6.71E-08,9.39E-08,5.47E-07,3.85E-07,5.47E-07,5.47E-07,4.10E-07,5.22E-07,5.46E-07,2.87E-07,4.83E-07,5.46E-07,5.46E-07,-9999
2011-01-04,0.00095,5.32E-08,5.31E-08,4.66E-08,0.00004,5.28E-08,3.66E-08,4.48E-08,5.30E-08,4.49E-08,5.19E-08,2.81E-07,1.70E-07,2.81E-07,2.81E-07,1.86E-07,2.62E-07,2.80E-07,1.23E-07,2.34E-07,2.81E-07,2.81E-07,-9999
2011-01-05,0.00146,3.95E-08,3.94E-08,3.06E-08,0.00014,3.88E-08,1.90E-08,2.91E-08,3.91E-08,4.02E-08,3.75E-08,1.63E-07,7.83E-08,1.63E-07,1.63E-07,8.68E-08,1.49E-07,1.62E-07,8.00E-08,1.30E-07,1.62E-07,1.62E-07,-9999
2011-01-06,0.00176,3.03E-08,3.02E-08,2.13E-08,0.00037,2.95E-08,1.11E-08,2.58E-08,2.99E-08,4.04E-08,2.82E-08,1.03E-07,4.83E-08,1.03E-07,1.03E-07,5.41E-08,9.31E-08,1.02E-07,6.13E-08,6.84E-08,1.02E-07,1.02E-07,-9999
2011-01-07,0.00186,2.38E-08,2.37E-08,2.05E-08,0.0007,2.31E-08,7.02E-09,1.72E-08,2.34E-08,4.21E-08,2.18E-08,5.84E-08,3.21E-08,5.84E-08,5.85E-08,3.62E-08,5.25E-08,5.81E-08,1.18E-07,4.73E-08,5.82E-08,5.82E-08,-9999
2011-01-08,0.00182,1.92E-08,1.91E-08,1.43E-08,0.00101,1.85E-08,2.85E-09,1.21E-08,1.88E-08,4.44E-08,1.73E-08,4.33E-08,2.25E-08,4.33E-08,4.34E-08,2.55E-08,3.86E-08,4.31E-08,6.56E-07,3.42E-08,4.31E-08,4.32E-08,-9999
2011-01-09,0.00724,0.00001,1.56E-08,0.00013,0.01067,1.51E-08,0.00126,5.14E-08,1.54E-08,0.00162,1.40E-08,3.31E-08,2.19E-08,3.32E-08,3.32E-08,1.88E-08,2.94E-08,3.30E-08,2.26E-06,2.58E-08,3.30E-08,3.30E-08,-9999
2011-01-10,0.00995,0.00002,1.30E-08,0.00021,0.01516,1.25E-08,0.0013,3.22E-07,1.28E-08,0.00489,1.15E-08,2.61E-08,1.55E-08,2.61E-08,2.61E-08,1.93E-08,2.30E-08,2.59E-08,0.00001,2.05E-08,2.60E-08,2.60E-08,-9999
