"","run","param","value","input_data","year_missing"
"1","station_all","initMPS",0.1,"station","none"
"2","station_all","initLPS",0.05,"station","none"
"3","station_all","FCAdaptation",1,"station","none"
"4","station_all","ACAdaptation",1,"station","none"
"5","station_all","baseTemp",-4.024512288,"station","none"
"6","station_all","t_factor",0.030861237,"station","none"
"7","station_all","r_factor",0.654568793,"station","none"
"8","station_all","g_factor",4.71792468,"station","none"
"9","station_all","snowCritDens",0.736787793,"station","none"
"10","station_all","ccf_factor",0.027011427,"station","none"
"11","station_all","snow_trans",1.303835526,"station","none"
"12","station_all","snow_trs",4.892001568,"station","none"
"13","station_all","piadin",0,"station","none"
"14","station_all","Beta_min",0.002,"station","none"
"15","station_all","Beta_trans",1e-05,"station","none"
"16","station_all","Beta_rsd",0.03,"station","none"
"17","station_all","deposition_factor",0.04,"station","none"
"18","station_all","delayNitrification",0.2,"station","none"
"19","station_all","denitrificationSoilSaturationThreshold",0.6,"station","none"
"20","station_all","denitrificationRateCoefficient",1.4,"station","none"
"21","station_all","nitrificationSurfaceTemperatureThreshold",5,"station","none"
"22","station_all","nitrificationSoilTemperatureThreshold",5,"station","none"
"23","station_all","longTZ",-105,"station","none"
"24","station_all","angstrom_a",0.25,"station","none"
"25","station_all","angstrom_b",0.5,"station","none"
"26","station_all","a_rain",1.941241787,"station","none"
"27","station_all","a_snow",9.868938358,"station","none"
"28","station_all","soilMaxDPS",0.746780679,"station","none"
"29","station_all","soilPolRed",48.97461556,"station","none"
"30","station_all","soilLinRed",0,"station","none"
"31","station_all","soilMaxInfSummer",64.45901539,"station","none"
"32","station_all","soilMaxInfWinter",36.46819877,"station","none"
"33","station_all","soilMaxInfSnow",86.81491481,"station","none"
"34","station_all","soilImpGT80",0.25,"station","none"
"35","station_all","soilImpLT80",0.6,"station","none"
"36","station_all","soilDistMPSLPS",0.242955014,"station","none"
"37","station_all","soilDiffMPSLPS",0.300511225,"station","none"
"38","station_all","soilOutLPS",9.957934372,"station","none"
"39","station_all","soilLatVertLPS",5.81818572,"station","none"
"40","station_all","soilMaxPerc",1,"station","none"
"41","station_all","geoMaxPerc",0.790121587,"station","none"
"42","station_all","kdiff_layer",1.037718853,"station","none"
"43","station_all","BetaW",0.189668659,"station","none"
"44","station_all","lagSurfaceRunoff",1.290887121,"station","none"
"45","station_all","lagInterflow",1.993568609,"station","none"
"46","station_all","initRG1",0.04,"station","none"
"47","station_all","initRG2",0.01,"station","none"
"48","station_all","gwRG1RG2dist",0.700698801,"station","none"
"49","station_all","gwRG1Fact",7.402896407,"station","none"
"50","station_all","gwRG2Fact",54.97971779,"station","none"
"51","station_all","gwCapRise",0.214835969,"station","none"
"52","station_all","N_delay_RG1",5,"station","none"
"53","station_all","N_delay_RG2",5,"station","none"
"54","station_all","N_concRG1",10,"station","none"
"55","station_all","N_concRG2",10,"station","none"
"56","station_all","flowRouteTA",0.100290117,"station","none"
"57","station_all","Ksink",0,"station","none"
"58","station_all","drspac",1000,"station","none"
"59","station_all","drrad",15,"station","none"
"60","station_all","clat",4.2,"station","none"
"61","station_all","LExCoef",-0.65,"station","none"
"62","station_all","rootfactor",1.2,"station","none"
"63","station_all","temp_lag",0.8,"station","none"
"64","station_all","sceno",0,"station","none"
"65","station_all","opti",0,"station","none"
"66","station_2011","initMPS",0.1,"station","2011"
"67","station_2011","initLPS",0.05,"station","2011"
"68","station_2011","FCAdaptation",1,"station","2011"
"69","station_2011","ACAdaptation",1,"station","2011"
"70","station_2011","baseTemp",1.189559066,"station","2011"
"71","station_2011","t_factor",1.528931834,"station","2011"
"72","station_2011","r_factor",1.692959338,"station","2011"
"73","station_2011","g_factor",3.228187268,"station","2011"
"74","station_2011","snowCritDens",0.610613545,"station","2011"
"75","station_2011","ccf_factor",0.043087842,"station","2011"
"76","station_2011","snow_trans",2.13199535,"station","2011"
"77","station_2011","snow_trs",4.928893292,"station","2011"
"78","station_2011","piadin",0,"station","2011"
"79","station_2011","Beta_min",0.002,"station","2011"
"80","station_2011","Beta_trans",1e-05,"station","2011"
"81","station_2011","Beta_rsd",0.03,"station","2011"
"82","station_2011","deposition_factor",0.04,"station","2011"
"83","station_2011","delayNitrification",0.2,"station","2011"
"84","station_2011","denitrificationSoilSaturationThreshold",0.6,"station","2011"
"85","station_2011","denitrificationRateCoefficient",1.4,"station","2011"
"86","station_2011","nitrificationSurfaceTemperatureThreshold",5,"station","2011"
"87","station_2011","nitrificationSoilTemperatureThreshold",5,"station","2011"
"88","station_2011","longTZ",-105,"station","2011"
"89","station_2011","angstrom_a",0.25,"station","2011"
"90","station_2011","angstrom_b",0.5,"station","2011"
"91","station_2011","a_rain",1.819062088,"station","2011"
