date,grid2012_grid,grid2012_statn,statn2017_grid,statn2017_statn,obs
1/1/11,0.78224,0.78224,1.07773,1.07773,-9999
1/2/11,0.2393,0.23931,0.30094,0.30094,-9999
1/3/11,0.11498,0.11506,0.12426,0.12437,-9999
1/4/11,0.0762,0.07601,0.06859,0.06893,-9999
1/5/11,0.06035,0.06076,0.04566,0.04636,-9999
1/6/11,0.05193,0.05287,0.03419,0.03499,-9999
1/7/11,0.04658,0.04757,0.02749,0.02833,-9999
1/8/11,0.04346,0.04344,0.02324,0.02395,-9999
1/9/11,0.04252,0.04024,0.02981,0.02085,-9999
1/10/11,0.05668,0.0371,0.02335,0.01849,-9999
1/11/11,0.06896,0.03405,0.01868,0.01658,-9999
1/12/11,0.07405,0.03117,0.01598,0.01495,-9999
1/13/11,0.07502,0.02843,0.01423,0.01353,-9999
1/14/11,0.07322,0.02587,0.01291,0.01226,-9999
1/15/11,0.06953,0.02354,0.01546,0.01112,-9999
1/16/11,0.06528,0.02164,0.02169,0.01008,-9999
1/17/11,0.06118,0.02075,0.05858,0.00914,-9999
1/18/11,0.05721,0.02685,0.04364,0.00829,-9999
1/19/11,0.0541,0.04915,0.09249,0.00751,-9999
1/20/11,0.05812,0.07656,0.0859,0.00681,-9999
1/21/11,0.05985,0.09344,0.06195,0.00617,-9999
1/22/11,0.05811,0.09864,0.07447,0.00559,-9999
1/23/11,0.05582,0.09695,0.05624,0.00506,-9999
1/24/11,0.05272,0.09209,0.04441,0.00458,-9999
1/25/11,0.04886,0.08603,0.03713,0.00414,-9999
1/26/11,0.04487,0.07965,0.03211,0.00375,-9999
1/27/11,0.0411,0.07474,0.02846,0.00339,-9999
1/28/11,0.03793,0.08009,0.03034,0.00307,-9999
1/29/11,0.03494,0.10074,0.03215,0.00277,-9999
1/30/11,0.03207,0.12768,0.03031,0.00256,-9999
1/31/11,0.02975,0.14513,0.05558,0.00265,-9999
2/1/11,0.03017,0.15075,0.03973,0.00312,-9999
2/2/11,0.02927,0.14841,0.0296,0.00361,-9999
2/3/11,0.02744,0.14211,0.0242,0.0038,-9999
2/4/11,0.02531,0.13431,0.02094,0.00366,-9999
2/5/11,0.02317,0.12623,0.01864,0.00333,-9999
2/6/11,0.0212,0.1184,0.0168,0.00292,-9999
2/7/11,0.01939,0.11102,0.01521,0.00253,-9999
2/8/11,0.01773,0.10418,0.0138,0.00216,-9999
2/9/11,0.01621,0.09788,0.01254,0.00185,-9999
