"","date","catchmentRD1_w","catchmentRD2_w","catchmentRG1_w","catchmentRG2_w","source","year","RD1cumsum","RD2cumsum","RG1cumsum","RG2cumsum"
"1",2011-01-01,0,1.55e-09,5.29e-07,4.08e-08,"grid",2011,0,1.55e-09,5.29e-07,4.08e-08
"2",2011-01-02,0,5.88e-10,2.01e-07,1.55e-08,"grid",2011,0,2.138e-09,7.3e-07,5.63e-08
"3",2011-01-03,0,2.47e-10,8.41e-08,6.5e-09,"grid",2011,0,2.385e-09,8.141e-07,6.28e-08
"4",2011-01-04,0,1.42e-10,4.83e-08,3.73e-09,"grid",2011,0,2.527e-09,8.624e-07,6.653e-08
"5",2011-01-05,0,1.11e-10,3.8e-08,2.94e-09,"grid",2011,0,2.638e-09,9.004e-07,6.947e-08
"6",2011-01-06,0,6.88e-11,2.35e-08,1.81e-09,"grid",2011,0,2.7068e-09,9.239e-07,7.128e-08
"7",2011-01-07,0,4.56e-11,1.56e-08,1.2e-09,"grid",2011,0,2.7524e-09,9.395e-07,7.248e-08
"8",2011-01-08,0,3.19e-11,1.09e-08,8.4e-10,"grid",2011,0,2.7843e-09,9.504e-07,7.332e-08
"9",2011-01-09,0,2.33e-11,7.94e-09,6.13e-10,"grid",2011,0,2.8076e-09,9.5834e-07,7.3933e-08
"10",2011-01-10,0,1.76e-11,6e-09,4.63e-10,"grid",2011,0,2.8252e-09,9.6434e-07,7.4396e-08
"11",2011-01-11,0,1.37e-11,4.67e-09,3.6e-10,"grid",2011,0,2.8389e-09,9.6901e-07,7.4756e-08
"12",2011-01-12,0,1.09e-11,3.71e-09,2.87e-10,"grid",2011,0,2.8498e-09,9.7272e-07,7.5043e-08
"13",2011-01-13,0,4.38e-12,1.49e-09,1.15e-10,"grid",2011,0,2.85418e-09,9.7421e-07,7.5158e-08
"14",2011-01-14,0,3.97e-12,1.34e-09,1.03e-10,"grid",2011,0,2.85815e-09,9.7555e-07,7.5261e-08
"15",2011-01-15,0,3.65e-12,1.21e-09,9.31e-11,"grid",2011,0,2.8618e-09,9.7676e-07,7.53541e-08
"16",2011-01-16,0,3.43e-12,1.09e-09,8.45e-11,"grid",2011,0,2.86523e-09,9.7785e-07,7.54386e-08
"17",2011-01-17,0,3.3e-12,9.98e-10,7.71e-11,"grid",2011,0,2.86853e-09,9.78848e-07,7.55157e-08
"18",2011-01-18,0,3.29e-12,9.14e-10,7.06e-11,"grid",2011,0,2.87182e-09,9.79762e-07,7.55863e-08
"19",2011-01-19,0,3.4e-12,8.41e-10,6.5e-11,"grid",2011,0,2.87522e-09,9.80603e-07,7.56513e-08
"20",2011-01-20,0,3.65e-12,7.77e-10,6.01e-11,"grid",2011,0,2.87887e-09,9.8138e-07,7.57114e-08
"21",2011-01-21,0,4.06e-12,7.2e-10,5.57e-11,"grid",2011,0,2.88293e-09,9.821e-07,7.57671e-08
"22",2011-01-22,0,4.64e-12,6.7e-10,5.19e-11,"grid",2011,0,2.88757e-09,9.8277e-07,7.5819e-08
"23",2011-01-23,0,5.4e-12,6.26e-10,4.86e-11,"grid",2011,0,2.89297e-09,9.83396e-07,7.58676e-08
