@H,time,catchmentSimRunoff,catchmentSimRunoffN,catchmentSimRunoff_NO3,catchmentSimRunoff_NO3_N,catchmentNO3_N_Load_kg_ha,catchmentRD1_w,catchmentRD2_w,catchmentRG1_w,catchmentRG2_w,catchmentNRD1_w,catchmentNRD2_w,catchmentNRG1_w,catchmentNRG2_w,catchmentSed,deepsinkW,deepsinkN
,1/1/11,0.02575,0.22196,0.09978,0.09978,0.00003,0.00001,0.03315,4.39585E-6,2.10961E-6,0,3.3094E-9,6.43348E-14,5.47073E-14,0,0,0
,1/2/11,0.02607,0.23698,0.1052,0.1052,0.00004,0.00001,0.03352,0.00006,2.12136E-6,0,3.31796E-9,2.15416E-10,1.30852E-13,0,0,0
,1/3/11,0.02701,0.2726,0.11681,0.11681,0.00004,0.00001,0.03459,0.0002,2.18567E-6,0,3.35607E-9,7.08335E-10,1.53897E-13,0,0,0
,1/4/11,0.02812,0.33231,0.13677,0.13677,0.00005,0.00001,0.03578,0.00043,2.27174E-6,0,3.42542E-9,1.52942E-9,1.64796E-13,0,0,0
,1/5/11,0.02934,0.41847,0.16506,0.16506,0.00006,0.00001,0.03701,0.00078,2.37815E-6,0,3.52643E-9,2.71297E-9,1.70889E-13,0,0,0
,1/6/11,0.03062,0.53201,0.20109,0.20109,0.00008,0.00001,0.03822,0.00122,2.50284E-6,0,3.65346E-9,4.27897E-9,1.75376E-13,0,0,0
,1/7/11,0.0319,0.67286,0.2441,0.2441,0.0001,0.00001,0.03934,0.00175,2.6428E-6,0,3.80513E-9,6.22741E-9,1.79172E-13,0,0,0
,1/8/11,0.03314,0.83919,0.29309,0.29309,0.00013,0.00001,0.04033,0.00236,2.79393E-6,0,3.97706E-9,8.53557E-9,1.82154E-13,0,0,0
,1/9/11,0.03566,1.07659,0.34946,0.34946,0.00016,0.00001,0.04271,0.00321,3.05331E-6,0,4.37751E-9,1.16749E-8,2.34643E-13,0,0,0
,1/10/11,0.03865,1.37133,0.41069,0.41069,0.0002,0.00001,0.04553,0.00425,3.3612E-6,0,4.89015E-9,1.5557E-8,2.81906E-13,0,0,0
,1/11/11,0.04142,1.69992,0.47503,0.47503,0.00025,0.00001,0.04797,0.00537,3.66509E-6,0,5.38973E-9,1.99568E-8,3.0653E-13,0,0,0
,1/12/11,0.04372,2.04695,0.5419,0.5419,0.00031,0.00001,0.04978,0.00653,3.94396E-6,0,5.83162E-9,2.46894E-8,3.05514E-13,0,0,0
,1/13/11,0.0455,2.40072,0.6107,0.6107,0.00036,0.00001,0.05092,0.00769,4.18998E-6,0,6.2013E-9,2.95945E-8,2.84562E-13,0,0,0
,1/14/11,0.05618,3.02793,0.62384,0.62384,0.00045,0.00001,0.06267,0.00968,4.83756E-6,0,7.14695E-9,3.8001E-8,3.19379E-13,0,0,0
,1/15/11,0.06428,3.92478,0.70672,0.70672,0.00059,0.00001,0.07084,0.01195,0.00001,0,7.99677E-9,5.05228E-8,1.18765E-12,0,0,0
,1/16/11,0.06367,4.83712,0.87935,0.87935,0.00072,0.00001,0.06818,0.01383,0.00001,0,7.97438E-9,6.41477E-8,2.26683E-12,0,0,0
