time,precip,tmean,tmax,tmin,rhum,wind,rain,snow,solRad,netRad,netRainOut,netSnowOut,irrigation_amount,interception,intercStorage,throughfall,snowDepth,snowTotSWE,snowMelt,potET,actET,soilSat,soilSatMPS,soilSatLPS,soilActMPS,soilActLPS,percolation,inRD1,inRD2,inRG1,inRG2,actRG1,actRG2,outRD1,outRD2,outRG1,outRG2,actET,E_dps,E_intercept,genRD1,genRD2,genRG1,genRG2
2011-01-01,0.65247,-17.7533,-15.12944,-20.37716,59.10801,11.94267,0,1922823.815,10.65597,3.39862,0,1480300.618,0,442523.1968,28389.51225,1480300.618,16.69351,1480300.618,0,1036487.639,196.87799,0.02731,0.07668,0,19697212.68,0,0,0,0,2.00E-08,6.32896,23215.24393,2008635.353,0,0,2842.05313,33.46896,196.87799,0,414133.6846,0,0,2842.05313,33.46896
2011-01-02,0.32216,-12.70158,-7.53163,-17.87154,39.77941,7.4876,0,902805.9135,11.15595,2.98099,0,624561.4153,0,278244.4983,28135.35475,624561.4153,24.16446,2104862.034,0,2811958.613,559.75616,0.02731,0.07668,0,19696652.93,0,0,0,0,1.79E-08,6.32886,20683.17176,2008608.213,0,0,2532.07217,33.46851,559.75616,0,278498.6558,0,0,2532.07217,33.46851
2011-01-03,0.37942,-4.26632,0.98472,-9.51735,38.19707,5.97187,0,1319782.577,7.3561,2.48296,0,1131782.085,0,188000.4927,0,1131782.085,35.12425,3236644.118,0,5110686.472,980.74195,0.02731,0.07667,0,19695672.18,0,0,0,0,1.60E-08,6.32875,18427.27113,2008581.074,0,0,2255.90064,33.46806,980.74195,0,216135.8474,0,0,2255.90064,33.46806
2011-01-04,0.00991,-6.63186,-1.342,-11.92172,55.80946,9.71388,0,34616.66427,8.67666,2.76703,0,0,0,34616.66427,0,0,35.12425,3236644.118,0,3258229,578.2039,0.02731,0.07667,0,19695093.98,0,0,0,0,1.44E-08,6.32865,16417.42016,2008553.935,0,0,2009.85096,33.4676,578.2039,0,34616.66427,0,0,2009.85096,33.4676
2011-01-05,0.52624,-3.80757,0.82575,-8.44088,42.68766,14.52832,0,1567923.808,5.78264,2.52326,0,1147886.013,0,420037.7952,0,1147886.013,46.19325,4384530.131,0,5302080.626,1002.01296,0.02731,0.07667,0,19694091.97,0,0,0,0,1.28E-08,6.32854,14626.78239,2008526.796,0,0,1790.63777,33.46715,1002.01296,0,420037.7952,0,0,1790.63777,33.46715
2011-01-06,0.20282,-2.1773,0.67714,-5.03175,46.67805,11.02481,0,706028.1544,7.46869,2.66964,0,528608.8019,0,177419.3525,0,528608.8019,50.8904,4913138.933,0,5905159.122,1140.98178,0.0273,0.07666,0,19692950.99,0,0,0,0,1.15E-08,6.32844,13031.44837,2008499.658,0,0,1595.33403,33.4667,1140.98178,0,177419.3525,0,0,1595.33403,33.4667
2011-01-07,0.00511,2.03719,5.55373,-1.47935,45.34973,5.3778,0,17924.16033,7.08331,2.65359,0,0,0,17924.16033,0,0,49.94655,4773250.859,139888.0736,6716221.693,3393.13683,0.0274,0.07704,0,19827751.57,0,734.01241,0,126.8797,1.03E-08,6.32833,12117.61128,2008699.038,0,1087.21846,1421.33194,33.46625,3393.13683,0,17924.16033,0,962.80519,1421.33194,33.46625
2011-01-08,0.74694,0.38162,4.74284,-3.9796,56.66417,4.13949,0,1993304.269,9.27811,2.84987,0,1048752.441,0,944551.8282,0,1048752.441,53.06003,5489256.567,332746.7337,3323260.946,9139.12571,0.02792,0.07837,0,20147394.94,0,2023.52922,0,1048.86745,5.62588,6.32869,12182.24975,2009314.14,0,2989.57401,1322.27391,33.46957,9139.12571,0,944551.8282,0,2105.26492,1322.27391,33.46957
2011-01-09,8.41636,1.79472,8.19001,-4.60057,54.70114,1.57137,0,24351332.19,7.79209,2.86871,0,23406780.23,0,944551.9569,0,23406780.23,87.45328,14075016.37,14821020.43,2595641.431,554919.992,0.04074,0.12214,0.00017,33972086.7,95511.26817,218453.9698,0,34792.12546,64.29189,6.33358,157852.684,2080799.098,0,162235.5686,1335.72265,33.47982,554919.992,0,944551.9569,0,127741.2126,1335.72265,33.47982
2011-01-10,0.59066,-11.36738,-3.90872,-18.82604,89.14318,3.1903,0,1758320.315,11.17436,3.78418,0,986849.2456,0,771471.0695,73324.85931,986849.2456,98.69424,14790017.6,271848.0101,43009.3607,4776.26459,0.04148,0.12381,0.00002,34308221.67,9887.82425,9856.5485,0,346.54975,4814.12009,6.74616,151654.3879,2083898.171,0,7050.21788,17741.96681,34.67093,4776.26459,0,698146.2102,0,6710.25198,17741.96681,34.67093
