time,catchmentSimRunoff,catchmentSimRunoffN,catchmentSimRunoff_NO3,catchmentSimRunoff_NO3_N,catchmentNO3_N_Load_kg_ha,catchmentRD1_w,catchmentRD2_w,catchmentRG1_w,catchmentRG2_w,catchmentNRD1_w,catchmentNRD2_w,catchmentNRG1_w,catchmentNRG2_w,catchmentSed,deepsinkW,deepsinkN
2011-01-01,4.43E-07,3.73E-15,9.73E-11,9.73E-11,5.56E-19,0,1.55E-09,5.29E-07,4.08E-08,0,0,1.63E-31,5.56E-23,0,0,0
2011-01-02,1.68E-07,3.16E-15,2.17E-10,2.17E-10,4.70E-19,0,5.88E-10,2.01E-07,1.55E-08,0,0,1.21E-31,4.70E-23,0,0,0
2011-01-03,7.05E-08,2.42E-15,3.97E-10,3.97E-10,3.60E-19,0,2.47E-10,8.41E-08,6.50E-09,0,0,8.15E-32,3.60E-23,0,0,0
2011-01-04,4.05E-08,2.11E-15,6.03E-10,6.03E-10,3.15E-19,0,1.42E-10,4.83E-08,3.73E-09,0,0,6.26E-32,3.15E-23,0,0,0
2011-01-05,3.19E-08,2.35E-15,8.53E-10,8.53E-10,3.50E-19,0,1.11E-10,3.80E-08,2.94E-09,0,0,6.11E-32,3.50E-23,0,0,0
2011-01-06,1.97E-08,2.09E-15,1.23E-09,1.23E-09,3.11E-19,0,6.88E-11,2.35E-08,1.81E-09,0,0,4.78E-32,3.11E-23,0,0,0
2011-01-07,1.30E-08,1.88E-15,1.67E-09,1.67E-09,2.80E-19,0,4.56E-11,1.56E-08,1.20E-09,0,0,3.78E-32,2.80E-23,0,0,0
2011-01-08,9.12E-09,1.72E-15,2.18E-09,2.18E-09,2.56E-19,0,3.19E-11,1.09E-08,8.40E-10,0,0,3.03E-32,2.56E-23,0,0,0
2011-01-09,6.66E-09,5.10E-15,8.86E-09,8.86E-09,7.60E-19,0,2.33E-11,7.94E-09,6.13E-10,0,2.21E-23,5.62E-32,5.39E-23,0,0,0
2011-01-10,5.03E-09,1.22E-14,2.80E-08,2.80E-08,1.81E-18,0,1.76E-11,6.00E-09,4.63E-10,0,9.50E-24,1.57E-31,1.72E-22,0,0,0
2011-01-11,3.91E-09,3.63E-14,1.07E-07,1.07E-07,5.41E-18,0,1.37E-11,4.67E-09,3.60E-10,0,1.97E-23,4.19E-31,5.21E-22,0,0,0
2011-01-12,3.11E-09,8.24E-14,3.06E-07,3.06E-07,1.23E-17,0,1.09E-11,3.71E-09,2.87E-10,0,1.27E-26,8.68E-31,1.23E-21,0,0,0
2011-01-13,1.25E-09,8.05E-14,7.48E-07,7.48E-07,1.20E-17,0,4.38E-12,1.49E-09,1.15E-10,0,4.55E-30,7.45E-31,1.20E-21,0,0,0
2011-01-14,1.12E-09,1.45E-13,1.50E-06,1.50E-06,2.17E-17,0,3.97E-12,1.34E-09,1.03E-10,0,1.28E-31,1.18E-30,2.17E-21,0,0,0
2011-01-15,1.01E-09,2.38E-13,2.73E-06,2.73E-06,3.56E-17,0,3.65E-12,1.21E-09,9.31E-11,0,6.80E-31,1.70E-30,3.56E-21,0,0,0
2011-01-16,9.18E-10,3.63E-13,4.57E-06,4.57E-06,5.41E-17,0,3.43E-12,1.09E-09,8.45E-11,0,5.20E-35,2.28E-30,5.41E-21,0,0,0
2011-01-17,8.37E-10,5.20E-13,0.00001,0.00001,7.75E-17,0,3.30E-12,9.98E-10,7.71E-11,0,2.77E-37,2.87E-30,7.75E-21,0,0,0
2011-01-18,7.67E-10,7.11E-13,0.00001,0.00001,1.06E-16,0,3.29E-12,9.14E-10,7.06E-11,0,1.37E-41,3.45E-30,1.06E-20,0,0,0
2011-01-19,7.06E-10,9.35E-13,0.00002,0.00002,1.39E-16,0,3.40E-12,8.41E-10,6.50E-11,0,5.89E-46,3.99E-30,1.39E-20,0,0,0
2011-01-20,6.52E-10,1.19E-12,0.00002,0.00002,1.78E-16,0,3.65E-12,7.77E-10,6.01E-11,0,1.86E-50,4.46E-30,1.78E-20,0,0,0
2011-01-21,6.05E-10,1.48E-12,0.00003,0.00003,2.20E-16,0,4.06E-12,7.20E-10,5.57E-11,0,5.65E-55,4.87E-30,2.20E-20,0,0,0
2011-01-22,5.64E-10,1.79E-12,0.00004,0.00004,2.67E-16,0,4.64E-12,6.70E-10,5.19E-11,0,1.45E-59,5.19E-30,2.67E-20,0,0,0
2011-01-23,5.28E-10,2.14E-12,0.00005,0.00005,3.19E-16,0,5.40E-12,6.26E-10,4.86E-11,0,3.16E-64,5.43E-30,3.19E-20,0,0,0
2011-01-24,4.96E-10,2.51E-12,0.00006,0.00006,3.74E-16,0,6.38E-12,5.87E-10,4.56E-11,0,5.91E-69,5.60E-30,3.74E-20,0,0,0
2011-01-25,4.68E-10,2.90E-12,0.00007,0.00007,4.32E-16,0,7.58E-12,5.53E-10,4.31E-11,0,9.57E-74,5.69E-30,4.32E-20,0,0,0
2011-01-26,4.44E-10,3.32E-12,0.00009,0.00009,4.94E-16,0,9.03E-12,5.22E-10,4.08E-11,0,1.34E-78,5.72E-30,4.94E-20,0,0,0
2011-01-27,4.23E-10,3.76E-12,0.0001,0.0001,5.60E-16,0,1.08E-11,4.95E-10,3.89E-11,0,8.18E-84,5.70E-30,5.60E-20,0,0,0
2011-01-28,4.05E-10,4.23E-12,0.00012,0.00012,6.30E-16,0,1.28E-11,4.72E-10,3.72E-11,0,1.44E-89,5.63E-30,6.30E-20,0,0,0
2011-01-29,3.90E-10,4.72E-12,0.00014,0.00014,7.04E-16,0,1.51E-11,4.51E-10,3.58E-11,0,8.76E-96,5.52E-30,7.04E-20,0,0,0
2011-01-30,3.77E-10,5.24E-12,0.00016,0.00016,7.81E-16,0,1.78E-11,4.34E-10,3.46E-11,0,2.01E-102,5.39E-30,7.81E-20,0,0,0
2011-01-31,3.67E-10,5.79E-12,0.00018,0.00018,8.64E-16,0,2.09E-11,4.18E-10,3.37E-11,0,2.47E-109,5.23E-30,8.64E-20,0,0,0
2011-02-01,3.59E-10,6.38E-12,0.00021,0.00021,9.52E-16,0,2.45E-11,4.05E-10,3.29E-11,0,2.51E-116,5.06E-30,9.52E-20,0,0,0
2011-02-02,3.54E-10,7.01E-12,0.00023,0.00023,1.05E-15,0,2.85E-11,3.95E-10,3.24E-11,0,2.35E-123,4.89E-30,1.05E-19,0,0,0
2011-02-03,3.50E-10,7.68E-12,0.00025,0.00025,1.15E-15,0,3.31E-11,3.86E-10,3.20E-11,0,2.05E-130,4.71E-30,1.15E-19,0,0,0
2011-02-04,3.48E-10,8.40E-12,0.00028,0.00028,1.25E-15,0,3.83E-11,3.79E-10,3.19E-11,0,1.66E-137,4.52E-30,1.25E-19,0,0,0
2011-02-05,3.49E-10,9.18E-12,0.0003,0.0003,1.37E-15,0,4.42E-11,3.73E-10,3.19E-11,0,1.26E-144,4.34E-30,1.37E-19,0,0,0
2011-02-06,3.51E-10,1.00E-11,0.00033,0.00033,1.49E-15,0,5.08E-11,3.70E-10,3.21E-11,0,8.90E-152,4.16E-30,1.49E-19,0,0,0
2011-02-07,3.56E-10,1.09E-11,0.00036,0.00036,1.63E-15,0,5.83E-11,3.68E-10,3.25E-11,0,5.89E-159,3.99E-30,1.63E-19,0,0,0
2011-02-08,3.62E-10,1.19E-11,0.00038,0.00038,1.78E-15,0,6.68E-11,3.67E-10,3.31E-11,0,3.65E-166,3.82E-30,1.78E-19,0,0,0
2011-02-09,3.71E-10,1.30E-11,0.0004,0.0004,1.93E-15,0,7.63E-11,3.68E-10,3.39E-11,0,2.13E-173,3.66E-30,1.93E-19,0,0,0
