time,precip,tmean,tmax,tmin,rhum,wind,rain,snow,solRad,netRad,netRainOut,netSnowOut,irrigation_amount,interception,intercStorage,throughfall,snowDepth,snowTotSWE,snowMelt,potET,actET,soilSat,soilSatMPS,soilSatLPS,soilActMPS,soilActLPS,percolation,inRD1,inRD2,inRG1,inRG2,actRG1,actRG2,outRD1,outRD2,outRG1,outRG2,actET,E_dps,E_intercept,genRD1,genRD2,genRG1,genRG2
2011-01-01,0.65281,-16.71592,-7.87908,-25.55277,60.36791,11.94267,0,1910641.565,8.62771,3.09339,0,166901.3538,0,1743740.212,4396044.856,166901.3538,45.35501,4282140.171,0,198761.0756,187070.9124,0.13645,0.36322,0.0062,91307837.16,3154282.225,1.22E-53,0,133.45348,0.2564,7.02285,11493.30166,1662966.604,0,3388.71624,118.33772,47.25828,187070.9124,0,1226100.999,0,3388.68158,118.33772,47.25828
2011-01-02,0.32232,-8.12252,0.41433,-16.65936,50.23499,7.4876,0,812843.1538,11.44156,2.8589,0,6.30179,0,812836.8521,2790123.448,6.30179,45.35516,4282146.473,0,636326.2154,566325.2198,0.13538,0.36056,0.00619,90741512.04,3151054.806,1.22E-53,0,132.40071,0.25458,7.02265,11376.42193,1662926.37,0,3359.71789,117.1343,47.25714,566325.2198,0,2418758.26,0,3359.68215,117.1343,47.25714
2011-01-03,0.36382,-6.55,-4.3,-12.10442,63.95146,5.97187,0,1399551.766,7.0405,2.7637,0,0.15969,0,1399551.606,3173798.142,0.15969,45.35517,4282146.633,0,1392740.541,1129041.785,0.13371,0.35621,0.00619,89612470.32,3147854.885,1.22E-53,0,131.40129,0.25277,7.02245,11260.73157,1662886.136,0,3331.26177,115.94313,47.25599,1129041.785,0,1015876.912,0,3331.22494,115.94313,47.25599
2011-01-04,0.00572,-6.8,-3.6,-12.96376,55.90729,9.71388,0,20924.86719,11.56696,2.97496,0,0,0,20924.86719,2642166.17,0,45.35517,4282146.633,0,2528925.963,2016369.097,0.13106,0.34869,0.00618,87596292.13,3144491.074,1.18E-53,0,130.42561,0.25097,7.02225,11146.21846,1662845.904,0,3303.32957,114.76408,47.25485,2016369.097,0,552556.839,0,3303.29163,114.76408,47.25485
2011-01-05,0.56693,-3.30436,5.57151,-12.18024,71.8854,14.52832,0,1679252.927,7.66131,2.87752,0,152368.187,0,1526884.74,3323438.105,152368.187,46.31723,4434514.82,0,1877706.389,1488774.665,0.12915,0.34341,0.00613,86113544.39,3135317.712,1.14E-53,0,129.47092,0.24918,7.02206,11032.87062,1662805.672,0,3275.90392,113.59702,47.25371,1488774.665,0,845612.8047,0,3275.86485,113.59702,47.25371
2011-01-06,0.20483,-1.52747,6.58135,-9.63629,63.49624,11.02481,0,790878.4878,7.366,2.80308,0,0,0,790878.4878,3536794.195,0,46.31723,4434514.82,0,3149288.162,2446234.476,0.12606,0.33446,0.0061,83671177.97,3128338.084,1.09E-53,0,128.53252,0.2474,7.02186,10920.67618,1662765.441,0,3240.1009,112.44184,47.25256,2446234.476,0,577522.3987,0,3240.06068,112.44184,47.25256
2011-01-07,0.00297,1.85167,7.91652,-4.21319,60.57229,5.3778,0,10928.98806,11.30467,2.96944,0,968058.9171,0,1042.3055,1883120.38,968058.9171,48.14806,5402573.737,0,3737336.664,2821337.105,0.1226,0.32439,0.00602,80860619.36,3114477.447,1.05E-53,0,127.60926,0.24563,7.02166,10809.62339,1662725.211,0,3209.76002,111.29841,47.25142,2821337.105,0,696543.8857,0,3209.71863,111.29841,47.25142
2011-01-08,0.76108,-0.35275,4.18681,-4.89232,63.1475,4.13949,0,1933286.751,8.01872,2.9001,0,392031.6532,0,1541255.098,1741515.445,392031.6532,49.97618,5794605.39,0,1706388.822,1252661.983,0.12111,0.32004,0.00596,79615902.47,3103484.976,9.94E-54,0,126.69937,0.24387,7.02146,10699.70064,1662684.983,0,3174.06829,110.16662,47.25028,1252661.983,0,1682860.033,0,3174.02571,110.16662,47.25028
2011-01-09,8.36618,-9.15713,0.79674,-19.11099,89.52229,1.57137,0,24333936.01,3.66028,2.68951,0,5956859.987,0,18377076.03,19520534.69,5956859.987,141.53248,11751465.38,0,120914.8598,87370.31466,0.12097,0.31977,0.0059,79535992.86,3093004.788,9.31E-54,0,125.80227,0.24212,7.02126,10590.89641,1662644.755,0,3145.29092,109.04635,47.24913,87370.31466,0,598056.7834,0,3145.24712,109.04635,47.24913
2011-01-10,0.63711,-14.5192,-3.34388,-25.69452,76.89708,3.1903,0,1897588.5,9.80653,3.59045,0,158739.3212,0,1738849.179,20453904.84,158739.3212,144.00737,11910204.7,0,140460.7431,114288.3423,0.12078,0.31926,0.0059,79421704.53,3090010.953,8.84E-54,0,124.91742,0.24038,7.02106,10483.19932,1662604.528,0,3118.73427,107.93747,47.24799,114288.3423,0,805479.03,0,3118.68923,107.93747,47.24799
2011-01-11,0.27228,-9.53513,0.60667,-19.67693,46.55125,8.20513,0,969117.9432,11.91736,3.40508,0,0.15969,0,969117.7835,18778932.63,0.15969,141.94387,11449954.23,460250.6259,443193.3175,377033.0364,0.12031,0.3183,0.00613,79332069.83,3259892.066,8.71E-54,0,124.09682,0.23865,7.02086,10376.59809,1662564.302,0,3095.27959,106.83988,47.24685,377033.0364,0,2644089.989,0,3095.18076,106.83988,47.24685
2011-01-12,0.0048,-6.1,-1.4,-10.52747,52.20958,7.26578,0,15765.61189,8.03025,3.06725,0,0,0,15765.61189,15925587.11,0,141.94387,11449954.23,0,481744.3225,347536.8388,0.11979,0.31686,0.00612,78984533.01,3256944.234,8.56E-54,0,123.23499,0.23694,7.02066,10271.08156,1662524.077,0,3071.04508,105.75346,47.24571,347536.8388,0,2869111.135,0,3070.94497,105.75346,47.24571
2011-01-13,0,-1.35,1.8,-7.36156,68.01416,8.6477,0,0,8.72918,3.23904,0,0,0,0,13136495.33,0,141.1562,11274269,175685.2349,466416.6057,322915.5794,0.11937,0.31554,0.00636,78661617.45,3429566.487,8.18E-54,0,128.78226,0.23523,7.02046,10166.6387,1662483.853,0,3191.74203,104.67809,47.24456,322915.5794,0,2789091.78,0,3189.40599,104.67809,47.24456
2011-01-14,0.16393,-2.21429,0.41868,-4.84726,63.64395,6.91887,0,666522.3659,12.20205,3.59463,0,0,0,666522.3659,10904292.36,0,138.37808,10654628.2,619640.8011,481827.6275,330870.0729,0.11912,0.31419,0.00704,78330747.4,3892494.011,7.77E-54,0,7242.61677,0.23353,7.02026,10063.25857,1662443.629,0,163955.8717,103.61367,47.24342,330870.0729,0,2898725.333,0,163879.3244,103.61367,47.24342
2011-01-15,0.15824,-0.97362,5.50773,-7.45496,64.06562,8.24568,0,649753.2161,5.54272,2.97086,0,0,0,649753.2161,8722341.193,0,134.62829,9818264.22,836363.9759,846727.7899,581325.6653,0.11837,0.31175,0.00738,77749421.76,4137427.651,7.39E-54,0,26286.82776,0.23185,7.02006,9960.93034,1662403.407,0,617717.1404,102.56007,47.24228,581325.6653,0,2831704.387,0,594064.633,102.56007,47.24228
