@H,time,catchmentSimRunoff,catchmentSimRunoffN,catchmentSimRunoff_NO3,catchmentSimRunoff_NO3_N,catchmentNO3_N_Load_kg_ha,catchmentRD1_w,catchmentRD2_w,catchmentRG1_w,catchmentRG2_w,catchmentNRD1_w,catchmentNRD2_w,catchmentNRG1_w,catchmentNRG2_w,catchmentSed,deepsinkW,deepsinkN
,1/1/11,0.04854,0.41642,0.0993,0.0993,0.00006,0.00002,0.0625,0.00001,4.20E-06,0,6.21E-09,6.62E-15,2.28E-12,0,0,0
,1/2/11,0.04722,0.39005,0.0956,0.0956,0.00006,0.00002,0.0608,0.00001,4.29E-06,0,5.80E-09,1.36E-11,2.48E-12,0,0,0
,1/3/11,0.04635,0.3681,0.09192,0.09192,0.00005,0.00002,0.05965,0.00004,4.45E-06,0,5.45E-09,3.35E-11,2.63E-12,0,0,0
,1/4/11,0.04555,0.34968,0.08885,0.08885,0.00005,0.00001,0.05858,0.00008,4.69E-06,0,5.16E-09,5.62E-11,2.71E-12,0,0,0
,1/5/11,0.04473,0.33432,0.08651,0.08651,0.00005,0.00001,0.05746,0.00015,0.00001,0,4.90E-09,8.07E-11,2.75E-12,0,0,0
,1/6/11,0.04383,0.32154,0.08492,0.08492,0.00005,0.00001,0.05622,0.00023,0.00001,0,4.69E-09,1.04E-10,2.75E-12,0,0,0
,1/7/11,0.04282,0.31419,0.08492,0.08492,0.00005,0.00001,0.05483,0.00032,0.00001,0,4.51E-09,1.74E-10,2.73E-12,0,0,0
,1/8/11,0.04171,0.31876,0.08845,0.08845,0.00005,0.00001,0.0533,0.00042,0.00001,0,4.36E-09,3.93E-10,2.69E-12,0,0,0
,1/9/11,0.0405,0.32691,0.09343,0.09343,0.00005,0.00001,0.05164,0.00052,0.00001,0,4.23E-09,6.42E-10,2.64E-12,0,0,0
,1/10/11,0.0392,0.33745,0.09964,0.09964,0.00005,0.00001,0.04986,0.00062,0.00001,0,4.12E-09,9.10E-10,2.58E-12,0,0,0
,1/11/11,0.03782,0.34926,0.10687,0.10687,0.00005,0.00001,0.048,0.00071,0.00001,0,4.02E-09,1.19E-09,2.50E-12,0,0,0
