id,lon,lat,
1,-105.5785333,40.05401044, 40.0540104410562)
2,-105.5540445,40.05526808, 40.0552680814738)
3,-105.4070916,40.06269792, 40.0626979155249)
4,-105.394844,40.06330809, 40.0633080901461)
5,-105.3825962,40.06391688, 40.063916883308)
6,-105.5777134,40.04460131, 40.0446013110403)
7,-105.5654709,40.04523072, 40.0452307244755)
8,-105.5532281,40.04585876, 40.0458587572545)
9,-105.5409852,40.04648541, 40.0464854093344)
10,-105.5287419,40.04711068, 40.0471106806726)
11,-105.4920108,40.04897821, 40.0489782098113)
12,-105.4797667,40.04959796, 40.0495979577576)
13,-105.4675223,40.05021632, 40.0502163247501)
14,-105.4552776,40.05083331, 40.0508333107467)
15,-105.4430327,40.05144892, 40.0514489157054)
16,-105.4307876,40.05206314, 40.0520631395843)
17,-105.4185423,40.05267598, 40.0526759823415)
18,-105.4062967,40.05328744, 40.0532874439353)
19,-105.3940509,40.05389752, 40.0538975243239)
20,-105.3818048,40.05450622, 40.0545062234658)
21,-105.3695585,40.05511354, 40.0551135413196)
22,-105.552412,40.0364495, 40.0364494989923)
23,-105.5401708,40.03707605, 40.0370760543015)
24,-105.5279294,40.03770123, 40.0377012290815)
25,-105.5156877,40.03832502, 40.0383250232896)
26,-105.5034458,40.03894744, 40.0389474368833)
27,-105.4912036,40.03956847, 40.0395684698203)
28,-105.4789613,40.04018812, 40.0401881220582)
29,-105.4667186,40.04080639, 40.0408063935549)
30,-105.4544758,40.04142328, 40.0414232842682)
31,-105.4422327,40.04203879, 40.0420387941562)
32,-105.4299894,40.04265292, 40.0426529231768)
33,-105.4177458,40.04326567, 40.0432656712883)
34,-105.405502,40.04387704, 40.0438770384489)
35,-105.393258,40.04448702, 40.044487024617)
36,-105.3810137,40.04509563, 40.045095629751)
37,-105.3687692,40.04570285, 40.0457028538094)
38,-105.3565245,40.0463087, 40.046308696751)
39,-105.3442796,40.04691316, 40.0469131585343)
40,-105.502637,40.02953786, 40.0295378590626)
41,-105.4903967,40.0301588, 40.030158796091)
42,-105.4781561,40.03077835, 40.0307783526328)
43,-105.4659153,40.03139653, 40.0313965286458)
44,-105.4536742,40.03201332, 40.032013324088)
45,-105.4414329,40.03262874, 40.0326287389173)
46,-105.4291914,40.03324277, 40.0332427730917)
47,-105.4169496,40.03385543, 40.0338554265696)
48,-105.4047076,40.0344667, 40.0344666993091)
49,-105.3924653,40.03507659, 40.0350765912687)
50,-105.3802229,40.0356851, 40.0356851024067)
51,-105.3679802,40.03629223, 40.0362922326817)
52,-105.3557372,40.03689798, 40.0368979820525)
53,-105.3434941,40.03750235, 40.0375023504776)
54,-105.3312507,40.03810534, 40.0381053379159)
55,-105.4651121,40.02198673, 40.0219867302659)
56,-105.4406333,40.02321875, 40.0232187502318)
57,-105.4283936,40.02383269, 40.0238326895723)
58,-105.3549502,40.02748733, 40.0274873339915)
59,-105.3427088,40.02809161, 40.0280916090703)
60,-105.3304672,40.0286945, 40.0286945033749)
61,-105.3419238,40.01868093, 40.0186809345556)
62,-105.329684,40.01928374, 40.0192837357383)
