date,grid_2011,grid_2012,grid_2013,grid_2014,grid_2015,grid_2016,grid_2017,grid_2018,grid_2019,grid_2020,grid_all,statn_2011,statn_2012,statn_2013,statn_2014,statn_2015,statn_2016,statn_2017,statn_2018,statn_2019,statn_2020,statn_all,obs
2011-01-01,4.55E-07,2.57E-07,2.48E-07,3.70E-07,6.50E-07,0.00003,6.46E-07,0.00003,4.56E-07,4.45E-07,4.43E-07,4.19E-06,4.18E-06,3.28E-06,4.24E-06,4.45E-06,4.11E-06,3.86E-06,4.29E-06,4.13E-06,4.30E-06,3.96E-06,-9999
2011-01-02,1.67E-07,1.48E-07,1.46E-07,1.68E-07,1.23E-07,0.00005,1.23E-07,0.00005,1.67E-07,1.68E-07,1.68E-07,9.13E-07,9.15E-07,1.12E-06,9.24E-07,8.95E-07,9.35E-07,1.01E-06,9.13E-07,9.29E-07,9.11E-07,9.78E-07,-9999
2011-01-03,6.89E-08,9.36E-08,9.33E-08,7.84E-08,4.95E-08,0.00017,4.92E-08,0.00017,6.87E-08,7.03E-08,7.05E-08,3.17E-07,3.19E-07,5.16E-07,2.93E-07,2.92E-07,3.33E-07,3.89E-07,2.88E-07,3.29E-07,2.87E-07,3.66E-07,-9999
2011-01-04,3.90E-08,5.31E-08,5.33E-08,4.89E-08,2.29E-08,0.00051,2.23E-08,0.0005,3.89E-08,4.03E-08,4.05E-08,1.22E-07,1.22E-07,2.58E-07,1.14E-07,1.32E-07,1.28E-07,1.73E-07,1.14E-07,1.26E-07,1.14E-07,1.59E-07,-9999
2011-01-05,3.03E-08,3.94E-08,3.98E-08,3.27E-08,1.45E-08,0.00099,1.36E-08,0.00098,3.02E-08,3.17E-08,3.19E-08,6.64E-08,6.66E-08,1.46E-07,6.41E-08,9.07E-08,6.92E-08,7.96E-08,6.56E-08,6.83E-08,6.69E-08,7.24E-08,-9999
2011-01-06,1.86E-08,3.01E-08,3.07E-08,2.31E-08,1.13E-08,0.0014,7.63E-09,0.00139,1.85E-08,1.95E-08,1.97E-08,4.12E-08,4.12E-08,9.09E-08,4.13E-08,7.34E-08,4.21E-08,4.92E-08,4.38E-08,4.16E-08,4.56E-08,4.44E-08,-9999
2011-01-07,1.22E-08,2.37E-08,2.42E-08,1.70E-08,7.44E-09,0.00165,7.60E-09,0.00164,1.21E-08,1.29E-08,1.30E-08,2.83E-08,2.82E-08,5.11E-08,2.96E-08,6.53E-08,2.79E-08,3.27E-08,3.28E-08,2.78E-08,3.49E-08,2.94E-08,-9999
2011-01-08,8.49E-09,1.90E-08,1.95E-08,1.75E-08,1.54E-08,0.00173,7.70E-09,0.00172,8.45E-09,9.04E-09,9.12E-09,2.66E-08,2.64E-08,3.76E-08,2.89E-08,6.15E-08,2.55E-08,2.30E-08,3.29E-08,2.56E-08,2.90E-08,2.07E-08,-9999
2011-01-09,6.17E-09,1.58E-08,1.61E-08,1.28E-08,0.00128,0.02059,0.00243,0.02636,1.35E-07,6.60E-09,6.66E-09,1.93E-08,1.91E-08,2.86E-08,2.20E-08,5.96E-08,1.77E-08,2.23E-08,2.62E-08,1.79E-08,3.18E-08,2.01E-08,-9999
2011-01-10,4.65E-09,1.33E-08,1.34E-08,9.63E-09,0.00175,0.01397,0.004,0.01715,3.88E-07,4.98E-09,5.03E-09,1.51E-08,1.48E-08,2.24E-08,1.81E-08,5.87E-08,1.31E-08,1.58E-08,2.25E-08,1.34E-08,2.71E-08,1.42E-08,-9999
2011-01-11,3.60E-09,1.15E-08,1.13E-08,7.48E-09,0.0021,0.01122,0.00481,0.01281,6.17E-07,3.87E-09,3.91E-09,1.25E-08,1.22E-08,1.79E-08,1.58E-08,5.84E-08,1.02E-08,1.16E-08,2.03E-08,1.07E-08,2.45E-08,1.05E-08,-9999
2011-01-12,1.46E-09,9.99E-09,9.71E-09,5.95E-09,0.00237,0.00969,0.00505,0.01058,8.89E-07,3.08E-09,3.11E-09,1.09E-08,1.06E-08,1.46E-08,1.43E-08,5.83E-08,8.37E-09,8.85E-09,1.90E-08,8.84E-09,2.31E-08,8.09E-09,-9999
2011-01-13,1.29E-09,8.81E-09,8.39E-09,4.83E-09,0.00255,0.00863,0.00499,0.0092,1.20E-06,1.23E-09,1.25E-09,9.78E-09,9.46E-09,1.21E-08,1.34E-08,5.83E-08,7.09E-09,6.95E-09,1.83E-08,7.61E-09,2.23E-08,6.41E-09,-9999
2011-01-14,1.15E-09,0.00001,7.33E-09,0.00009,0.00275,0.00777,0.00507,0.00924,0.00017,1.11E-09,1.12E-09,9.04E-09,8.71E-09,1.02E-08,1.28E-08,5.84E-08,6.20E-09,5.58E-09,1.78E-08,6.75E-09,2.20E-08,5.22E-09,-9999
2011-01-15,1.03E-09,0.00002,6.45E-09,0.00011,0.003,0.02868,0.00507,0.03255,0.0003,9.99E-10,1.01E-09,8.53E-09,8.20E-09,8.97E-09,1.25E-08,5.85E-08,5.71E-09,4.58E-09,1.76E-08,6.14E-09,2.19E-08,4.34E-09,-9999
2011-01-16,9.32E-10,0.00002,8.83E-09,0.00012,0.00344,0.03062,0.00494,0.02888,0.0004,9.07E-10,9.18E-10,8.40E-09,7.84E-09,1.75E-07,0.00184,5.87E-08,6.97E-09,3.82E-09,1.82E-08,5.70E-09,2.19E-08,3.69E-09,-9999
2011-01-17,8.45E-10,0.00002,7.50E-09,0.00013,0.00443,0.02635,0.00473,0.02601,0.00051,8.26E-10,8.37E-10,0.00228,7.60E-09,0.00012,0.01846,0.00005,0.00039,3.24E-09,0.00069,1.18E-08,2.21E-08,3.18E-09,-9999
2011-01-18,7.69E-10,0.00002,6.45E-09,0.00014,0.00538,0.02689,0.00447,0.02149,0.00064,7.56E-10,7.67E-10,0.02469,7.44E-09,0.00056,0.04137,0.00035,0.01239,2.78E-09,0.01778,0.00186,2.22E-08,2.79E-09,-9999
2011-01-19,7.03E-10,0.00008,5.60E-09,0.00018,0.00762,0.02405,0.00424,0.01803,0.00091,6.95E-10,7.06E-10,0.052,7.85E-09,0.00126,0.05703,0.0008,0.03249,2.42E-09,0.04274,0.00837,2.45E-08,2.48E-09,-9999
2011-01-20,6.46E-10,0.00009,4.90E-09,0.00022,0.00845,0.02103,0.004,0.0156,0.00126,6.41E-10,6.52E-10,0.07051,3.27E-08,0.00206,0.06501,0.0012,0.05018,2.13E-09,0.0625,0.01731,3.11E-07,2.23E-09,-9999
2011-01-21,5.95E-10,0.0001,4.32E-09,0.00027,0.00878,0.01861,0.00374,0.01379,0.00161,5.93E-10,6.05E-10,0.07974,4.35E-06,0.00286,0.06779,0.00151,0.06299,1.89E-09,0.07439,0.02708,0.00003,2.02E-09,-9999
2011-01-22,5.50E-10,0.0001,3.84E-09,0.00033,0.0088,0.01667,0.00349,0.01233,0.00194,5.50E-10,5.64E-10,0.08247,0.00011,0.00424,0.06746,0.0018,0.07106,1.69E-09,0.0796,0.03636,0.00039,8.26E-10,-9999
2011-01-23,5.09E-10,0.00011,3.43E-09,0.00038,0.00855,0.01502,0.00324,0.01107,0.00221,5.12E-10,5.28E-10,0.08143,0.00071,0.00501,0.06547,0.00218,0.07546,6.40E-10,0.08043,0.04412,0.00176,8.26E-10,-9999
2011-01-24,4.74E-10,0.00011,3.08E-09,0.00043,0.00815,0.01356,0.00301,0.00996,0.00243,4.78E-10,4.96E-10,0.07843,0.00231,0.00575,0.06266,0.00276,0.07722,6.42E-10,0.07876,0.04979,0.00435,8.30E-10,-9999
2011-01-25,4.41E-10,0.00012,2.78E-09,0.00048,0.00768,0.01226,0.0028,0.00896,0.0026,4.47E-10,4.68E-10,0.07458,0.00495,0.00669,0.05982,0.00367,0.07718,2.62E-09,0.07571,0.05328,0.00768,1.98E-09,-9999
2011-01-26,4.12E-10,0.00012,2.53E-09,0.00052,0.00719,0.01109,0.00261,0.00806,0.00272,4.19E-10,4.44E-10,0.07052,0.00823,0.00777,0.05725,0.00503,0.07593,8.29E-08,0.07195,0.05483,0.01102,3.69E-09,-9999
2011-01-27,3.86E-10,0.00013,2.30E-09,0.00055,0.00678,0.01002,0.00242,0.00726,0.0028,3.94E-10,4.23E-10,0.06923,0.0126,0.01027,0.08098,0.01211,0.07758,0.00001,0.06819,0.057,0.01499,7.42E-07,-9999
2011-01-28,3.63E-10,0.00014,2.11E-09,0.00058,0.00681,0.00906,0.00252,0.00654,0.00287,3.71E-10,4.05E-10,0.08752,0.02143,0.01412,0.09307,0.04912,0.1032,0.00021,0.0788,0.06469,0.02333,0.00032,-9999
2011-01-29,3.41E-10,0.00015,1.94E-09,0.00061,0.00705,0.00924,0.00259,0.00588,0.00292,3.51E-10,3.90E-10,0.10545,0.04055,0.01857,0.09866,0.11788,0.15567,0.00297,0.1013,0.09898,0.04133,0.0069,-9999
2011-01-30,3.21E-10,0.00017,1.79E-09,0.00063,0.00743,0.00889,0.00257,0.0053,0.00295,3.32E-10,3.77E-10,0.1183,0.07364,0.02294,0.10659,0.19613,0.20567,0.02973,0.11402,0.17301,0.10018,0.03136,-9999
2011-01-31,3.03E-10,0.00019,1.65E-09,0.00065,0.01021,0.00812,0.00249,0.00477,0.00296,3.15E-10,3.67E-10,0.13052,0.11178,0.02685,0.11922,0.2191,0.23995,0.07532,0.12356,0.22165,0.14199,0.06881,-9999
2011-02-01,2.87E-10,0.00022,1.53E-09,0.00066,0.01111,0.0073,0.0024,0.00429,0.00296,3.00E-10,3.59E-10,0.14156,0.1417,0.03022,0.13182,0.20784,0.25375,0.12097,0.13197,0.23637,0.15974,0.10306,-9999
2011-02-02,2.72E-10,0.00024,1.42E-09,0.00068,0.01153,0.00654,0.00231,0.00386,0.00294,2.86E-10,3.54E-10,0.14764,0.15719,0.0331,0.13854,0.18349,0.25,0.15396,0.13704,0.22924,0.15981,0.12438,-9999
2011-02-03,2.58E-10,0.00027,1.33E-09,0.00069,0.01154,0.00587,0.00223,0.00348,0.00291,2.73E-10,3.50E-10,0.14664,0.15909,0.03555,0.13725,0.15653,0.23415,0.17071,0.13661,0.21088,0.1496,0.13221,-9999
2011-02-04,2.45E-10,0.00029,1.24E-09,0.00069,0.01124,0.00528,0.00218,0.00314,0.00287,2.62E-10,3.48E-10,0.13934,0.15164,0.03965,0.1298,0.13205,0.21191,0.17357,0.13081,0.18822,0.13473,0.13019,-9999
2011-02-05,2.33E-10,0.00031,1.16E-09,0.0007,0.01074,0.00476,0.00214,0.00282,0.00283,2.51E-10,3.49E-10,0.12847,0.13921,0.04638,0.11956,0.11269,0.18825,0.16705,0.12186,0.16514,0.11873,0.12243,-9999
