parameter,lower,upper
ACAdaptation,0.9,1.2
FCAdaptation,0.8,1.3
DCAdaptation,0.8,1.2
BetaW,0.1,15
soilPolRed,0.1,50
a_rain,0,10
a_snow,0,10
luca_a_rain,0,5
luca_a_snow,0,5
baseTemp,-5,5
t_factor,0,5
r_factor,0,5
g_factor,0,5
snowCritDens,0.2,0.8
snow_trans,0,2.5
snow_trs,-5,5
ccf_factor,0.0001,0.1
soilOutLPS,0.01,10
soilLatVertLPS,0.001,10
kdiff_layer,1,50
soilDiffMPSLPS,0.1,10
kf_fact,0.01,2
gwCapRise,0.1,0.6
gwRG1Fact,1,20
gwRG2Fact,1,80
gwRG1RG2dist,0.1,0.9
geoMaxPerc,0.01,10
soilMaxInfSummer,0,150
soilMaxInfWinter,0,100
soilMaxInfSnow,0,100
soilDistMPSLPS,0,7
soilMaxDPS,0,7
kf,0.1,250
luca_soilMaxDPS,0,10
luca_soilMaxInfSummer,0,100
luca_soilDistMPSLPS,0,7
flowRouteTA,1,1000
lagSurfaceRunoff,1,1.5
lagInterflow,1,2
luca_lagSurfaceRunoff,1,1.5
