run,param,value,input_data,year_missing
station_all,a_rain,1.821713031,station,none
station_2011,a_rain,1.738578161,station,2011
station_2012,a_rain,1.847928571,station,2012
station_2013,a_rain,1.927877952,station,2013
station_2014,a_rain,1.846372848,station,2014
station_2015,a_rain,1.868312295,station,2015
station_2016,a_rain,1.828619061,station,2016
station_2017,a_rain,1.940106937,station,2017
station_2018,a_rain,1.989499108,station,2018
station_2019,a_rain,1.818948127,station,2019
station_2020,a_rain,1.83073141,station,2020
grid_all,a_rain,1.853389558,grid,none
grid_2011,a_rain,1.97206126,grid,2011
grid_2012,a_rain,1.985509729,grid,2012
grid_2013,a_rain,1.947083649,grid,2013
grid_2014,a_rain,1.942623391,grid,2014
grid_2015,a_rain,1.953086123,grid,2015
grid_2016,a_rain,1.778625029,grid,2016
grid_2017,a_rain,1.942579724,grid,2017
grid_2018,a_rain,1.886461461,grid,2018
grid_2019,a_rain,1.924649867,grid,2019
grid_2020,a_rain,1.985352023,grid,2020
station_all,a_snow,6.977487734,station,none
station_2011,a_snow,2.910414688,station,2011
station_2012,a_snow,5.013059848,station,2012
station_2013,a_snow,2.476516444,station,2013
station_2014,a_snow,3.249102684,station,2014
station_2015,a_snow,7.964086052,station,2015
station_2016,a_snow,4.086899691,station,2016
station_2017,a_snow,7.841883895,station,2017
station_2018,a_snow,4.234859892,station,2018
station_2019,a_snow,3.462636566,station,2019
station_2020,a_snow,7.368274575,station,2020
grid_all,a_snow,5.136063103,grid,none
grid_2011,a_snow,5.094522242,grid,2011
grid_2012,a_snow,0.998695814,grid,2012
grid_2013,a_snow,7.36790917,grid,2013
grid_2014,a_snow,0.913714788,grid,2014
grid_2015,a_snow,0.089341253,grid,2015
grid_2016,a_snow,5.557897067,grid,2016
grid_2017,a_snow,2.147062035,grid,2017
grid_2018,a_snow,5.77517567,grid,2018
grid_2019,a_snow,0.560131446,grid,2019
grid_2020,a_snow,8.57237111,grid,2020
station_all,baseTemp,-1.147193913,station,none
station_2011,baseTemp,-0.905270721,station,2011
station_2012,baseTemp,-1.051322249,station,2012
station_2013,baseTemp,1.865236483,station,2013
station_2014,baseTemp,-0.624564519,station,2014
station_2015,baseTemp,0.156192256,station,2015
station_2016,baseTemp,-0.510816979,station,2016
station_2017,baseTemp,-1.695424689,station,2017
station_2018,baseTemp,-0.617658161,station,2018
station_2019,baseTemp,-1.448988275,station,2019
station_2020,baseTemp,-1.188922609,station,2020
grid_all,baseTemp,2.681503948,grid,none
grid_2011,baseTemp,1.064494897,grid,2011
grid_2012,baseTemp,4.072496676,grid,2012
grid_2013,baseTemp,2.328839012,grid,2013
grid_2014,baseTemp,3.383577334,grid,2014
grid_2015,baseTemp,2.976897949,grid,2015
grid_2016,baseTemp,3.752974559,grid,2016
grid_2017,baseTemp,3.665549874,grid,2017
grid_2018,baseTemp,2.876668718,grid,2018
grid_2019,baseTemp,3.280122024,grid,2019
grid_2020,baseTemp,1.997072309,grid,2020
station_all,BetaW,2.616132527,station,none
station_2011,BetaW,2.119354504,station,2011
