date,reach,grid_2011,grid_2012,grid_2013,grid_2014,grid_2015,grid_2016,grid_2017,grid_2018,grid_2019,grid_2020,grid_all,statn_2011,statn_2012,statn_2013,statn_2014,statn_2015,statn_2016,statn_2017,statn_2018,statn_2019,statn_2020,statn_all,obs,WY
2011-01-01,mid_upper,2.50E-04,1.68E-15,1.84E-15,1.34E-11,3.00E-05,4.27E-15,9.75E-09,3.07E-11,2.70E-15,9.29E-07,1.83E-14,2.51E-13,3.86E-10,2.47E-13,2.47E-13,1.45E-10,9.44E-13,2.64E-13,2.22E-08,6.45E-12,2.66E-13,2.59E-13,NA,2011
2011-01-01,highest,6.30E-04,5.10E-16,5.73E-16,6.51E-12,1.30E-04,1.36E-15,6.53E-09,1.55E-11,8.59E-16,8.32E-07,6.39E-15,9.76E-14,2.11E-10,9.36E-14,9.82E-14,8.45E-11,3.81E-13,1.00E-13,1.56E-08,2.92E-12,1.09E-13,9.83E-14,NA,2011
2011-01-01,mid_lower,9.00E-05,6.70E-15,7.39E-15,3.17E-11,2.00E-05,1.61E-14,1.55E-08,6.91E-11,1.06E-14,1.11E-06,6.41E-14,8.95E-13,8.51E-10,8.82E-13,8.80E-13,3.40E-10,3.09E-12,9.40E-13,3.74E-08,1.86E-11,9.39E-13,9.24E-13,NA,2011
2011-01-02,mid_upper,0.00102,1.78E-15,1.88E-15,1.36E-11,1.50E-04,4.50E-15,1.00E-08,3.10E-11,2.77E-15,9.39E-07,1.86E-14,2.55E-13,3.87E-10,2.49E-13,2.52E-13,1.46E-10,9.49E-13,2.66E-13,2.24E-08,6.51E-12,2.74E-13,2.61E-13,NA,2011
2011-01-02,highest,0.0017,5.25E-16,5.79E-16,6.55E-12,7.10E-04,1.40E-15,6.68E-09,1.56E-11,8.68E-16,1.47E-06,6.44E-15,1.04E-13,2.15E-10,9.71E-14,1.08E-13,2.62E-10,3.93E-13,1.03E-13,2.01E-08,3.06E-12,1.25E-13,1.02E-13,NA,2011
2011-01-02,mid_lower,3.90E-04,6.92E-15,7.48E-15,3.20E-11,2.00E-05,1.66E-14,1.57E-08,6.95E-11,1.08E-14,1.09E-06,6.47E-14,9.01E-13,8.52E-10,8.86E-13,8.88E-13,3.41E-10,3.10E-12,9.43E-13,3.75E-08,1.87E-11,9.51E-13,9.27E-13,NA,2011
2011-01-03,mid_upper,0.00183,1.89E-15,1.92E-15,1.38E-11,6.10E-04,4.74E-15,1.03E-08,3.14E-11,2.83E-15,9.56E-07,1.89E-14,2.58E-13,3.89E-10,2.51E-13,2.57E-13,1.47E-10,9.55E-13,2.68E-13,2.26E-08,6.58E-12,2.81E-13,2.63E-13,NA,2011
2011-01-03,highest,0.00227,5.40E-16,5.85E-16,6.59E-12,0.00147,1.43E-15,6.85E-09,1.57E-11,8.77E-16,1.00E-05,6.50E-15,1.11E-13,2.19E-10,1.01E-13,1.19E-13,3.96E-09,4.26E-13,1.07E-13,4.89E-08,3.29E-12,1.44E-13,1.05E-13,NA,2011
2011-01-03,mid_lower,0.00107,7.16E-15,7.57E-15,3.22E-11,8.00E-05,1.71E-14,1.59E-08,7.00E-11,1.09E-14,1.08E-06,6.54E-14,9.07E-13,8.54E-10,8.89E-13,8.96E-13,3.43E-10,3.11E-12,9.46E-13,3.76E-08,1.88E-11,9.64E-13,9.30E-13,NA,2011
2011-01-04,mid_upper,0.00219,2.00E-15,1.96E-15,1.40E-11,0.00126,5.00E-15,1.05E-08,3.17E-11,2.89E-15,1.05E-06,1.92E-14,2.62E-13,3.90E-10,2.52E-13,2.62E-13,1.49E-10,9.60E-13,2.69E-13,2.28E-08,6.64E-12,2.89E-13,2.65E-13,NA,2011
